operation, active cores, seconds, nanoseconds, bytes, iterations, budget
write, 0, 0, 774917, 131072, 8192, 20
write, 0, 0, 776107, 131072, 8192, 20
write, 0, 0, 762886, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 762886, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 769177, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762856, 131072, 8192, 20
write, 0, 0, 762887, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 768627, 131072, 8192, 20
write, 0, 0, 762867, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 768247, 131072, 8192, 20
write, 0, 0, 762867, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 767887, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 768447, 131072, 8192, 20
write, 0, 0, 762856, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 768947, 131072, 8192, 20
write, 0, 0, 762856, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762887, 131072, 8192, 20
write, 0, 0, 762886, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 768317, 131072, 8192, 20
write, 0, 0, 762856, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 768247, 131072, 8192, 20
write, 0, 0, 762867, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 767367, 131072, 8192, 20
write, 0, 0, 762867, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 768337, 131072, 8192, 20
write, 0, 0, 762866, 131072, 8192, 20
write, 0, 0, 762887, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 768147, 131072, 8192, 20
write, 0, 0, 762856, 131072, 8192, 20
write, 0, 0, 762866, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 767867, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762887, 131072, 8192, 20
write, 0, 0, 762886, 131072, 8192, 20
write, 0, 0, 762866, 131072, 8192, 20
write, 0, 0, 767817, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762886, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 762886, 131072, 8192, 20
write, 0, 0, 768037, 131072, 8192, 20
write, 0, 0, 762867, 131072, 8192, 20
write, 0, 0, 762866, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 768066, 131072, 8192, 20
write, 0, 0, 762856, 131072, 8192, 20
write, 0, 0, 762886, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 767717, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 768446, 131072, 8192, 20
write, 0, 0, 762866, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762877, 131072, 8192, 20
write, 0, 0, 767937, 131072, 8192, 20
write, 0, 0, 762866, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 0, 0, 762876, 131072, 8192, 20
write, 1, 0, 775048, 131072, 8192, 20
write, 1, 0, 762856, 131072, 8192, 20
write, 1, 0, 777147, 131072, 8192, 20
write, 1, 0, 762846, 131072, 8192, 20
write, 1, 0, 762887, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 771217, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 768507, 131072, 8192, 20
write, 1, 0, 762856, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762887, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 769377, 131072, 8192, 20
write, 1, 0, 762856, 131072, 8192, 20
write, 1, 0, 762866, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 768157, 131072, 8192, 20
write, 1, 0, 762846, 131072, 8192, 20
write, 1, 0, 762867, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 768007, 131072, 8192, 20
write, 1, 0, 762846, 131072, 8192, 20
write, 1, 0, 762856, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 768717, 131072, 8192, 20
write, 1, 0, 762867, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 768327, 131072, 8192, 20
write, 1, 0, 762856, 131072, 8192, 20
write, 1, 0, 762866, 131072, 8192, 20
write, 1, 0, 762887, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 768167, 131072, 8192, 20
write, 1, 0, 762847, 131072, 8192, 20
write, 1, 0, 762866, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 768206, 131072, 8192, 20
write, 1, 0, 762846, 131072, 8192, 20
write, 1, 0, 762867, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 767877, 131072, 8192, 20
write, 1, 0, 762866, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 768047, 131072, 8192, 20
write, 1, 0, 762857, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762887, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 767757, 131072, 8192, 20
write, 1, 0, 763186, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 767977, 131072, 8192, 20
write, 1, 0, 762847, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 768107, 131072, 8192, 20
write, 1, 0, 762846, 131072, 8192, 20
write, 1, 0, 762856, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 768147, 131072, 8192, 20
write, 1, 0, 762856, 131072, 8192, 20
write, 1, 0, 762887, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 777468, 131072, 8192, 20
write, 1, 0, 762866, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762866, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 1, 0, 769117, 131072, 8192, 20
write, 1, 0, 763186, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 762886, 131072, 8192, 20
write, 1, 0, 762876, 131072, 8192, 20
write, 1, 0, 768277, 131072, 8192, 20
write, 1, 0, 762857, 131072, 8192, 20
write, 1, 0, 762866, 131072, 8192, 20
write, 1, 0, 762877, 131072, 8192, 20
write, 2, 0, 774447, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 781189, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762887, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762877, 131072, 8192, 20
write, 2, 0, 769257, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762877, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 768717, 131072, 8192, 20
write, 2, 0, 762866, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 769797, 131072, 8192, 20
write, 2, 0, 762856, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 762876, 131072, 8192, 20
write, 2, 0, 768016, 131072, 8192, 20
