operation, contention, seconds, nanoseconds, bytes, iterations
write, 0, 0, 136854, 131072, 8192
write, 0, 0, 135164, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135153, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135093, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135174, 131072, 8192
write, 0, 0, 135143, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135114, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135154, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135154, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 144384, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135084, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135094, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 135173, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135183, 131072, 8192
write, 0, 0, 135153, 131072, 8192
write, 0, 0, 135194, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 141774, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135154, 131072, 8192
write, 0, 0, 135114, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135114, 131072, 8192
write, 0, 0, 135093, 131072, 8192
write, 0, 0, 135143, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135114, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135173, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135184, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135143, 131072, 8192
write, 0, 0, 139884, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135163, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 135094, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 1, 0, 271907, 131072, 8192
write, 1, 0, 270878, 131072, 8192
write, 1, 0, 268677, 131072, 8192
write, 1, 0, 270637, 131072, 8192
write, 1, 0, 270337, 131072, 8192
write, 1, 0, 268857, 131072, 8192
write, 1, 0, 271078, 131072, 8192
write, 1, 0, 273177, 131072, 8192
