operation, active cores, active slots, seconds, nanoseconds, bytes, iterations, slot sizes
write, 0, 0, 0, 169597, 131072, 8192, 1024
write, 0, 0, 0, 155735, 131072, 8192, 1024
write, 0, 0, 0, 155975, 131072, 8192, 1024
write, 0, 0, 0, 155755, 131072, 8192, 1024
write, 0, 0, 0, 155856, 131072, 8192, 1024
write, 0, 0, 0, 155786, 131072, 8192, 1024
write, 0, 0, 0, 155796, 131072, 8192, 1024
write, 0, 0, 0, 155756, 131072, 8192, 1024
write, 0, 0, 0, 155685, 131072, 8192, 1024
write, 0, 0, 0, 155755, 131072, 8192, 1024
write, 0, 0, 0, 155845, 131072, 8192, 1024
write, 0, 0, 0, 155686, 131072, 8192, 1024
write, 0, 0, 0, 155676, 131072, 8192, 1024
write, 0, 0, 0, 155666, 131072, 8192, 1024
write, 0, 0, 0, 155685, 131072, 8192, 1024
write, 0, 0, 0, 155645, 131072, 8192, 1024
write, 0, 0, 0, 155875, 131072, 8192, 1024
write, 0, 0, 0, 155796, 131072, 8192, 1024
write, 0, 0, 0, 166727, 131072, 8192, 1024
write, 0, 0, 0, 155686, 131072, 8192, 1024
write, 0, 0, 0, 155946, 131072, 8192, 1024
write, 0, 0, 0, 155766, 131072, 8192, 1024
write, 0, 0, 0, 155995, 131072, 8192, 1024
write, 0, 0, 0, 155725, 131072, 8192, 1024
write, 0, 0, 0, 155765, 131072, 8192, 1024
write, 0, 0, 0, 155806, 131072, 8192, 1024
write, 0, 0, 0, 155596, 131072, 8192, 1024
write, 0, 0, 0, 155576, 131072, 8192, 1024
write, 0, 0, 0, 155846, 131072, 8192, 1024
write, 0, 0, 0, 155805, 131072, 8192, 1024
write, 0, 0, 0, 155695, 131072, 8192, 1024
write, 0, 0, 0, 155715, 131072, 8192, 1024
write, 0, 0, 0, 155686, 131072, 8192, 1024
write, 0, 0, 0, 155746, 131072, 8192, 1024
write, 0, 0, 0, 155716, 131072, 8192, 1024
write, 0, 0, 0, 155725, 131072, 8192, 1024
write, 0, 0, 0, 155805, 131072, 8192, 1024
write, 0, 0, 0, 155825, 131072, 8192, 1024
write, 0, 0, 0, 155716, 131072, 8192, 1024
write, 0, 0, 0, 155776, 131072, 8192, 1024
write, 0, 0, 0, 155776, 131072, 8192, 1024
write, 0, 0, 0, 155676, 131072, 8192, 1024
write, 0, 0, 0, 155705, 131072, 8192, 1024
write, 0, 0, 0, 162176, 131072, 8192, 1024
write, 0, 0, 0, 155766, 131072, 8192, 1024
write, 0, 0, 0, 155616, 131072, 8192, 1024
write, 0, 0, 0, 155786, 131072, 8192, 1024
write, 0, 0, 0, 155635, 131072, 8192, 1024
write, 0, 0, 0, 155705, 131072, 8192, 1024
write, 0, 0, 0, 155816, 131072, 8192, 1024
write, 0, 0, 0, 155726, 131072, 8192, 1024
write, 0, 0, 0, 155746, 131072, 8192, 1024
write, 0, 0, 0, 155766, 131072, 8192, 1024
write, 0, 0, 0, 155725, 131072, 8192, 1024
write, 0, 0, 0, 155765, 131072, 8192, 1024
write, 0, 0, 0, 155875, 131072, 8192, 1024
write, 0, 0, 0, 155626, 131072, 8192, 1024
write, 0, 0, 0, 155696, 131072, 8192, 1024
write, 0, 0, 0, 155696, 131072, 8192, 1024
write, 0, 0, 0, 155846, 131072, 8192, 1024
write, 0, 0, 0, 155645, 131072, 8192, 1024
write, 0, 0, 0, 155715, 131072, 8192, 1024
write, 0, 0, 0, 155716, 131072, 8192, 1024
write, 0, 0, 0, 155686, 131072, 8192, 1024
write, 0, 0, 0, 155796, 131072, 8192, 1024
write, 0, 0, 0, 155746, 131072, 8192, 1024
write, 0, 0, 0, 155695, 131072, 8192, 1024
write, 0, 0, 0, 155925, 131072, 8192, 1024
write, 0, 0, 0, 163076, 131072, 8192, 1024
write, 0, 0, 0, 155756, 131072, 8192, 1024
