operation, contention, seconds, nanoseconds, bytes, iterations
write, 0, 0, 1329843, 2097152, 131072
write, 0, 0, 1114032, 2097152, 131072
write, 0, 0, 1069477, 2097152, 131072
write, 0, 0, 1059176, 2097152, 131072
write, 0, 0, 1049855, 2097152, 131072
write, 0, 0, 1086908, 2097152, 131072
write, 0, 0, 1067657, 2097152, 131072
write, 0, 0, 1062897, 2097152, 131072
write, 0, 0, 1053346, 2097152, 131072
write, 0, 0, 1068997, 2097152, 131072
write, 0, 0, 1055825, 2097152, 131072
write, 0, 0, 1052385, 2097152, 131072
write, 0, 0, 1062797, 2097152, 131072
write, 0, 0, 1056316, 2097152, 131072
write, 0, 0, 1061386, 2097152, 131072
write, 0, 0, 1047785, 2097152, 131072
write, 0, 0, 1125872, 2097152, 131072
write, 0, 0, 1056186, 2097152, 131072
write, 0, 0, 1051305, 2097152, 131072
write, 0, 0, 1048765, 2097152, 131072
write, 0, 0, 1077538, 2097152, 131072
write, 0, 0, 1057236, 2097152, 131072
write, 0, 0, 1050465, 2097152, 131072
write, 0, 0, 1048915, 2097152, 131072
write, 0, 0, 1074568, 2097152, 131072
write, 0, 0, 1047674, 2097152, 131072
write, 0, 0, 1050585, 2097152, 131072
write, 0, 0, 1065297, 2097152, 131072
write, 0, 0, 1055325, 2097152, 131072
write, 0, 0, 1050605, 2097152, 131072
write, 0, 0, 1049365, 2097152, 131072
write, 0, 0, 1076708, 2097152, 131072
write, 0, 0, 1051725, 2097152, 131072
write, 0, 0, 1045965, 2097152, 131072
write, 0, 0, 1047075, 2097152, 131072
write, 0, 0, 1073607, 2097152, 131072
write, 0, 0, 1056495, 2097152, 131072
write, 0, 0, 1059666, 2097152, 131072
write, 0, 0, 1053316, 2097152, 131072
write, 0, 0, 1079188, 2097152, 131072
write, 0, 0, 1049794, 2097152, 131072
write, 0, 0, 1040014, 2097152, 131072
write, 0, 0, 1039604, 2097152, 131072
write, 0, 0, 1079138, 2097152, 131072
write, 0, 0, 1052986, 2097152, 131072
write, 0, 0, 1053346, 2097152, 131072
write, 0, 0, 1074047, 2097152, 131072
write, 0, 0, 1043394, 2097152, 131072
write, 0, 0, 1045264, 2097152, 131072
write, 0, 0, 1042764, 2097152, 131072
write, 0, 0, 1071667, 2097152, 131072
write, 0, 0, 1048985, 2097152, 131072
write, 0, 0, 1046364, 2097152, 131072
write, 0, 0, 1046895, 2097152, 131072
write, 0, 0, 1073567, 2097152, 131072
