operation, contention, priorities, seconds, nanoseconds, bytes, iterations
write, 0, f0e0d0c, 0, 36283, 2048, 512
write, 0, f0e0d0c, 0, 34804, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34773, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34773, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34754, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34754, 2048, 512
write, 0, f0e0d0c, 0, 34753, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 53896, 2048, 512
write, 0, f0e0d0c, 0, 34773, 2048, 512
write, 0, f0e0d0c, 0, 34754, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34763, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
write, 0, f0e0d0c, 0, 34753, 2048, 512
write, 0, f0e0d0c, 0, 34764, 2048, 512
