operation, contention, seconds, nanoseconds, bytes, iterations
write, 0, 0, 226342, 131072, 8192
write, 0, 0, 225102, 131072, 8192
write, 0, 0, 225062, 131072, 8192
write, 0, 0, 234604, 131072, 8192
write, 0, 0, 225073, 131072, 8192
write, 0, 0, 225092, 131072, 8192
write, 0, 0, 225092, 131072, 8192
write, 0, 0, 225103, 131072, 8192
write, 0, 0, 225093, 131072, 8192
write, 0, 0, 225112, 131072, 8192
write, 0, 0, 225083, 131072, 8192
write, 0, 0, 225063, 131072, 8192
write, 0, 0, 225062, 131072, 8192
write, 0, 0, 225062, 131072, 8192
write, 0, 0, 225053, 131072, 8192
write, 0, 0, 225123, 131072, 8192
write, 0, 0, 225072, 131072, 8192
write, 0, 0, 225062, 131072, 8192
write, 0, 0, 225103, 131072, 8192
write, 0, 0, 225072, 131072, 8192
write, 0, 0, 225052, 131072, 8192
write, 0, 0, 230723, 131072, 8192
write, 0, 0, 225062, 131072, 8192
write, 0, 0, 225053, 131072, 8192
write, 0, 0, 225103, 131072, 8192
write, 0, 0, 225102, 131072, 8192
write, 0, 0, 225042, 131072, 8192
write, 0, 0, 225063, 131072, 8192
write, 0, 0, 225063, 131072, 8192
write, 0, 0, 225052, 131072, 8192
write, 0, 0, 225093, 131072, 8192
write, 0, 0, 225103, 131072, 8192
write, 0, 0, 225102, 131072, 8192
write, 0, 0, 225092, 131072, 8192
write, 0, 0, 225063, 131072, 8192
write, 0, 0, 225073, 131072, 8192
write, 0, 0, 225062, 131072, 8192
write, 0, 0, 225113, 131072, 8192
write, 0, 0, 225063, 131072, 8192
write, 0, 0, 229823, 131072, 8192
write, 0, 0, 225073, 131072, 8192
write, 0, 0, 225082, 131072, 8192
write, 0, 0, 225072, 131072, 8192
write, 0, 0, 225053, 131072, 8192
write, 0, 0, 225113, 131072, 8192
write, 0, 0, 225072, 131072, 8192
write, 0, 0, 225063, 131072, 8192
write, 0, 0, 225083, 131072, 8192
write, 0, 0, 225072, 131072, 8192
write, 0, 0, 225092, 131072, 8192
write, 0, 0, 225073, 131072, 8192
write, 0, 0, 225073, 131072, 8192
write, 0, 0, 225042, 131072, 8192
write, 0, 0, 225042, 131072, 8192
write, 0, 0, 225043, 131072, 8192
write, 0, 0, 225062, 131072, 8192
write, 0, 0, 229603, 131072, 8192
write, 0, 0, 225042, 131072, 8192
write, 0, 0, 225052, 131072, 8192
write, 0, 0, 225063, 131072, 8192
write, 0, 0, 225043, 131072, 8192
write, 0, 0, 225052, 131072, 8192
write, 0, 0, 225063, 131072, 8192
write, 0, 0, 225053, 131072, 8192
write, 0, 0, 225052, 131072, 8192
write, 0, 0, 225042, 131072, 8192
write, 0, 0, 225093, 131072, 8192
write, 0, 0, 225043, 131072, 8192
write, 0, 0, 225052, 131072, 8192
write, 0, 0, 225063, 131072, 8192
write, 0, 0, 225053, 131072, 8192
write, 0, 0, 225052, 131072, 8192
