benchamrk, data-size, run, duration
disparity, cif, 1, 45859865
disparity, cif, 2, 46039580
disparity, cif, 3, 46125638
disparity, cif, 4, 46019338
disparity, cif, 5, 46304176
disparity, cif, 6, 45892484
disparity, cif, 7, 46270913
disparity, cif, 8, 45846521
disparity, cif, 9, 46102564
disparity, cif, 10, 45952436
disparity, cif, 11, 46104035
disparity, cif, 12, 45944110
disparity, cif, 13, 45850918
disparity, cif, 14, 45936208
disparity, cif, 15, 45942798
disparity, cif, 16, 45923214
disparity, cif, 17, 46007893
disparity, cif, 18, 45876768
disparity, cif, 19, 46275581
disparity, cif, 20, 45925119
disparity, cif, 21, 46516527
disparity, cif, 22, 45830512
disparity, cif, 23, 46068595
disparity, cif, 24, 46160628
disparity, cif, 25, 46057441
disparity, cif, 26, 46124659
disparity, cif, 27, 46212080
disparity, cif, 28, 46168801
disparity, cif, 29, 45956917
disparity, cif, 30, 45996627
disparity, qcif, 1, 10530853
disparity, qcif, 2, 10414986
disparity, qcif, 3, 10358654
disparity, qcif, 4, 10355955
disparity, qcif, 5, 10395264
disparity, qcif, 6, 10444276
disparity, qcif, 7, 10563554
disparity, qcif, 8, 10503184
disparity, qcif, 9, 10557969
disparity, qcif, 10, 10485443
disparity, qcif, 11, 10585303
disparity, qcif, 12, 10501377
disparity, qcif, 13, 10630035
disparity, qcif, 14, 10669013
disparity, qcif, 15, 10367215
disparity, qcif, 16, 10509748
disparity, qcif, 17, 10585265
disparity, qcif, 18, 10450181
disparity, qcif, 19, 10468255
disparity, qcif, 20, 10622431
disparity, qcif, 21, 10423732
disparity, qcif, 22, 10703833
disparity, qcif, 23, 10452076
disparity, qcif, 24, 10539846
disparity, qcif, 25, 10432131
disparity, qcif, 26, 10509795
disparity, qcif, 27, 10621878
disparity, qcif, 28, 10510818
disparity, qcif, 29, 10433261
disparity, qcif, 30, 10495876
disparity, sim, 1, 207147
disparity, sim, 2, 205307
disparity, sim, 3, 205396
disparity, sim, 4, 209315
disparity, sim, 5, 207848
disparity, sim, 6, 205310
disparity, sim, 7, 205502
disparity, sim, 8, 208281
disparity, sim, 9, 205211
disparity, sim, 10, 207113
disparity, sim, 11, 207825
disparity, sim, 12, 209267
disparity, sim, 13, 205655
disparity, sim, 14, 208325
disparity, sim, 15, 209461
disparity, sim, 16, 207822
disparity, sim, 17, 206000
disparity, sim, 18, 211215
disparity, sim, 19, 208449
disparity, sim, 20, 205099
disparity, sim, 21, 205408
disparity, sim, 22, 205682
disparity, sim, 23, 209433
disparity, sim, 24, 209988
disparity, sim, 25, 205549
disparity, sim, 26, 205944
disparity, sim, 27, 208505
disparity, sim, 28, 206817
disparity, sim, 29, 205281
disparity, sim, 30, 205072
disparity, sim_fast, 1, 98440
disparity, sim_fast, 2, 95725
disparity, sim_fast, 3, 93507
disparity, sim_fast, 4, 94538
disparity, sim_fast, 5, 94606
disparity, sim_fast, 6, 92834
disparity, sim_fast, 7, 98280
disparity, sim_fast, 8, 98282
disparity, sim_fast, 9, 93646
disparity, sim_fast, 10, 93044
disparity, sim_fast, 11, 93019
disparity, sim_fast, 12, 97100
disparity, sim_fast, 13, 97611
