benchamrk, data-size, run, duration
disparity, cif, 1, 45676721
disparity, cif, 2, 45503912
disparity, cif, 3, 45659370
disparity, cif, 4, 45684146
disparity, cif, 5, 45776849
disparity, cif, 6, 45665809
disparity, cif, 7, 45626506
disparity, cif, 8, 45669498
disparity, cif, 9, 45676555
disparity, cif, 10, 45619207
disparity, cif, 11, 45575739
disparity, cif, 12, 45788834
disparity, cif, 13, 45689971
disparity, cif, 14, 45781174
disparity, cif, 15, 45522106
disparity, cif, 16, 45460071
disparity, cif, 17, 46120550
disparity, cif, 18, 45644994
disparity, cif, 19, 45527090
disparity, cif, 20, 45810616
disparity, cif, 21, 45582021
disparity, cif, 22, 45603230
disparity, cif, 23, 45688517
disparity, cif, 24, 45821424
disparity, cif, 25, 45567409
disparity, cif, 26, 45982911
disparity, cif, 27, 45408986
disparity, cif, 28, 45379651
disparity, cif, 29, 45617349
disparity, cif, 30, 45549940
disparity, qcif, 1, 10244683
disparity, qcif, 2, 10236663
disparity, qcif, 3, 10472171
disparity, qcif, 4, 10312861
disparity, qcif, 5, 10249068
disparity, qcif, 6, 10439524
disparity, qcif, 7, 10332497
disparity, qcif, 8, 10290484
disparity, qcif, 9, 10285524
disparity, qcif, 10, 10386090
disparity, qcif, 11, 10280913
disparity, qcif, 12, 10284573
disparity, qcif, 13, 10294484
disparity, qcif, 14, 10252745
disparity, qcif, 15, 10302567
disparity, qcif, 16, 10331077
disparity, qcif, 17, 10303098
disparity, qcif, 18, 10312293
disparity, qcif, 19, 10271798
disparity, qcif, 20, 10285429
disparity, qcif, 21, 10221433
disparity, qcif, 22, 10226680
disparity, qcif, 23, 10256290
disparity, qcif, 24, 10235987
disparity, qcif, 25, 10238652
disparity, qcif, 26, 10215214
disparity, qcif, 27, 10234288
disparity, qcif, 28, 10191070
disparity, qcif, 29, 10211505
disparity, qcif, 30, 10190112
disparity, sim, 1, 205763
disparity, sim, 2, 205888
disparity, sim, 3, 207348
disparity, sim, 4, 205188
disparity, sim, 5, 208209
disparity, sim, 6, 205159
disparity, sim, 7, 208330
disparity, sim, 8, 205476
disparity, sim, 9, 209309
disparity, sim, 10, 204771
disparity, sim, 11, 205024
disparity, sim, 12, 206952
disparity, sim, 13, 204682
disparity, sim, 14, 209982
disparity, sim, 15, 205397
disparity, sim, 16, 206986
disparity, sim, 17, 205156
disparity, sim, 18, 216996
disparity, sim, 19, 204594
disparity, sim, 20, 208571
disparity, sim, 21, 205692
disparity, sim, 22, 205246
disparity, sim, 23, 205254
disparity, sim, 24, 204600
disparity, sim, 25, 206084
disparity, sim, 26, 205329
disparity, sim, 27, 205651
disparity, sim, 28, 204208
disparity, sim, 29, 205746
disparity, sim, 30, 204615
disparity, sim_fast, 1, 94165
disparity, sim_fast, 2, 92732
disparity, sim_fast, 3, 92691
disparity, sim_fast, 4, 93010
disparity, sim_fast, 5, 92800
disparity, sim_fast, 6, 92628
disparity, sim_fast, 7, 94562
disparity, sim_fast, 8, 94370
disparity, sim_fast, 9, 92629
disparity, sim_fast, 10, 92787
disparity, sim_fast, 11, 92780
