operation, seconds, nanoseconds, bytes
read, 0, 28079066, 16777216
read, 0, 25010919, 16777216
read, 0, 24933321, 16777216
read, 0, 25061754, 16777216
read, 0, 24908008, 16777216
read, 0, 26231211, 16777216
read, 0, 27945002, 16777216
read, 0, 24940412, 16777216
read, 0, 26241442, 16777216
read, 0, 24989716, 16777216
read, 0, 27480636, 16777216
read, 0, 25160654, 16777216
read, 0, 26114629, 16777216
read, 0, 25169074, 16777216
read, 0, 24896748, 16777216
read, 0, 25809268, 16777216
read, 0, 24871925, 16777216
read, 0, 24911959, 16777216
read, 0, 24923110, 16777216
read, 0, 24923590, 16777216
read, 0, 24900658, 16777216
read, 0, 24976085, 16777216
read, 0, 25495038, 16777216
read, 0, 24933321, 16777216
read, 0, 24975235, 16777216
read, 0, 26120850, 16777216
read, 0, 25132551, 16777216
read, 0, 25143992, 16777216
read, 0, 26181646, 16777216
read, 0, 26152013, 16777216
read, 0, 24910239, 16777216
read, 0, 24921890, 16777216
read, 0, 24883796, 16777216
read, 0, 24901158, 16777216
read, 0, 26739152, 16777216
read, 0, 24944093, 16777216
read, 0, 24897087, 16777216
read, 0, 24996157, 16777216
read, 0, 24919230, 16777216
read, 0, 27362674, 16777216
read, 0, 25506638, 16777216
read, 0, 29176735, 16777216
read, 0, 25009919, 16777216
read, 0, 26058163, 16777216
read, 0, 25047453, 16777216
read, 0, 24931841, 16777216
read, 0, 24906639, 16777216
read, 0, 25530781, 16777216
read, 0, 28117999, 16777216
read, 0, 26253193, 16777216
read, 0, 24921040, 16777216
read, 0, 24900378, 16777216
read, 0, 26798158, 16777216
read, 0, 27999037, 16777216
read, 0, 24940452, 16777216
read, 0, 26130311, 16777216
read, 0, 24953863, 16777216
read, 0, 24933621, 16777216
read, 0, 26152133, 16777216
read, 0, 25867074, 16777216
read, 0, 26154283, 16777216
read, 0, 24937442, 16777216
read, 0, 24915439, 16777216
read, 0, 25122520, 16777216
read, 0, 24922920, 16777216
read, 0, 26109389, 16777216
read, 0, 27749472, 16777216
read, 0, 27358844, 16777216
read, 0, 25003819, 16777216
read, 0, 24894188, 16777216
read, 0, 27383376, 16777216
read, 0, 24901088, 16777216
read, 0, 24992578, 16777216
read, 0, 24878816, 16777216
read, 0, 28245732, 16777216
read, 0, 24893847, 16777216
read, 0, 26176985, 16777216
read, 0, 24882977, 16777216
read, 0, 24937812, 16777216
read, 0, 24890067, 16777216
read, 0, 25010159, 16777216
read, 0, 24968375, 16777216
read, 0, 24941812, 16777216
read, 0, 25595717, 16777216
read, 0, 27066824, 16777216
read, 0, 24874365, 16777216
read, 0, 26166095, 16777216
read, 0, 24939852, 16777216
read, 0, 25096408, 16777216
read, 0, 24894078, 16777216
read, 0, 26201637, 16777216
read, 0, 24876935, 16777216
read, 0, 26127631, 16777216
read, 0, 26158474, 16777216
read, 0, 24917870, 16777216
read, 0, 26164315, 16777216
read, 0, 24916829, 16777216
read, 0, 27331351, 16777216
read, 0, 24883336, 16777216
read, 0, 25000618, 16777216
