operation, seconds, nanoseconds, bytes
read, 0, 24403458, 16777216
read, 0, 24466915, 16777216
read, 0, 24329921, 16777216
read, 0, 24335141, 16777216
read, 0, 24308149, 16777216
read, 0, 24310659, 16777216
read, 0, 24526301, 16777216
read, 0, 24369705, 16777216
read, 0, 24313889, 16777216
read, 0, 24414419, 16777216
read, 0, 24380126, 16777216
read, 0, 24313910, 16777216
read, 0, 24495077, 16777216
read, 0, 24339292, 16777216
read, 0, 24309249, 16777216
read, 0, 24340632, 16777216
read, 0, 24388017, 16777216
read, 0, 24287927, 16777216
read, 0, 24400748, 16777216
read, 0, 24293347, 16777216
read, 0, 24363494, 16777216
read, 0, 24382106, 16777216
read, 0, 24271786, 16777216
read, 0, 24431481, 16777216
read, 0, 24272745, 16777216
read, 0, 24333031, 16777216
read, 0, 24262884, 16777216
read, 0, 24389717, 16777216
read, 0, 24494137, 16777216
read, 0, 24425191, 16777216
read, 0, 24289307, 16777216
read, 0, 24350973, 16777216
read, 0, 24293337, 16777216
read, 0, 24301648, 16777216
read, 0, 24372135, 16777216
read, 0, 24542633, 16777216
read, 0, 24418360, 16777216
read, 0, 24294518, 16777216
read, 0, 24456033, 16777216
read, 0, 24263254, 16777216
read, 0, 24293968, 16777216
read, 0, 24434951, 16777216
read, 0, 24325591, 16777216
read, 0, 24410959, 16777216
read, 0, 24305558, 16777216
read, 0, 24267105, 16777216
read, 0, 24312179, 16777216
read, 0, 24261704, 16777216
read, 0, 24384476, 16777216
read, 0, 24348793, 16777216
read, 0, 24309139, 16777216
read, 0, 24255574, 16777216
read, 0, 24434361, 16777216
read, 0, 24398578, 16777216
read, 0, 24385236, 16777216
read, 0, 24306579, 16777216
read, 0, 24286677, 16777216
read, 0, 24430821, 16777216
read, 0, 24370505, 16777216
read, 0, 24366624, 16777216
read, 0, 24284397, 16777216
read, 0, 24458004, 16777216
read, 0, 24353673, 16777216
read, 0, 24333021, 16777216
read, 0, 24284847, 16777216
read, 0, 24285337, 16777216
read, 0, 24354463, 16777216
read, 0, 24460024, 16777216
read, 0, 24365005, 16777216
read, 0, 24286866, 16777216
read, 0, 24257494, 16777216
read, 0, 24508829, 16777216
read, 0, 24290777, 16777216
read, 0, 24313529, 16777216
read, 0, 24268835, 16777216
read, 0, 24285806, 16777216
read, 0, 24373156, 16777216
read, 0, 24406548, 16777216
read, 0, 24360854, 16777216
read, 0, 24373706, 16777216
read, 0, 24290717, 16777216
read, 0, 24367454, 16777216
read, 0, 24259294, 16777216
read, 0, 24353054, 16777216
read, 0, 24445452, 16777216
read, 0, 24620540, 16777216
read, 0, 24270625, 16777216
read, 0, 24466345, 16777216
read, 0, 24356373, 16777216
read, 0, 24322270, 16777216
read, 0, 24261835, 16777216
read, 0, 24295187, 16777216
read, 0, 24398078, 16777216
read, 0, 24370605, 16777216
read, 0, 24346782, 16777216
read, 0, 24287446, 16777216
read, 0, 24265615, 16777216
read, 0, 24591287, 16777216
read, 0, 24280226, 16777216
read, 0, 24293077, 16777216
