operation, seconds, nanoseconds, bytes
read, 0, 25778286, 16777216
read, 0, 25181806, 16777216
read, 0, 24830511, 16777216
read, 0, 26104579, 16777216
read, 0, 24808189, 16777216
read, 0, 24898008, 16777216
read, 0, 24841412, 16777216
read, 0, 24858333, 16777216
read, 0, 26056224, 16777216
read, 0, 26221780, 16777216
read, 0, 24826311, 16777216
read, 0, 26862184, 16777216
read, 0, 33568134, 16777216
read, 0, 24812859, 16777216
read, 0, 24839552, 16777216
read, 0, 24851433, 16777216
read, 0, 24885277, 16777216
read, 0, 24819439, 16777216
read, 0, 27467305, 16777216
read, 0, 25120930, 16777216
read, 0, 26059613, 16777216
read, 0, 24819790, 16777216
read, 0, 28985606, 16777216
read, 0, 26111069, 16777216
read, 0, 27109538, 16777216
read, 0, 24832571, 16777216
read, 0, 26092507, 16777216
read, 0, 24799108, 16777216
read, 0, 24898497, 16777216
read, 0, 28539752, 16777216
read, 0, 24928741, 16777216
read, 0, 28629611, 16777216
read, 0, 24838332, 16777216
read, 0, 26078536, 16777216
read, 0, 24937332, 16777216
read, 0, 24838402, 16777216
read, 0, 26155854, 16777216
read, 0, 24840872, 16777216
read, 0, 24844363, 16777216
read, 0, 24878796, 16777216
read, 0, 25111069, 16777216
read, 0, 27279886, 16777216
read, 0, 24875586, 16777216
read, 0, 26074755, 16777216
read, 0, 24816349, 16777216
read, 0, 24802318, 16777216
read, 0, 25981706, 16777216
read, 0, 28581126, 16777216
read, 0, 24820070, 16777216
read, 0, 24821350, 16777216
read, 0, 28211689, 16777216
read, 0, 26254043, 16777216
read, 0, 27346112, 16777216
read, 0, 26906928, 16777216
read, 0, 24840272, 16777216
read, 0, 27455083, 16777216
read, 0, 26214009, 16777216
read, 0, 24811869, 16777216
read, 0, 24814569, 16777216
read, 0, 24963554, 16777216
read, 0, 25286966, 16777216
read, 0, 24903158, 16777216
read, 0, 25597138, 16777216
read, 0, 24831711, 16777216
read, 0, 24971996, 16777216
read, 0, 24823521, 16777216
read, 0, 24806009, 16777216
read, 0, 24859784, 16777216
read, 0, 25084877, 16777216
read, 0, 27197978, 16777216
read, 0, 24903718, 16777216
read, 0, 24853803, 16777216
read, 0, 24798938, 16777216
read, 0, 25013199, 16777216
read, 0, 24838232, 16777216
read, 0, 24849583, 16777216
read, 0, 26031961, 16777216
read, 0, 24910369, 16777216
read, 0, 24896878, 16777216
read, 0, 24928401, 16777216
read, 0, 24809979, 16777216
read, 0, 24902298, 16777216
read, 0, 29319840, 16777216
read, 0, 24843032, 16777216
read, 0, 24821630, 16777216
read, 0, 24901409, 16777216
read, 0, 24795518, 16777216
read, 0, 26077576, 16777216
read, 0, 24791267, 16777216
read, 0, 24966164, 16777216
read, 0, 26155043, 16777216
read, 0, 26188697, 16777216
read, 0, 24808118, 16777216
read, 0, 25025320, 16777216
read, 0, 26044873, 16777216
read, 0, 27438242, 16777216
read, 0, 26053113, 16777216
read, 0, 26095947, 16777216
read, 0, 24841982, 16777216
read, 0, 27940161, 16777216
