operation, seconds, nanoseconds, bytes
read, 0, 8692908, 16777216
read, 0, 8643774, 16777216
read, 0, 8489528, 16777216
read, 0, 8575997, 16777216
read, 0, 8606730, 16777216
read, 0, 8590718, 16777216
read, 0, 8457125, 16777216
read, 0, 8592599, 16777216
read, 0, 8732772, 16777216
read, 0, 8599809, 16777216
read, 0, 8610561, 16777216
read, 0, 8622061, 16777216
read, 0, 8612381, 16777216
read, 0, 8526652, 16777216
read, 0, 8597059, 16777216
read, 0, 8618131, 16777216
read, 0, 8630112, 16777216
read, 0, 8532983, 16777216
read, 0, 8555995, 16777216
read, 0, 8620541, 16777216
read, 0, 8618371, 16777216
read, 0, 8635693, 16777216
read, 0, 8579227, 16777216
read, 0, 8603840, 16777216
read, 0, 8547004, 16777216
read, 0, 8621661, 16777216
read, 0, 8615771, 16777216
read, 0, 8612350, 16777216
read, 0, 8606790, 16777216
read, 0, 8607430, 16777216
read, 0, 8614340, 16777216
read, 0, 8616941, 16777216
read, 0, 8641753, 16777216
read, 0, 8544644, 16777216
read, 0, 8541324, 16777216
read, 0, 8743103, 16777216
read, 0, 8480457, 16777216
read, 0, 8615561, 16777216
read, 0, 8595388, 16777216
read, 0, 8578397, 16777216
read, 0, 8562676, 16777216
read, 0, 8576547, 16777216
read, 0, 8596199, 16777216
read, 0, 8467396, 16777216
read, 0, 8595979, 16777216
read, 0, 8617101, 16777216
read, 0, 8573497, 16777216
read, 0, 8523642, 16777216
read, 0, 8592998, 16777216
read, 0, 8664346, 16777216
read, 0, 8659595, 16777216
read, 0, 8599369, 16777216
read, 0, 8606060, 16777216
read, 0, 8587068, 16777216
read, 0, 8635873, 16777216
read, 0, 8624192, 16777216
read, 0, 8590648, 16777216
read, 0, 8601700, 16777216
read, 0, 8535773, 16777216
read, 0, 8528672, 16777216
read, 0, 8514881, 16777216
read, 0, 8704080, 16777216
read, 0, 8625552, 16777216
read, 0, 8560995, 16777216
read, 0, 8593969, 16777216
read, 0, 8599779, 16777216
read, 0, 8586588, 16777216
read, 0, 8493629, 16777216
read, 0, 8593959, 16777216
read, 0, 8591708, 16777216
read, 0, 8460326, 16777216
read, 0, 8568096, 16777216
read, 0, 8601899, 16777216
read, 0, 8670247, 16777216
read, 0, 8570696, 16777216
read, 0, 8546754, 16777216
read, 0, 8620141, 16777216
read, 0, 8599709, 16777216
read, 0, 8622402, 16777216
read, 0, 8664185, 16777216
read, 0, 8625061, 16777216
read, 0, 8542904, 16777216
read, 0, 8556005, 16777216
read, 0, 8599599, 16777216
read, 0, 8586828, 16777216
read, 0, 8555845, 16777216
read, 0, 8661625, 16777216
read, 0, 8669186, 16777216
read, 0, 8570486, 16777216
read, 0, 8415761, 16777216
read, 0, 8547574, 16777216
read, 0, 8674006, 16777216
read, 0, 8675917, 16777216
read, 0, 8570047, 16777216
read, 0, 8565786, 16777216
read, 0, 8563195, 16777216
read, 0, 8656004, 16777216
read, 0, 8580827, 16777216
read, 0, 8650825, 16777216
read, 0, 8590198, 16777216
