operation, seconds, nanoseconds, bytes
read, 0, 30916840, 16777216
read, 0, 31838422, 16777216
read, 0, 31539291, 16777216
read, 0, 31843562, 16777216
read, 0, 30891857, 16777216
read, 0, 33669475, 16777216
read, 0, 31133500, 16777216
read, 0, 30802558, 16777216
read, 0, 32997987, 16777216
read, 0, 32028020, 16777216
read, 0, 31823680, 16777216
read, 0, 29712729, 16777216
read, 0, 30234761, 16777216
read, 0, 32623599, 16777216
read, 0, 31736971, 16777216
read, 0, 31455523, 16777216
read, 0, 30452292, 16777216
read, 0, 31637151, 16777216
read, 0, 31900768, 16777216
read, 0, 33491886, 16777216
read, 0, 33329100, 16777216
read, 0, 32433281, 16777216
read, 0, 31877105, 16777216
read, 0, 29977226, 16777216
read, 0, 31611929, 16777216
read, 0, 31212239, 16777216
read, 0, 31505558, 16777216
read, 0, 32724750, 16777216
read, 0, 32117999, 16777216
read, 0, 30242242, 16777216
read, 0, 33080765, 16777216
read, 0, 33805218, 16777216
read, 0, 35354662, 16777216
read, 0, 30142552, 16777216
read, 0, 34121040, 16777216
read, 0, 32151543, 16777216
read, 0, 31447442, 16777216
read, 0, 32511078, 16777216
read, 0, 31559853, 16777216
read, 0, 33379595, 16777216
read, 0, 29697047, 16777216
read, 0, 32166944, 16777216
read, 0, 30230351, 16777216
read, 0, 28454363, 16777216
read, 0, 28681676, 16777216
read, 0, 32575625, 16777216
read, 0, 32787486, 16777216
read, 0, 30292457, 16777216
read, 0, 32565644, 16777216
read, 0, 32333731, 16777216
read, 0, 29333781, 16777216
read, 0, 34538361, 16777216
read, 0, 33492746, 16777216
read, 0, 33042992, 16777216
read, 0, 33589176, 16777216
read, 0, 33780105, 16777216
read, 0, 32552462, 16777216
read, 0, 30701878, 16777216
read, 0, 30995197, 16777216
read, 0, 31741402, 16777216
read, 0, 31551173, 16777216
read, 0, 32612378, 16777216
read, 0, 31539071, 16777216
read, 0, 31462603, 16777216
read, 0, 33683586, 16777216
read, 0, 30362493, 16777216
read, 0, 32272225, 16777216
read, 0, 31232801, 16777216
read, 0, 33710938, 16777216
read, 0, 30706128, 16777216
read, 0, 30787737, 16777216
read, 0, 31030151, 16777216
read, 0, 31536721, 16777216
read, 0, 31639351, 16777216
read, 0, 33876525, 16777216
read, 0, 34496987, 16777216
read, 0, 32450942, 16777216
read, 0, 33745692, 16777216
read, 0, 31978856, 16777216
read, 0, 30810489, 16777216
read, 0, 32377645, 16777216
read, 0, 31644392, 16777216
read, 0, 31388536, 16777216
read, 0, 32921369, 16777216
read, 0, 31254623, 16777216
read, 0, 31943241, 16777216
read, 0, 34582265, 16777216
read, 0, 31758223, 16777216
read, 0, 30151293, 16777216
read, 0, 31589976, 16777216
read, 0, 32982326, 16777216
read, 0, 33820339, 16777216
read, 0, 31324760, 16777216
read, 0, 32653492, 16777216
read, 0, 32550212, 16777216
read, 0, 32735771, 16777216
read, 0, 33599047, 16777216
read, 0, 32244831, 16777216
read, 0, 33010778, 16777216
read, 0, 31775145, 16777216
