operation, seconds, nanoseconds, bytes
read, 0, 127907720, 16777216, 255
read, 0, 127877818, 16777216, 255
read, 0, 127864755, 16777216, 255
read, 0, 127717041, 16777216, 255
read, 0, 127784238, 16777216, 255
read, 0, 127728292, 16777216, 255
read, 0, 127879908, 16777216, 255
read, 0, 127690129, 16777216, 255
read, 0, 127844084, 16777216, 255
read, 0, 127684347, 16777216, 255
read, 0, 127893309, 16777216, 255
read, 0, 127689618, 16777216, 255
read, 0, 127743454, 16777216, 255
read, 0, 127762995, 16777216, 255
read, 0, 127756885, 16777216, 255
read, 0, 127785178, 16777216, 255
read, 0, 127820081, 16777216, 255
read, 0, 127779457, 16777216, 255
read, 0, 127724302, 16777216, 255
read, 0, 127825892, 16777216, 255
read, 0, 127689788, 16777216, 255
read, 0, 127802530, 16777216, 255
read, 0, 127675067, 16777216, 255
read, 0, 127862166, 16777216, 255
read, 0, 127735883, 16777216, 255
read, 0, 127778037, 16777216, 255
read, 0, 127773417, 16777216, 255
read, 0, 127841844, 16777216, 255
read, 0, 127759785, 16777216, 255
read, 0, 127757855, 16777216, 255
read, 0, 127719682, 16777216, 255
read, 0, 127763516, 16777216, 255
read, 0, 127914301, 16777216, 255
read, 0, 127807590, 16777216, 255
read, 0, 127777177, 16777216, 255
read, 0, 127809751, 16777216, 255
read, 0, 127724421, 16777216, 255
read, 0, 127770687, 16777216, 255
read, 0, 127731133, 16777216, 255
read, 0, 127811620, 16777216, 255
read, 0, 127716161, 16777216, 255
read, 0, 127847924, 16777216, 255
read, 0, 127764016, 16777216, 255
read, 0, 127694019, 16777216, 255
read, 0, 127800959, 16777216, 255
read, 0, 127763566, 16777216, 255
read, 0, 128190109, 16777216, 255
read, 0, 127811450, 16777216, 255
read, 0, 127822942, 16777216, 255
read, 0, 127711911, 16777216, 255
read, 0, 127868106, 16777216, 255
read, 0, 127652224, 16777216, 255
read, 0, 127790368, 16777216, 255
read, 0, 127688899, 16777216, 255
read, 0, 127797499, 16777216, 255
read, 0, 127770917, 16777216, 255
read, 0, 127770466, 16777216, 255
read, 0, 127732943, 16777216, 255
read, 0, 127890179, 16777216, 255
read, 0, 127699489, 16777216, 255
read, 0, 127771536, 16777216, 255
read, 0, 127710941, 16777216, 255
read, 0, 127824372, 16777216, 255
read, 0, 127801650, 16777216, 255
read, 0, 127832873, 16777216, 255
read, 0, 127670076, 16777216, 255
read, 0, 127889178, 16777216, 255
read, 0, 127797520, 16777216, 255
read, 0, 127801570, 16777216, 255
read, 0, 127672777, 16777216, 255
read, 0, 127797010, 16777216, 255
read, 0, 127762656, 16777216, 255
read, 0, 127789428, 16777216, 255
read, 0, 127707640, 16777216, 255
read, 0, 127807810, 16777216, 255
read, 0, 127783418, 16777216, 255
read, 0, 127838733, 16777216, 255
read, 0, 127731833, 16777216, 255
read, 0, 127801890, 16777216, 255
read, 0, 127807640, 16777216, 255
read, 0, 127868296, 16777216, 255
read, 0, 127720841, 16777216, 255
read, 0, 127813291, 16777216, 255
read, 0, 127747624, 16777216, 255
read, 0, 127859795, 16777216, 255
read, 0, 127676357, 16777216, 255
read, 0, 127800609, 16777216, 255
read, 0, 127699359, 16777216, 255
read, 0, 127795009, 16777216, 255
read, 0, 127690189, 16777216, 255
read, 0, 127804970, 16777216, 255
read, 0, 127763866, 16777216, 255
read, 0, 127761826, 16777216, 255
read, 0, 127727353, 16777216, 255
read, 0, 127769407, 16777216, 255
read, 0, 127817471, 16777216, 255
read, 0, 127773806, 16777216, 255
read, 0, 127766416, 16777216, 255
read, 0, 127765416, 16777216, 255
read, 0, 127774757, 16777216, 255
