operation, contention, priorities, seconds, nanoseconds, bytes, iterations
write, 0, f0e0d0c, 0, 165547, 131072, 8192
write, 0, f0e0d0c, 0, 164486, 131072, 8192
write, 0, f0e0d0c, 0, 164577, 131072, 8192
write, 0, f0e0d0c, 0, 164317, 131072, 8192
write, 0, f0e0d0c, 0, 164546, 131072, 8192
write, 0, f0e0d0c, 0, 164447, 131072, 8192
write, 0, f0e0d0c, 0, 164447, 131072, 8192
write, 0, f0e0d0c, 0, 164296, 131072, 8192
write, 0, f0e0d0c, 0, 164467, 131072, 8192
write, 0, f0e0d0c, 0, 164417, 131072, 8192
write, 0, f0e0d0c, 0, 164476, 131072, 8192
write, 0, f0e0d0c, 0, 164486, 131072, 8192
write, 0, f0e0d0c, 0, 164307, 131072, 8192
write, 0, f0e0d0c, 0, 164476, 131072, 8192
write, 0, f0e0d0c, 0, 164636, 131072, 8192
write, 0, f0e0d0c, 0, 164477, 131072, 8192
write, 0, f0e0d0c, 0, 164396, 131072, 8192
write, 0, f0e0d0c, 0, 164516, 131072, 8192
write, 0, f0e0d0c, 0, 164287, 131072, 8192
write, 0, f0e0d0c, 0, 164436, 131072, 8192
write, 0, f0e0d0c, 0, 164366, 131072, 8192
write, 0, f0e0d0c, 0, 164377, 131072, 8192
write, 0, f0e0d0c, 0, 174097, 131072, 8192
write, 0, f0e0d0c, 0, 164446, 131072, 8192
write, 0, f0e0d0c, 0, 164587, 131072, 8192
write, 0, f0e0d0c, 0, 164496, 131072, 8192
write, 0, f0e0d0c, 0, 164756, 131072, 8192
write, 0, f0e0d0c, 0, 164647, 131072, 8192
write, 0, f0e0d0c, 0, 164547, 131072, 8192
write, 0, f0e0d0c, 0, 164586, 131072, 8192
write, 0, f0e0d0c, 0, 164476, 131072, 8192
write, 0, f0e0d0c, 0, 164397, 131072, 8192
write, 0, f0e0d0c, 0, 164506, 131072, 8192
write, 0, f0e0d0c, 0, 164266, 131072, 8192
write, 0, f0e0d0c, 0, 164377, 131072, 8192
write, 0, f0e0d0c, 0, 164546, 131072, 8192
write, 0, f0e0d0c, 0, 164406, 131072, 8192
write, 0, f0e0d0c, 0, 164357, 131072, 8192
write, 0, f0e0d0c, 0, 164406, 131072, 8192
write, 0, f0e0d0c, 0, 164326, 131072, 8192
write, 0, f0e0d0c, 0, 164567, 131072, 8192
write, 0, f0e0d0c, 0, 164586, 131072, 8192
write, 0, f0e0d0c, 0, 164456, 131072, 8192
write, 0, f0e0d0c, 0, 164537, 131072, 8192
write, 0, f0e0d0c, 0, 164356, 131072, 8192
write, 0, f0e0d0c, 0, 164246, 131072, 8192
write, 0, f0e0d0c, 0, 180368, 131072, 8192
write, 0, f0e0d0c, 0, 164496, 131072, 8192
write, 0, f0e0d0c, 0, 164327, 131072, 8192
write, 0, f0e0d0c, 0, 164746, 131072, 8192
write, 0, f0e0d0c, 0, 164476, 131072, 8192
write, 0, f0e0d0c, 0, 164497, 131072, 8192
write, 0, f0e0d0c, 0, 164637, 131072, 8192
write, 0, f0e0d0c, 0, 164496, 131072, 8192
write, 0, f0e0d0c, 0, 164647, 131072, 8192
write, 0, f0e0d0c, 0, 164527, 131072, 8192
write, 0, f0e0d0c, 0, 164386, 131072, 8192
write, 0, f0e0d0c, 0, 164366, 131072, 8192
write, 0, f0e0d0c, 0, 164527, 131072, 8192
write, 0, f0e0d0c, 0, 164596, 131072, 8192
write, 0, f0e0d0c, 0, 164366, 131072, 8192
write, 0, f0e0d0c, 0, 164477, 131072, 8192
write, 0, f0e0d0c, 0, 164476, 131072, 8192
write, 0, f0e0d0c, 0, 164656, 131072, 8192
write, 0, f0e0d0c, 0, 164487, 131072, 8192
write, 0, f0e0d0c, 0, 164416, 131072, 8192
write, 0, f0e0d0c, 0, 164426, 131072, 8192
write, 0, f0e0d0c, 0, 164367, 131072, 8192
write, 0, f0e0d0c, 0, 164446, 131072, 8192
write, 0, f0e0d0c, 0, 170357, 131072, 8192
write, 0, f0e0d0c, 0, 164386, 131072, 8192
write, 0, f0e0d0c, 0, 164546, 131072, 8192
write, 0, f0e0d0c, 0, 164407, 131072, 8192
write, 0, f0e0d0c, 0, 164486, 131072, 8192
write, 0, f0e0d0c, 0, 164496, 131072, 8192
write, 0, f0e0d0c, 0, 164247, 131072, 8192
write, 0, f0e0d0c, 0, 164737, 131072, 8192
write, 0, f0e0d0c, 0, 164406, 131072, 8192
write, 0, f0e0d0c, 0, 164357, 131072, 8192
write, 0, f0e0d0c, 0, 164357, 131072, 8192
write, 0, f0e0d0c, 0, 164426, 131072, 8192
write, 0, f0e0d0c, 0, 164667, 131072, 8192
write, 0, f0e0d0c, 0, 164357, 131072, 8192
write, 0, f0e0d0c, 0, 164646, 131072, 8192
write, 0, f0e0d0c, 0, 164686, 131072, 8192
write, 0, f0e0d0c, 0, 164597, 131072, 8192
write, 0, f0e0d0c, 0, 164316, 131072, 8192
write, 0, f0e0d0c, 0, 164566, 131072, 8192
write, 0, f0e0d0c, 0, 164047, 131072, 8192
write, 0, f0e0d0c, 0, 164596, 131072, 8192
write, 0, f0e0d0c, 0, 164656, 131072, 8192
write, 0, f0e0d0c, 0, 164457, 131072, 8192
