operation, active cores, active slots, seconds, nanoseconds, bytes, iterations, slot sizes
write, 0, 0, 0, 178837, 131072, 8192, 1024
write, 0, 0, 0, 164446, 131072, 8192, 1024
write, 0, 0, 0, 164236, 131072, 8192, 1024
write, 0, 0, 0, 164307, 131072, 8192, 1024
write, 0, 0, 0, 164607, 131072, 8192, 1024
write, 0, 0, 0, 164326, 131072, 8192, 1024
write, 0, 0, 0, 164286, 131072, 8192, 1024
write, 0, 0, 0, 164487, 131072, 8192, 1024
write, 0, 0, 0, 164516, 131072, 8192, 1024
write, 0, 0, 0, 164376, 131072, 8192, 1024
write, 0, 0, 0, 164377, 131072, 8192, 1024
write, 0, 0, 0, 164297, 131072, 8192, 1024
write, 0, 0, 0, 164376, 131072, 8192, 1024
write, 0, 0, 0, 164426, 131072, 8192, 1024
write, 0, 0, 0, 164307, 131072, 8192, 1024
write, 0, 0, 0, 164246, 131072, 8192, 1024
write, 0, 0, 0, 174597, 131072, 8192, 1024
write, 0, 0, 0, 164477, 131072, 8192, 1024
write, 0, 0, 0, 164547, 131072, 8192, 1024
write, 0, 0, 0, 164456, 131072, 8192, 1024
write, 0, 0, 0, 164596, 131072, 8192, 1024
write, 0, 0, 0, 164537, 131072, 8192, 1024
write, 0, 0, 0, 164476, 131072, 8192, 1024
write, 0, 0, 0, 164376, 131072, 8192, 1024
write, 0, 0, 0, 164597, 131072, 8192, 1024
write, 0, 0, 0, 164277, 131072, 8192, 1024
write, 0, 0, 0, 164406, 131072, 8192, 1024
write, 0, 0, 0, 164346, 131072, 8192, 1024
write, 0, 0, 0, 164417, 131072, 8192, 1024
write, 0, 0, 0, 164276, 131072, 8192, 1024
write, 0, 0, 0, 164496, 131072, 8192, 1024
write, 0, 0, 0, 164337, 131072, 8192, 1024
write, 0, 0, 0, 164437, 131072, 8192, 1024
write, 0, 0, 0, 164286, 131072, 8192, 1024
write, 0, 0, 0, 164376, 131072, 8192, 1024
write, 0, 0, 0, 164457, 131072, 8192, 1024
write, 0, 0, 0, 164406, 131072, 8192, 1024
