operation, active cores, seconds, nanoseconds, bytes, iterations, budget
write, 0, 0, 693079, 131072, 8192, 20
write, 0, 0, 681338, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 691479, 131072, 8192, 20
write, 0, 0, 681338, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 687149, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 686779, 131072, 8192, 20
write, 0, 0, 681338, 131072, 8192, 20
write, 0, 0, 681369, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 686339, 131072, 8192, 20
write, 0, 0, 681338, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 686739, 131072, 8192, 20
write, 0, 0, 681369, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 686249, 131072, 8192, 20
write, 0, 0, 681338, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681359, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 687899, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 686609, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681359, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 686489, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 686459, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681369, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 686458, 131072, 8192, 20
write, 0, 0, 681339, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 686359, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 694690, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681359, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 687309, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681369, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 686599, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 686079, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681348, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 686799, 131072, 8192, 20
write, 0, 0, 681368, 131072, 8192, 20
write, 0, 0, 681358, 131072, 8192, 20
write, 1, 0, 692809, 131072, 8192, 20
write, 1, 0, 681348, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 695860, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 687529, 131072, 8192, 20
write, 1, 0, 681349, 131072, 8192, 20
write, 1, 0, 681348, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 686779, 131072, 8192, 20
write, 1, 0, 681369, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 686599, 131072, 8192, 20
write, 1, 0, 681348, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681369, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 686819, 131072, 8192, 20
write, 1, 0, 681348, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 686699, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681359, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 686279, 131072, 8192, 20
write, 1, 0, 681348, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 686309, 131072, 8192, 20
write, 1, 0, 681348, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 685829, 131072, 8192, 20
write, 1, 0, 681348, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 685869, 131072, 8192, 20
write, 1, 0, 681338, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 681368, 131072, 8192, 20
write, 1, 0, 681358, 131072, 8192, 20
write, 1, 0, 685538, 131072, 8192, 20
