operation, contention, priorities, seconds, nanoseconds, bytes
write, 0, f0e0d0c, 0, 2145305, 2097152
write, 0, f0e0d0c, 0, 1793839, 2097152
write, 0, f0e0d0c, 0, 1828522, 2097152
write, 0, f0e0d0c, 0, 1807160, 2097152
write, 0, f0e0d0c, 0, 1717771, 2097152
write, 0, f0e0d0c, 0, 1826782, 2097152
write, 0, f0e0d0c, 0, 1830663, 2097152
write, 0, f0e0d0c, 0, 1815702, 2097152
write, 0, f0e0d0c, 0, 1819392, 2097152
write, 0, f0e0d0c, 0, 1812071, 2097152
write, 0, f0e0d0c, 0, 1799499, 2097152
write, 0, f0e0d0c, 0, 1660286, 2097152
write, 0, f0e0d0c, 0, 1822702, 2097152
write, 0, f0e0d0c, 0, 1754535, 2097152
write, 0, f0e0d0c, 0, 1808181, 2097152
write, 0, f0e0d0c, 0, 1754276, 2097152
write, 0, f0e0d0c, 0, 1820302, 2097152
write, 0, f0e0d0c, 0, 1791569, 2097152
write, 0, f0e0d0c, 0, 1817942, 2097152
write, 0, f0e0d0c, 0, 1808181, 2097152
write, 0, f0e0d0c, 0, 1839534, 2097152
write, 0, f0e0d0c, 0, 1797950, 2097152
write, 0, f0e0d0c, 0, 1794570, 2097152
write, 0, f0e0d0c, 0, 1808901, 2097152
write, 0, f0e0d0c, 0, 1820722, 2097152
write, 0, f0e0d0c, 0, 1804661, 2097152
write, 0, f0e0d0c, 0, 1751295, 2097152
write, 0, f0e0d0c, 0, 1820012, 2097152
write, 0, f0e0d0c, 0, 1821132, 2097152
write, 0, f0e0d0c, 0, 1813841, 2097152
write, 0, f0e0d0c, 0, 1811041, 2097152
write, 0, f0e0d0c, 0, 1816322, 2097152
write, 0, f0e0d0c, 0, 1797410, 2097152
write, 0, f0e0d0c, 0, 1824832, 2097152
write, 0, f0e0d0c, 0, 1806760, 2097152
write, 0, f0e0d0c, 0, 1727322, 2097152
write, 0, f0e0d0c, 0, 1821762, 2097152
write, 0, f0e0d0c, 0, 1814531, 2097152
write, 0, f0e0d0c, 0, 1815851, 2097152
write, 0, f0e0d0c, 0, 1811291, 2097152
write, 0, f0e0d0c, 0, 1817182, 2097152
