operation, active cores, seconds, nanoseconds, bytes, iterations, budget
write, 0, 0, 2310741, 131072, 8192, 20
write, 0, 0, 2295770, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2304120, 131072, 8192, 20
write, 0, 0, 2288148, 131072, 8192, 20
write, 0, 0, 2294969, 131072, 8192, 20
write, 0, 0, 2288159, 131072, 8192, 20
write, 0, 0, 2294410, 131072, 8192, 20
write, 0, 0, 2294090, 131072, 8192, 20
write, 0, 0, 2288129, 131072, 8192, 20
write, 0, 0, 2294400, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2295759, 131072, 8192, 20
write, 0, 0, 2288149, 131072, 8192, 20
write, 0, 0, 2294830, 131072, 8192, 20
write, 0, 0, 2294470, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2294550, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2294519, 131072, 8192, 20
write, 0, 0, 2288138, 131072, 8192, 20
write, 0, 0, 2294620, 131072, 8192, 20
write, 0, 0, 2295129, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2294270, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2295389, 131072, 8192, 20
write, 0, 0, 2288148, 131072, 8192, 20
write, 0, 0, 2294239, 131072, 8192, 20
write, 0, 0, 2294399, 131072, 8192, 20
write, 0, 0, 2288149, 131072, 8192, 20
write, 0, 0, 2294350, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2294329, 131072, 8192, 20
write, 0, 0, 2294580, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2295199, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2295180, 131072, 8192, 20
write, 0, 0, 2288159, 131072, 8192, 20
write, 0, 0, 2295209, 131072, 8192, 20
write, 0, 0, 2294989, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2295079, 131072, 8192, 20
write, 0, 0, 2288159, 131072, 8192, 20
write, 0, 0, 2294620, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2294609, 131072, 8192, 20
write, 0, 0, 2299680, 131072, 8192, 20
write, 0, 0, 2288169, 131072, 8192, 20
write, 0, 0, 2295330, 131072, 8192, 20
write, 0, 0, 2288159, 131072, 8192, 20
write, 0, 0, 2294639, 131072, 8192, 20
write, 0, 0, 2288138, 131072, 8192, 20
write, 0, 0, 2294569, 131072, 8192, 20
write, 0, 0, 2294029, 131072, 8192, 20
write, 0, 0, 2288129, 131072, 8192, 20
write, 0, 0, 2294770, 131072, 8192, 20
write, 0, 0, 2288129, 131072, 8192, 20
write, 0, 0, 2294579, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2293659, 131072, 8192, 20
write, 0, 0, 2293629, 131072, 8192, 20
write, 0, 0, 2288138, 131072, 8192, 20
write, 0, 0, 2294539, 131072, 8192, 20
write, 0, 0, 2288169, 131072, 8192, 20
write, 0, 0, 2294580, 131072, 8192, 20
write, 0, 0, 2288159, 131072, 8192, 20
write, 0, 0, 2294559, 131072, 8192, 20
write, 0, 0, 2294559, 131072, 8192, 20
write, 0, 0, 2288149, 131072, 8192, 20
write, 0, 0, 2294499, 131072, 8192, 20
write, 0, 0, 2288159, 131072, 8192, 20
write, 0, 0, 2294580, 131072, 8192, 20
write, 0, 0, 2288149, 131072, 8192, 20
write, 0, 0, 2293729, 131072, 8192, 20
write, 0, 0, 2293610, 131072, 8192, 20
write, 0, 0, 2288119, 131072, 8192, 20
write, 0, 0, 2294629, 131072, 8192, 20
write, 0, 0, 2288129, 131072, 8192, 20
write, 0, 0, 2293609, 131072, 8192, 20
write, 0, 0, 2294479, 131072, 8192, 20
write, 0, 0, 2288138, 131072, 8192, 20
write, 0, 0, 2294560, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2294670, 131072, 8192, 20
write, 0, 0, 2288159, 131072, 8192, 20
write, 0, 0, 2293709, 131072, 8192, 20
write, 0, 0, 2294439, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2294509, 131072, 8192, 20
write, 0, 0, 2289219, 131072, 8192, 20
write, 0, 0, 2294600, 131072, 8192, 20
write, 0, 0, 2288129, 131072, 8192, 20
write, 0, 0, 2299059, 131072, 8192, 20
write, 0, 0, 2295429, 131072, 8192, 20
write, 0, 0, 2288139, 131072, 8192, 20
write, 0, 0, 2294690, 131072, 8192, 20
write, 0, 0, 2288129, 131072, 8192, 20
write, 0, 0, 2294509, 131072, 8192, 20
write, 1, 0, 2310781, 131072, 8192, 20
write, 1, 0, 2288149, 131072, 8192, 20
write, 1, 0, 2296539, 131072, 8192, 20
write, 1, 0, 2288129, 131072, 8192, 20
write, 1, 0, 2294860, 131072, 8192, 20
