operation, active cores, active slots, seconds, nanoseconds, bytes, iterations, slot sizes
write, 0, 0, 0, 507460, 131072, 8192, 1024
write, 0, 0, 0, 490739, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490750, 131072, 8192, 1024
write, 0, 0, 0, 508041, 131072, 8192, 1024
write, 0, 0, 0, 490729, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490739, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 497500, 131072, 8192, 1024
write, 0, 0, 0, 490740, 131072, 8192, 1024
write, 0, 0, 0, 490759, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490759, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 496560, 131072, 8192, 1024
write, 0, 0, 0, 490719, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 495850, 131072, 8192, 1024
write, 0, 0, 0, 490709, 131072, 8192, 1024
write, 0, 0, 0, 490739, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490750, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 506631, 131072, 8192, 1024
write, 0, 0, 0, 490719, 131072, 8192, 1024
write, 0, 0, 0, 496569, 131072, 8192, 1024
write, 0, 0, 0, 490710, 131072, 8192, 1024
write, 0, 0, 0, 490739, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 498780, 131072, 8192, 1024
write, 0, 0, 0, 490719, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
write, 0, 0, 0, 496779, 131072, 8192, 1024
write, 0, 0, 0, 490729, 131072, 8192, 1024
write, 0, 0, 0, 490749, 131072, 8192, 1024
