benchamrk, data-size, run, duration
disparity, cif, 1, 102749472
disparity, cif, 2, 117809957
disparity, cif, 3, 102908547
disparity, cif, 4, 139927602
disparity, cif, 5, 102844301
disparity, qcif, 1, 21081307
disparity, qcif, 2, 20987065
disparity, qcif, 3, 22452895
disparity, qcif, 4, 21917296
disparity, qcif, 5, 20798520
disparity, sim, 1, 262475
disparity, sim, 2, 266294
disparity, sim, 3, 269932
disparity, sim, 4, 275282
disparity, sim, 5, 253952
disparity, sim_fast, 1, 142595
disparity, sim_fast, 2, 133940
disparity, sim_fast, 3, 131444
disparity, sim_fast, 4, 146753
disparity, sim_fast, 5, 140451
disparity, sqcif, 1, 8209100
disparity, sqcif, 2, 6811930
disparity, sqcif, 3, 6352077
disparity, sqcif, 4, 8426928
disparity, sqcif, 5, 6389152
disparity, vga, 1, 316927849
disparity, vga, 2, 320451885
disparity, vga, 3, 367180729
disparity, vga, 4, 432377154
disparity, vga, 5, 317287767
localization, cif, 1, 77098757
localization, cif, 2, 77067882
localization, cif, 3, 77068094
localization, cif, 4, 77089910
localization, cif, 5, 77166807
localization, qcif, 1, 23244580
localization, qcif, 2, 23264418
localization, qcif, 3, 23294053
localization, qcif, 4, 23380994
localization, qcif, 5, 23241490
localization, sim, 1, 237639
localization, sim, 2, 257945
localization, sim, 3, 250194
localization, sim, 4, 237067
localization, sim, 5, 251254
localization, sim_fast, 1, 53289
localization, sim_fast, 2, 53397
localization, sim_fast, 3, 51354
localization, sim_fast, 4, 51112
localization, sim_fast, 5, 52447
localization, sqcif, 1, 3067783
localization, sqcif, 2, 3031276
localization, sqcif, 3, 3092674
localization, sqcif, 4, 3049077
localization, sqcif, 5, 3045402
localization, vga, 1, 280516322
localization, vga, 2, 280916050
localization, vga, 3, 279995626
localization, vga, 4, 282827650
localization, vga, 5, 279960955
mser, cif, 1, 32763662
mser, cif, 2, 32720354
mser, cif, 3, 32722092
mser, cif, 4, 32473816
mser, cif, 5, 32531758
mser, qcif, 1, 6290126
mser, qcif, 2, 6347691
mser, qcif, 3, 6346654
mser, qcif, 4, 6364525
mser, qcif, 5, 6308974
mser, sim, 1, 687456
mser, sim, 2, 741367
mser, sim, 3, 677517
mser, sim, 4, 704172
mser, sim, 5, 680545
mser, sim_fast, 1, 194227
mser, sim_fast, 2, 208017
mser, sim_fast, 3, 224933
