benchamrk, data-size, run, duration
disparity, cif, 1, 157703095
disparity, cif, 2, 157517771
disparity, cif, 3, 157692249
disparity, cif, 4, 157675555
disparity, cif, 5, 158049835
disparity, qcif, 1, 28882823
disparity, qcif, 2, 28613402
disparity, qcif, 3, 29083086
disparity, qcif, 4, 28890283
disparity, qcif, 5, 28818004
disparity, sim, 1, 300778
disparity, sim, 2, 304620
disparity, sim, 3, 270843
disparity, sim, 4, 263611
disparity, sim, 5, 302493
disparity, sim_fast, 1, 178869
disparity, sim_fast, 2, 178109
disparity, sim_fast, 3, 140656
disparity, sim_fast, 4, 139763
disparity, sim_fast, 5, 143691
disparity, sqcif, 1, 9282350
disparity, sqcif, 2, 9045773
disparity, sqcif, 3, 9502391
disparity, sqcif, 4, 9052548
disparity, sqcif, 5, 9028170
disparity, vga, 1, 485171237
disparity, vga, 2, 480376777
disparity, vga, 3, 480911930
disparity, vga, 4, 480453573
disparity, vga, 5, 480840389
localization, cif, 1, 77705335
localization, cif, 2, 77845832
localization, cif, 3, 77522356
localization, cif, 4, 77880065
localization, cif, 5, 77821121
localization, qcif, 1, 23485262
localization, qcif, 2, 23482630
localization, qcif, 3, 23263954
localization, qcif, 4, 23332226
localization, qcif, 5, 23345210
localization, sim, 1, 235225
localization, sim, 2, 454523
localization, sim, 3, 236201
localization, sim, 4, 249196
localization, sim, 5, 269074
localization, sim_fast, 1, 211399
localization, sim_fast, 2, 56262
localization, sim_fast, 3, 49522
localization, sim_fast, 4, 192336
localization, sim_fast, 5, 52697
localization, sqcif, 1, 3059551
localization, sqcif, 2, 3568868
localization, sqcif, 3, 3293026
localization, sqcif, 4, 3132822
localization, sqcif, 5, 3063270
localization, vga, 1, 289946120
localization, vga, 2, 286340399
localization, vga, 3, 286313654
localization, vga, 4, 286117673
localization, vga, 5, 286083030
mser, cif, 1, 39838040
mser, cif, 2, 39799795
mser, cif, 3, 39817893
mser, cif, 4, 39841301
mser, cif, 5, 39844326
mser, qcif, 1, 7450974
mser, qcif, 2, 7496759
mser, qcif, 3, 7499704
mser, qcif, 4, 7562072
mser, qcif, 5, 7552990
mser, sim, 1, 802759
mser, sim, 2, 757740
mser, sim, 3, 852148
mser, sim, 4, 811607
mser, sim, 5, 810307
mser, sim_fast, 1, 230362
mser, sim_fast, 2, 231888
mser, sim_fast, 3, 242424
mser, sim_fast, 4, 230942
mser, sim_fast, 5, 229505
mser, sqcif, 1, 837542
mser, sqcif, 2, 797679
mser, sqcif, 3, 801726
mser, sqcif, 4, 832544
mser, sqcif, 5, 819334
mser, vga, 1, 150486220
mser, vga, 2, 150631551
mser, vga, 3, 150450864
mser, vga, 4, 150530100
mser, vga, 5, 150775049
sift, cif, 1, 196883588
sift, cif, 2, 200480892
sift, cif, 3, 197079128
sift, cif, 4, 197067923
sift, cif, 5, 196984369
sift, qcif, 1, 45298314
sift, qcif, 2, 45260332
sift, qcif, 3, 45436741
sift, qcif, 4, 45191221
sift, qcif, 5, 45372365
sift, sim, 1, 1967702
sift, sim, 2, 1791771
sift, sim, 3, 1826794
sift, sim, 4, 1760044
sift, sim, 5, 1730531
sift, sim_fast, 1, 313321
sift, sim_fast, 2, 403763
sift, sim_fast, 3, 436248
sift, sim_fast, 4, 314245
sift, sim_fast, 5, 401847
sift, sqcif, 1, 19552289
sift, sqcif, 2, 19705310
sift, sqcif, 3, 19736983
sift, sqcif, 4, 19624817
sift, sqcif, 5, 19657966
sift, vga, 1, 610332951
sift, vga, 2, 610543828
sift, vga, 3, 615119023
sift, vga, 4, 610460759
sift, vga, 5, 611782347
stitch, cif, 1, 75153951
stitch, cif, 2, 75247303
stitch, cif, 3, 75329096
stitch, cif, 4, 75250207
stitch, cif, 5, 75188463
stitch, qcif, 1, 16826087
stitch, qcif, 2, 16823001
stitch, qcif, 3, 16774045
stitch, qcif, 4, 16876765
stitch, qcif, 5, 16868779
stitch, sim, 1, 62497
stitch, sim, 2, 107937
stitch, sim, 3, 63002
stitch, sim, 4, 62855
stitch, sim, 5, 62866
stitch, sim_fast, 1, 39578
stitch, sim_fast, 2, 38751
stitch, sim_fast, 3, 96157
stitch, sim_fast, 4, 39589
stitch, sim_fast, 5, 39295
stitch, sqcif, 1, 5896054
stitch, sqcif, 2, 5968579
stitch, sqcif, 3, 6018954
stitch, sqcif, 4, 5918565
stitch, sqcif, 5, 5941624
stitch, vga, 1, 786608621
stitch, vga, 2, 959607313
stitch, vga, 3, 1110612303
stitch, vga, 4, 1107692007
stitch, vga, 5, 1203959143
texture_synthesis, cif, 1, 7553747
texture_synthesis, cif, 2, 7581314
texture_synthesis, cif, 3, 7616100
texture_synthesis, cif, 4, 7626058
texture_synthesis, cif, 5, 7568735
texture_synthesis, qcif, 1, 3846752
texture_synthesis, qcif, 2, 3719033
texture_synthesis, qcif, 3, 3843170
texture_synthesis, qcif, 4, 3688829
texture_synthesis, qcif, 5, 3736650
texture_synthesis, sim, 1, 727577
texture_synthesis, sim, 2, 728910
texture_synthesis, sim, 3, 722970
texture_synthesis, sim, 4, 719925
texture_synthesis, sim, 5, 898611
texture_synthesis, sim_fast, 1, 218504
texture_synthesis, sim_fast, 2, 104065
texture_synthesis, sim_fast, 3, 104468
texture_synthesis, sim_fast, 4, 292749
texture_synthesis, sim_fast, 5, 208051
texture_synthesis, sqcif, 1, 24050975
texture_synthesis, sqcif, 2, 24015295
texture_synthesis, sqcif, 3, 24099474
texture_synthesis, sqcif, 4, 24056617
texture_synthesis, sqcif, 5, 24052805
texture_synthesis, vga, 1, 33351879
texture_synthesis, vga, 2, 33227891
texture_synthesis, vga, 3, 33312087
texture_synthesis, vga, 4, 33283616
texture_synthesis, vga, 5, 33316500
tracking, cif, 1, 46252788
tracking, cif, 2, 46259098
tracking, cif, 3, 46418549
tracking, cif, 4, 46197925
tracking, cif, 5, 46279776
tracking, qcif, 1, 10211750
tracking, qcif, 2, 10272508
