benchamrk, data-size, run, duration
disparity, cif, 1, 60522175
disparity, cif, 2, 60545350
disparity, cif, 3, 60595022
disparity, cif, 4, 60553010
disparity, cif, 5, 60617663
disparity, qcif, 1, 12579194
disparity, qcif, 2, 12430777
disparity, qcif, 3, 12563948
disparity, qcif, 4, 12426443
disparity, qcif, 5, 12327088
disparity, sim, 1, 234400
disparity, sim, 2, 219439
disparity, sim, 3, 218732
disparity, sim, 4, 219780
disparity, sim, 5, 239072
disparity, sim_fast, 1, 104163
disparity, sim_fast, 2, 103675
disparity, sim_fast, 3, 123781
disparity, sim_fast, 4, 103457
disparity, sim_fast, 5, 104422
disparity, sqcif, 1, 5497454
disparity, sqcif, 2, 5503284
disparity, sqcif, 3, 5516669
disparity, sqcif, 4, 5496573
disparity, sqcif, 5, 5533944
disparity, vga, 1, 201690196
disparity, vga, 2, 202080750
disparity, vga, 3, 202045400
disparity, vga, 4, 202171555
disparity, vga, 5, 201980940
localization, cif, 1, 76798451
localization, cif, 2, 76945885
localization, cif, 3, 76938934
localization, cif, 4, 76974515
localization, cif, 5, 76878610
localization, qcif, 1, 23252948
localization, qcif, 2, 23268750
localization, qcif, 3, 23394153
localization, qcif, 4, 23292003
localization, qcif, 5, 23273131
localization, sim, 1, 301767
localization, sim, 2, 224223
localization, sim, 3, 223517
localization, sim, 4, 223603
localization, sim, 5, 238928
localization, sim_fast, 1, 38063
localization, sim_fast, 2, 56851
localization, sim_fast, 3, 37436
localization, sim_fast, 4, 38131
localization, sim_fast, 5, 37747
localization, sqcif, 1, 2968850
localization, sqcif, 2, 2991602
localization, sqcif, 3, 2981853
localization, sqcif, 4, 2992087
localization, sqcif, 5, 3028315
localization, vga, 1, 276386970
localization, vga, 2, 277892944
localization, vga, 3, 276447057
localization, vga, 4, 276394633
localization, vga, 5, 276618952
mser, cif, 1, 17231080
mser, cif, 2, 17208299
mser, cif, 3, 17218892
mser, cif, 4, 17230354
mser, cif, 5, 17226022
mser, qcif, 1, 3634923
mser, qcif, 2, 3699251
mser, qcif, 3, 3706133
mser, qcif, 4, 3677410
mser, qcif, 5, 3675582
mser, sim, 1, 594003
mser, sim, 2, 602202
mser, sim, 3, 614844
mser, sim, 4, 611991
mser, sim, 5, 613285
mser, sim_fast, 1, 175585
mser, sim_fast, 2, 178707
mser, sim_fast, 3, 182020
mser, sim_fast, 4, 226399
mser, sim_fast, 5, 287149
mser, sqcif, 1, 582059
mser, sqcif, 2, 571312
mser, sqcif, 3, 587431
mser, sqcif, 4, 589701
mser, sqcif, 5, 598878
mser, vga, 1, 63991223
mser, vga, 2, 63937782
mser, vga, 3, 64112759
mser, vga, 4, 64031456
mser, vga, 5, 64036677
sift, cif, 1, 143487955
sift, cif, 2, 143566071
sift, cif, 3, 143514506
sift, cif, 4, 143546453
sift, cif, 5, 143459960
sift, qcif, 1, 33680184
sift, qcif, 2, 33703062
sift, qcif, 3, 33662293
sift, qcif, 4, 33764880
sift, qcif, 5, 33676653
sift, sim, 1, 1465660
sift, sim, 2, 1474528
sift, sim, 3, 1486105
sift, sim, 4, 1481161
sift, sim, 5, 1534044
sift, sim_fast, 1, 301256
sift, sim_fast, 2, 283961
sift, sim_fast, 3, 282796
sift, sim_fast, 4, 300500
sift, sim_fast, 5, 301301
sift, sqcif, 1, 14939782
sift, sqcif, 2, 14954969
sift, sqcif, 3, 14964758
sift, sqcif, 4, 14952452
sift, sqcif, 5, 14946557
sift, vga, 1, 440630789
sift, vga, 2, 439722246
sift, vga, 3, 439621129
sift, vga, 4, 438563174
sift, vga, 5, 439605926
stitch, cif, 1, 69951477
stitch, cif, 2, 69840707
stitch, cif, 3, 69931156
stitch, cif, 4, 69896187
stitch, cif, 5, 69877533
stitch, qcif, 1, 15481442
stitch, qcif, 2, 15550262
stitch, qcif, 3, 15507898
