benchamrk, data-size, run, duration
disparity, cif, 1, 103041636
disparity, cif, 2, 103007360
disparity, cif, 3, 103057231
disparity, cif, 4, 103069353
disparity, cif, 5, 102942225
disparity, qcif, 1, 21396076
disparity, qcif, 2, 21008940
disparity, qcif, 3, 21839211
disparity, qcif, 4, 20733085
disparity, qcif, 5, 21944028
disparity, sim, 1, 251550
disparity, sim, 2, 260535
disparity, sim, 3, 262967
disparity, sim, 4, 251526
disparity, sim, 5, 262581
disparity, sim_fast, 1, 142315
disparity, sim_fast, 2, 129896
disparity, sim_fast, 3, 130688
disparity, sim_fast, 4, 132184
disparity, sim_fast, 5, 132687
disparity, sqcif, 1, 6271467
disparity, sqcif, 2, 6344336
disparity, sqcif, 3, 6326228
disparity, sqcif, 4, 6406035
disparity, sqcif, 5, 6388777
disparity, vga, 1, 317208174
disparity, vga, 2, 317452144
disparity, vga, 3, 316813868
disparity, vga, 4, 317361303
disparity, vga, 5, 316987330
localization, cif, 1, 77076142
localization, cif, 2, 76965392
localization, cif, 3, 76920932
localization, cif, 4, 77216188
localization, cif, 5, 77141252
localization, qcif, 1, 23205220
localization, qcif, 2, 23326216
localization, qcif, 3, 23223618
localization, qcif, 4, 23224934
localization, qcif, 5, 23250088
localization, sim, 1, 253723
localization, sim, 2, 244079
localization, sim, 3, 256690
localization, sim, 4, 250889
localization, sim, 5, 239447
localization, sim_fast, 1, 50169
localization, sim_fast, 2, 53814
localization, sim_fast, 3, 47907
localization, sim_fast, 4, 51099
localization, sim_fast, 5, 52257
localization, sqcif, 1, 3040074
localization, sqcif, 2, 3035078
localization, sqcif, 3, 3044296
localization, sqcif, 4, 3028523
localization, sqcif, 5, 3031031
localization, vga, 1, 279902648
localization, vga, 2, 280034021
localization, vga, 3, 280175318
localization, vga, 4, 279873429
localization, vga, 5, 281013691
mser, cif, 1, 32988005
mser, cif, 2, 32645773
mser, cif, 3, 32669832
mser, cif, 4, 33006235
mser, cif, 5, 32923091
mser, qcif, 1, 6415289
mser, qcif, 2, 6425741
mser, qcif, 3, 6377528
mser, qcif, 4, 6405032
mser, qcif, 5, 6381653
mser, sim, 1, 750433
mser, sim, 2, 689509
mser, sim, 3, 722236
mser, sim, 4, 721337
mser, sim, 5, 706354
mser, sim_fast, 1, 201998
mser, sim_fast, 2, 186126
mser, sim_fast, 3, 201971
mser, sim_fast, 4, 184896
mser, sim_fast, 5, 185756
mser, sqcif, 1, 674632
mser, sqcif, 2, 738654
mser, sqcif, 3, 769765
mser, sqcif, 4, 680034
mser, sqcif, 5, 676527
mser, vga, 1, 121730516
mser, vga, 2, 121859426
mser, vga, 3, 121780700
mser, vga, 4, 122010341
mser, vga, 5, 122884774
sift, cif, 1, 170099403
sift, cif, 2, 170463984
sift, cif, 3, 172536311
sift, cif, 4, 170714771
sift, cif, 5, 172884883
sift, qcif, 1, 39755307
sift, qcif, 2, 40071207
sift, qcif, 3, 39258113
sift, qcif, 4, 40037518
sift, qcif, 5, 39587530
sift, sim, 1, 1616872
sift, sim, 2, 1665862
sift, sim, 3, 1648765
sift, sim, 4, 1642377
sift, sim, 5, 1651750
sift, sim_fast, 1, 327792
sift, sim_fast, 2, 331125
sift, sim_fast, 3, 311457
sift, sim_fast, 4, 328804
sift, sim_fast, 5, 331302
sift, sqcif, 1, 17218939
sift, sqcif, 2, 17239047
sift, sqcif, 3, 17288043
sift, sqcif, 4, 17216781
sift, sqcif, 5, 17516275
sift, vga, 1, 529317891
sift, vga, 2, 533388600
sift, vga, 3, 531411163
sift, vga, 4, 530091812
sift, vga, 5, 532200544
stitch, cif, 1, 71185272
stitch, cif, 2, 71101758
stitch, cif, 3, 71183111
stitch, cif, 4, 71101723
stitch, cif, 5, 71677702
stitch, qcif, 1, 16021882
stitch, qcif, 2, 15969480
stitch, qcif, 3, 15966464
stitch, qcif, 4, 16011756
stitch, qcif, 5, 16046138
stitch, sim, 1, 66378
stitch, sim, 2, 65563
stitch, sim, 3, 67030
stitch, sim, 4, 66039
stitch, sim, 5, 63926
stitch, sim_fast, 1, 39944
stitch, sim_fast, 2, 39763
stitch, sim_fast, 3, 40961
stitch, sim_fast, 4, 42007
stitch, sim_fast, 5, 62385
stitch, sqcif, 1, 5663874
stitch, sqcif, 2, 5651022
stitch, sqcif, 3, 5662013
stitch, sqcif, 4, 5647863
stitch, sqcif, 5, 5647585
stitch, vga, 1, 755677271
stitch, vga, 2, 690582755
stitch, vga, 3, 736997010
stitch, vga, 4, 698413558
stitch, vga, 5, 701211731
texture_synthesis, cif, 1, 7051091
texture_synthesis, cif, 2, 6980406
texture_synthesis, cif, 3, 7058076
texture_synthesis, cif, 4, 7048831
texture_synthesis, cif, 5, 6978517
texture_synthesis, qcif, 1, 3421327
texture_synthesis, qcif, 2, 3484620
texture_synthesis, qcif, 3, 3427865
texture_synthesis, qcif, 4, 3472196
texture_synthesis, qcif, 5, 3451597
texture_synthesis, sim, 1, 734607
texture_synthesis, sim, 2, 743633
texture_synthesis, sim, 3, 734700
texture_synthesis, sim, 4, 734518
texture_synthesis, sim, 5, 762170
texture_synthesis, sim_fast, 1, 119037
texture_synthesis, sim_fast, 2, 120186
texture_synthesis, sim_fast, 3, 115878
texture_synthesis, sim_fast, 4, 130467
