benchamrk, data-size, run, duration
disparity, cif, 1, 108786427
disparity, cif, 2, 108666920
disparity, cif, 3, 108429006
disparity, cif, 4, 108725617
disparity, cif, 5, 108677037
disparity, qcif, 1, 21766100
disparity, qcif, 2, 22029418
disparity, qcif, 3, 21821659
disparity, qcif, 4, 22157547
disparity, qcif, 5, 21924493
disparity, sim, 1, 272306
disparity, sim, 2, 256881
disparity, sim, 3, 276324
disparity, sim, 4, 288839
disparity, sim, 5, 289325
disparity, sim_fast, 1, 135559
disparity, sim_fast, 2, 170498
disparity, sim_fast, 3, 166071
disparity, sim_fast, 4, 138016
disparity, sim_fast, 5, 136343
disparity, sqcif, 1, 6699653
disparity, sqcif, 2, 6691186
disparity, sqcif, 3, 6824966
disparity, sqcif, 4, 6991791
disparity, sqcif, 5, 8550739
disparity, vga, 1, 339375807
disparity, vga, 2, 339253763
disparity, vga, 3, 339262830
disparity, vga, 4, 339276979
disparity, vga, 5, 339278137
localization, cif, 1, 77670971
localization, cif, 2, 77430358
localization, cif, 3, 77506038
localization, cif, 4, 77861062
localization, cif, 5, 77849872
localization, qcif, 1, 23571097
localization, qcif, 2, 23279865
localization, qcif, 3, 23428327
localization, qcif, 4, 23279552
localization, qcif, 5, 23322600
localization, sim, 1, 262472
localization, sim, 2, 261216
localization, sim, 3, 245239
localization, sim, 4, 262106
localization, sim, 5, 256505
localization, sim_fast, 1, 49201
localization, sim_fast, 2, 47116
localization, sim_fast, 3, 65180
localization, sim_fast, 4, 47166
localization, sim_fast, 5, 46618
localization, sqcif, 1, 3031509
localization, sqcif, 2, 3037099
localization, sqcif, 3, 3031332
localization, sqcif, 4, 3042266
localization, sqcif, 5, 3091320
localization, vga, 1, 282425831
localization, vga, 2, 285242920
localization, vga, 3, 282134617
localization, vga, 4, 282205499
localization, vga, 5, 282527048
mser, cif, 1, 34475883
mser, cif, 2, 34453906
mser, cif, 3, 34493006
mser, cif, 4, 34417837
mser, cif, 5, 34406282
mser, qcif, 1, 6647007
mser, qcif, 2, 6603661
mser, qcif, 3, 6666950
mser, qcif, 4, 6661112
mser, qcif, 5, 6711370
mser, sim, 1, 822642
mser, sim, 2, 755902
mser, sim, 3, 798065
mser, sim, 4, 791439
mser, sim, 5, 724854
mser, sim_fast, 1, 220824
mser, sim_fast, 2, 214263
mser, sim_fast, 3, 187567
mser, sim_fast, 4, 215931
mser, sim_fast, 5, 218379
