benchamrk, data-size, run, duration
disparity, cif, 1, 50600765
disparity, cif, 2, 50299895
disparity, cif, 3, 50477441
disparity, cif, 4, 50310262
disparity, cif, 5, 50477076
disparity, qcif, 1, 11443210
disparity, qcif, 2, 11409418
disparity, qcif, 3, 11347349
disparity, qcif, 4, 11515817
disparity, qcif, 5, 11441985
disparity, sim, 1, 215678
disparity, sim, 2, 214336
disparity, sim, 3, 213774
disparity, sim, 4, 213831
disparity, sim, 5, 215074
disparity, sim_fast, 1, 96451
disparity, sim_fast, 2, 96616
disparity, sim_fast, 3, 96745
disparity, sim_fast, 4, 97272
disparity, sim_fast, 5, 96942
disparity, sqcif, 1, 5287671
disparity, sqcif, 2, 5211998
disparity, sqcif, 3, 5238141
disparity, sqcif, 4, 5195560
disparity, sqcif, 5, 5179904
disparity, vga, 1, 169950253
disparity, vga, 2, 170316362
disparity, vga, 3, 170336834
disparity, vga, 4, 170683176
disparity, vga, 5, 170359478
localization, cif, 1, 76342149
localization, cif, 2, 76354361
localization, cif, 3, 76383409
localization, cif, 4, 76391645
localization, cif, 5, 76426096
localization, qcif, 1, 23148371
localization, qcif, 2, 23162873
localization, qcif, 3, 23193262
localization, qcif, 4, 23186346
localization, qcif, 5, 23145226
localization, sim, 1, 221322
localization, sim, 2, 224821
localization, sim, 3, 224713
localization, sim, 4, 224052
localization, sim, 5, 226186
localization, sim_fast, 1, 35644
localization, sim_fast, 2, 35666
localization, sim_fast, 3, 36262
localization, sim_fast, 4, 37272
localization, sim_fast, 5, 35492
localization, sqcif, 1, 2937695
localization, sqcif, 2, 2922830
localization, sqcif, 3, 2930794
localization, sqcif, 4, 2924877
localization, sqcif, 5, 2923249
localization, vga, 1, 274312910
localization, vga, 2, 274485111
localization, vga, 3, 274522742
localization, vga, 4, 274200931
localization, vga, 5, 274214706
mser, cif, 1, 12390904
mser, cif, 2, 12456068
mser, cif, 3, 12410594
mser, cif, 4, 12411207
mser, cif, 5, 12444292
mser, qcif, 1, 2784462
mser, qcif, 2, 2768923
mser, qcif, 3, 2770891
mser, qcif, 4, 2776411
mser, qcif, 5, 2789243
mser, sim, 1, 529589
mser, sim, 2, 521364
mser, sim, 3, 535477
mser, sim, 4, 532190
mser, sim, 5, 524902
mser, sim_fast, 1, 153773
mser, sim_fast, 2, 148003
mser, sim_fast, 3, 147826
mser, sim_fast, 4, 147785
mser, sim_fast, 5, 149126
mser, sqcif, 1, 514623
mser, sqcif, 2, 528231
mser, sqcif, 3, 518502
mser, sqcif, 4, 521425
mser, sqcif, 5, 510319
mser, vga, 1, 45124094
mser, vga, 2, 45154964
mser, vga, 3, 45004086
