benchamrk, data-size, run, duration
disparity, cif, 1, 124250170
disparity, cif, 2, 126035400
disparity, cif, 3, 123986954
disparity, cif, 4, 138168377
disparity, cif, 5, 137507226
disparity, qcif, 1, 25529163
disparity, qcif, 2, 25073814
disparity, qcif, 3, 25294621
disparity, qcif, 4, 25479176
disparity, qcif, 5, 25220958
disparity, sim, 1, 284035
disparity, sim, 2, 299048
disparity, sim, 3, 276974
disparity, sim, 4, 289053
disparity, sim, 5, 287163
disparity, sim_fast, 1, 159430
disparity, sim_fast, 2, 161888
disparity, sim_fast, 3, 149408
disparity, sim_fast, 4, 149041
disparity, sim_fast, 5, 165556
disparity, sqcif, 1, 8220255
disparity, sqcif, 2, 8789891
disparity, sqcif, 3, 7928154
disparity, sqcif, 4, 7182375
disparity, sqcif, 5, 8286737
disparity, vga, 1, 387763087
disparity, vga, 2, 428350334
disparity, vga, 3, 436840265
disparity, vga, 4, 392364568
disparity, vga, 5, 387381239
localization, cif, 1, 77015525
localization, cif, 2, 77156124
localization, cif, 3, 77198204
localization, cif, 4, 77679476
localization, cif, 5, 77182179
localization, qcif, 1, 23323570
localization, qcif, 2, 23271155
localization, qcif, 3, 23363603
localization, qcif, 4, 23289546
localization, qcif, 5, 23379418
localization, sim, 1, 247058
localization, sim, 2, 242120
localization, sim, 3, 235687
localization, sim, 4, 253872
localization, sim, 5, 265342
localization, sim_fast, 1, 55084
localization, sim_fast, 2, 53677
localization, sim_fast, 3, 71904
localization, sim_fast, 4, 57904
localization, sim_fast, 5, 56423
localization, sqcif, 1, 3078557
localization, sqcif, 2, 3102379
localization, sqcif, 3, 3092257
localization, sqcif, 4, 3064838
localization, sqcif, 5, 3080602
localization, vga, 1, 283964651
localization, vga, 2, 282448388
localization, vga, 3, 283530793
localization, vga, 4, 282672384
localization, vga, 5, 282056262
mser, cif, 1, 35126891
mser, cif, 2, 34761627
mser, cif, 3, 34861820
mser, cif, 4, 34732449
mser, cif, 5, 34830928
mser, qcif, 1, 6818101
mser, qcif, 2, 6736565
mser, qcif, 3, 6752943
mser, qcif, 4, 6725707
mser, qcif, 5, 6784878
mser, sim, 1, 745276
mser, sim, 2, 800311
mser, sim, 3, 791787
mser, sim, 4, 791090
mser, sim, 5, 787108
mser, sim_fast, 1, 233207
mser, sim_fast, 2, 214862
mser, sim_fast, 3, 210308
mser, sim_fast, 4, 198119
mser, sim_fast, 5, 226953
mser, sqcif, 1, 859394
mser, sqcif, 2, 772201
mser, sqcif, 3, 779456
mser, sqcif, 4, 796800
mser, sqcif, 5, 761760
mser, vga, 1, 130940650
mser, vga, 2, 129662174
mser, vga, 3, 130907232
mser, vga, 4, 131159843
mser, vga, 5, 129619582
sift, cif, 1, 182998512
sift, cif, 2, 182552085
sift, cif, 3, 182836023
sift, cif, 4, 187382812
sift, cif, 5, 182924026
sift, qcif, 1, 44010668
sift, qcif, 2, 43722318
sift, qcif, 3, 42630845
sift, qcif, 4, 42377693
sift, qcif, 5, 42236825
sift, sim, 1, 1738025
sift, sim, 2, 1748403
sift, sim, 3, 1697137
sift, sim, 4, 1732950
sift, sim, 5, 1715828
sift, sim_fast, 1, 346916
sift, sim_fast, 2, 350996
sift, sim_fast, 3, 350735
sift, sim_fast, 4, 347560
sift, sim_fast, 5, 349622
sift, sqcif, 1, 18298077
sift, sqcif, 2, 18453492
sift, sqcif, 3, 18415500
sift, sqcif, 4, 18780779
sift, sqcif, 5, 18533888
sift, vga, 1, 570408889
sift, vga, 2, 568332655
sift, vga, 3, 568891486
sift, vga, 4, 576214817
sift, vga, 5, 570490669
stitch, cif, 1, 72724582
