benchamrk, data-size, run, duration
disparity, cif, 1, 144167283
disparity, cif, 2, 144044083
disparity, cif, 3, 143837125
disparity, cif, 4, 144118744
disparity, cif, 5, 143818339
disparity, qcif, 1, 29137984
disparity, qcif, 2, 28681203
disparity, qcif, 3, 28548339
disparity, qcif, 4, 28528308
disparity, qcif, 5, 28667971
disparity, sim, 1, 308774
disparity, sim, 2, 304453
disparity, sim, 3, 301382
disparity, sim, 4, 293567
disparity, sim, 5, 311074
disparity, sim_fast, 1, 150817
disparity, sim_fast, 2, 215102
disparity, sim_fast, 3, 175406
disparity, sim_fast, 4, 148754
disparity, sim_fast, 5, 149690
disparity, sqcif, 1, 8012231
disparity, sqcif, 2, 8248720
disparity, sqcif, 3, 8536042
disparity, sqcif, 4, 8403532
disparity, sqcif, 5, 8444242
disparity, vga, 1, 457579878
disparity, vga, 2, 454353733
disparity, vga, 3, 454262396
disparity, vga, 4, 454323071
disparity, vga, 5, 454206613
localization, cif, 1, 77685895
localization, cif, 2, 77453370
localization, cif, 3, 77728842
localization, cif, 4, 77620587
localization, cif, 5, 77540204
localization, qcif, 1, 23374971
localization, qcif, 2, 23335398
localization, qcif, 3, 23342264
localization, qcif, 4, 23335098
localization, qcif, 5, 26633830
localization, sim, 1, 236484
localization, sim, 2, 234189
localization, sim, 3, 259197
localization, sim, 4, 345567
localization, sim, 5, 305067
localization, sim_fast, 1, 47038
localization, sim_fast, 2, 47407
localization, sim_fast, 3, 47754
localization, sim_fast, 4, 47329
localization, sim_fast, 5, 47509
localization, sqcif, 1, 3061488
localization, sqcif, 2, 3065347
localization, sqcif, 3, 3025383
localization, sqcif, 4, 3031433
localization, sqcif, 5, 3123740
localization, vga, 1, 285255054
localization, vga, 2, 284539265
localization, vga, 3, 284830672
localization, vga, 4, 284656366
localization, vga, 5, 284578018
mser, cif, 1, 36373507
mser, cif, 2, 36329039
mser, cif, 3, 36398218
mser, cif, 4, 36340562
mser, cif, 5, 36422476
mser, qcif, 1, 6942356
mser, qcif, 2, 6998508
mser, qcif, 3, 6922333
mser, qcif, 4, 6935926
mser, qcif, 5, 6993746
mser, sim, 1, 763888
mser, sim, 2, 847014
mser, sim, 3, 975655
mser, sim, 4, 861607
mser, sim, 5, 854872
mser, sim_fast, 1, 196566
mser, sim_fast, 2, 273593
mser, sim_fast, 3, 211083
mser, sim_fast, 4, 222138
mser, sim_fast, 5, 317480
mser, sqcif, 1, 1039081
mser, sqcif, 2, 964617
mser, sqcif, 3, 908872
mser, sqcif, 4, 892280
mser, sqcif, 5, 833355
mser, vga, 1, 136805819
mser, vga, 2, 136937186
mser, vga, 3, 136788846
mser, vga, 4, 136688048
mser, vga, 5, 136892297
sift, cif, 1, 193000693
sift, cif, 2, 189808771
sift, cif, 3, 189965226
sift, cif, 4, 189772333
sift, cif, 5, 189779886
sift, qcif, 1, 43757483
sift, qcif, 2, 43718598
sift, qcif, 3, 43733633
sift, qcif, 4, 43578250
sift, qcif, 5, 43651431
sift, sim, 1, 1710465
sift, sim, 2, 1791824
sift, sim, 3, 1719557
sift, sim, 4, 1737454
sift, sim, 5, 1737052
sift, sim_fast, 1, 345076
sift, sim_fast, 2, 481502
sift, sim_fast, 3, 319051
