benchamrk, data-size, run, duration
disparity, cif, 1, 165657484
disparity, cif, 2, 166494225
disparity, cif, 3, 162570962
disparity, cif, 4, 175641878
disparity, cif, 5, 162818546
disparity, qcif, 1, 33833588
disparity, qcif, 2, 33695534
disparity, qcif, 3, 33457939
disparity, qcif, 4, 38219513
disparity, qcif, 5, 33487055
disparity, sim, 1, 306004
disparity, sim, 2, 290504
disparity, sim, 3, 303130
disparity, sim, 4, 306062
disparity, sim, 5, 292390
disparity, sim_fast, 1, 174673
disparity, sim_fast, 2, 159992
disparity, sim_fast, 3, 155926
disparity, sim_fast, 4, 157500
disparity, sim_fast, 5, 156628
disparity, sqcif, 1, 8993983
disparity, sqcif, 2, 8796698
disparity, sqcif, 3, 8712357
disparity, sqcif, 4, 8947876
disparity, sqcif, 5, 8487421
disparity, vga, 1, 480463963
disparity, vga, 2, 481794343
disparity, vga, 3, 491632237
disparity, vga, 4, 518939535
disparity, vga, 5, 480348060
localization, cif, 1, 77444821
localization, cif, 2, 77104037
localization, cif, 3, 77517574
localization, cif, 4, 77397318
localization, cif, 5, 77155006
localization, qcif, 1, 23400799
localization, qcif, 2, 23321761
localization, qcif, 3, 23391313
localization, qcif, 4, 23414941
localization, qcif, 5, 23351818
localization, sim, 1, 247220
localization, sim, 2, 294512
localization, sim, 3, 269475
localization, sim, 4, 275746
localization, sim, 5, 263851
localization, sim_fast, 1, 58521
localization, sim_fast, 2, 73218
localization, sim_fast, 3, 63803
localization, sim_fast, 4, 76123
localization, sim_fast, 5, 72267
localization, sqcif, 1, 3144979
localization, sqcif, 2, 3108967
localization, sqcif, 3, 3143332
localization, sqcif, 4, 3117318
localization, sqcif, 5, 3129982
localization, vga, 1, 283984749
localization, vga, 2, 284019994
localization, vga, 3, 285856752
localization, vga, 4, 285638496
localization, vga, 5, 285251988
mser, cif, 1, 37571319
mser, cif, 2, 37543474
mser, cif, 3, 38034503
mser, cif, 4, 37657271
mser, cif, 5, 37691532
mser, qcif, 1, 7149316
mser, qcif, 2, 7179300
mser, qcif, 3, 7120576
mser, qcif, 4, 7057470
mser, qcif, 5, 7083919
mser, sim, 1, 792377
mser, sim, 2, 794605
mser, sim, 3, 821036
mser, sim, 4, 791098
mser, sim, 5, 785814
mser, sim_fast, 1, 228183
mser, sim_fast, 2, 254889
mser, sim_fast, 3, 233249
mser, sim_fast, 4, 275033
mser, sim_fast, 5, 257376
mser, sqcif, 1, 791996
mser, sqcif, 2, 843176
mser, sqcif, 3, 809389
mser, sqcif, 4, 778548
mser, sqcif, 5, 771894
mser, vga, 1, 145346679
mser, vga, 2, 144686961
mser, vga, 3, 144665946
mser, vga, 4, 144843078
mser, vga, 5, 145461406
sift, cif, 1, 194003273
sift, cif, 2, 192453101
sift, cif, 3, 189275801
sift, cif, 4, 194134850
sift, cif, 5, 194071593
sift, qcif, 1, 43964767
sift, qcif, 2, 46021156
sift, qcif, 3, 45377007
sift, qcif, 4, 45303485
sift, qcif, 5, 45219706
sift, sim, 1, 1812109
sift, sim, 2, 1803960
sift, sim, 3, 1815342
sift, sim, 4, 1842303
sift, sim, 5, 1822462
sift, sim_fast, 1, 373778
sift, sim_fast, 2, 385766
sift, sim_fast, 3, 374452
sift, sim_fast, 4, 376084
sift, sim_fast, 5, 385914
sift, sqcif, 1, 18894648
sift, sqcif, 2, 19162661
sift, sqcif, 3, 19068907
sift, sqcif, 4, 19014539
sift, sqcif, 5, 19428692
sift, vga, 1, 600941810
sift, vga, 2, 600098936
sift, vga, 3, 588687245
sift, vga, 4, 591546228
sift, vga, 5, 593184475
stitch, cif, 1, 75396178
stitch, cif, 2, 73807164
stitch, cif, 3, 75267449
stitch, cif, 4, 73997547
stitch, cif, 5, 73990387
stitch, qcif, 1, 16906259
stitch, qcif, 2, 16894244
stitch, qcif, 3, 16915579
stitch, qcif, 4, 16698156
stitch, qcif, 5, 16883411
stitch, sim, 1, 73415
stitch, sim, 2, 71466
stitch, sim, 3, 69327
stitch, sim, 4, 77796
stitch, sim, 5, 77044
stitch, sim_fast, 1, 48902
stitch, sim_fast, 2, 49065
stitch, sim_fast, 3, 44302
stitch, sim_fast, 4, 51138
stitch, sim_fast, 5, 51042
stitch, sqcif, 1, 5858175
stitch, sqcif, 2, 5937331
stitch, sqcif, 3, 5887067
stitch, sqcif, 4, 5896674
stitch, sqcif, 5, 5873075
stitch, vga, 1, 814255479
stitch, vga, 2, 801478415
stitch, vga, 3, 859102085
stitch, vga, 4, 811071684
stitch, vga, 5, 863385745
texture_synthesis, cif, 1, 7259448
texture_synthesis, cif, 2, 7197054
texture_synthesis, cif, 3, 7356429
texture_synthesis, cif, 4, 7204309
texture_synthesis, cif, 5, 7233544
texture_synthesis, qcif, 1, 3574095
texture_synthesis, qcif, 2, 3600954
texture_synthesis, qcif, 3, 3602242
texture_synthesis, qcif, 4, 3595687
texture_synthesis, qcif, 5, 3597554
texture_synthesis, sim, 1, 804265
texture_synthesis, sim, 2, 788621
texture_synthesis, sim, 3, 802689
texture_synthesis, sim, 4, 835670
texture_synthesis, sim, 5, 817856
texture_synthesis, sim_fast, 1, 112290
texture_synthesis, sim_fast, 2, 114308
texture_synthesis, sim_fast, 3, 109766
texture_synthesis, sim_fast, 4, 130934
texture_synthesis, sim_fast, 5, 129477
texture_synthesis, sqcif, 1, 23961170
texture_synthesis, sqcif, 2, 23658439
texture_synthesis, sqcif, 3, 23820078
texture_synthesis, sqcif, 4, 23680104
texture_synthesis, sqcif, 5, 23672947
texture_synthesis, vga, 1, 32445871
texture_synthesis, vga, 2, 31866176
texture_synthesis, vga, 3, 32344100
texture_synthesis, vga, 4, 31770224
texture_synthesis, vga, 5, 32376013
tracking, cif, 1, 39865361
tracking, cif, 2, 39863698
tracking, cif, 3, 46167401
tracking, cif, 4, 39701908
tracking, cif, 5, 39648169
tracking, qcif, 1, 10049033
tracking, qcif, 2, 9604923
tracking, qcif, 3, 9581666
tracking, qcif, 4, 9531093
tracking, qcif, 5, 10019116
tracking, sim, 1, 627406
tracking, sim, 2, 676203
tracking, sim, 3, 661405
tracking, sim, 4, 657604
tracking, sim, 5, 588081
tracking, sim_fast, 1, 325899
tracking, sim_fast, 2, 240604
tracking, sim_fast, 3, 285859
tracking, sim_fast, 4, 266463
tracking, sim_fast, 5, 316988
tracking, sqcif, 1, 3269341
tracking, sqcif, 2, 3282019
tracking, sqcif, 3, 3412140
tracking, sqcif, 4, 3384570
tracking, sqcif, 5, 3378316
tracking, vga, 1, 138629642
tracking, vga, 2, 119388076
tracking, vga, 3, 138715713
tracking, vga, 4, 119288595
tracking, vga, 5, 119559314
