benchamrk, data-size, run, duration
disparity, cif, 1, 186595204
disparity, cif, 2, 186664407
disparity, cif, 3, 186932709
disparity, cif, 4, 191224170
disparity, cif, 5, 187059110
disparity, qcif, 1, 40585509
disparity, qcif, 2, 40484078
disparity, qcif, 3, 40600904
disparity, qcif, 4, 40829261
disparity, qcif, 5, 41415788
disparity, sim, 1, 290681
disparity, sim, 2, 340535
disparity, sim, 3, 321820
disparity, sim, 4, 325272
disparity, sim, 5, 327697
disparity, sim_fast, 1, 193506
disparity, sim_fast, 2, 184530
disparity, sim_fast, 3, 197676
disparity, sim_fast, 4, 201755
disparity, sim_fast, 5, 190790
disparity, sqcif, 1, 10705631
disparity, sqcif, 2, 9677582
disparity, sqcif, 3, 9828280
disparity, sqcif, 4, 9334105
disparity, sqcif, 5, 10320583
disparity, vga, 1, 553398023
disparity, vga, 2, 553369641
disparity, vga, 3, 553687747
disparity, vga, 4, 558021880
disparity, vga, 5, 553265552
localization, cif, 1, 78054790
localization, cif, 2, 77555629
localization, cif, 3, 77663606
localization, cif, 4, 77831574
localization, cif, 5, 77770988
localization, qcif, 1, 23406272
localization, qcif, 2, 23594664
localization, qcif, 3, 23494784
localization, qcif, 4, 23806670
localization, qcif, 5, 23803007
localization, sim, 1, 420994
localization, sim, 2, 252149
localization, sim, 3, 347569
localization, sim, 4, 447363
localization, sim, 5, 235310
localization, sim_fast, 1, 49925
localization, sim_fast, 2, 50522
localization, sim_fast, 3, 48677
localization, sim_fast, 4, 49483
localization, sim_fast, 5, 48792
localization, sqcif, 1, 3083038
localization, sqcif, 2, 3297782
localization, sqcif, 3, 3070603
localization, sqcif, 4, 3209665
localization, sqcif, 5, 3521514
localization, vga, 1, 288171751
localization, vga, 2, 288212625
localization, vga, 3, 288809640
localization, vga, 4, 288076565
localization, vga, 5, 288446290
mser, cif, 1, 40322502
mser, cif, 2, 40342261
mser, cif, 3, 40298190
mser, cif, 4, 40306469
mser, cif, 5, 40318970
mser, qcif, 1, 7558137
mser, qcif, 2, 7613407
mser, qcif, 3, 7667925
mser, qcif, 4, 7498415
mser, qcif, 5, 7528575
mser, sim, 1, 876743
mser, sim, 2, 960328
mser, sim, 3, 869581
mser, sim, 4, 831133
mser, sim, 5, 833375
mser, sim_fast, 1, 360538
mser, sim_fast, 2, 237374
mser, sim_fast, 3, 251131
mser, sim_fast, 4, 209087
mser, sim_fast, 5, 240024
mser, sqcif, 1, 908946
mser, sqcif, 2, 892345
mser, sqcif, 3, 888222
mser, sqcif, 4, 840639
mser, sqcif, 5, 907292
mser, vga, 1, 154486738
mser, vga, 2, 154429636
mser, vga, 3, 154499048
mser, vga, 4, 154429715
mser, vga, 5, 154676306
sift, cif, 1, 199561709
sift, cif, 2, 199474716
sift, cif, 3, 199754271
sift, cif, 4, 199608773
sift, cif, 5, 199668942
sift, qcif, 1, 46458786
sift, qcif, 2, 46106390
sift, qcif, 3, 46225550
sift, qcif, 4, 46044933
sift, qcif, 5, 46213698
sift, sim, 1, 1822681
sift, sim, 2, 1806942
sift, sim, 3, 1805803
sift, sim, 4, 1805594
sift, sim, 5, 1802103
sift, sim_fast, 1, 324544
sift, sim_fast, 2, 355047
sift, sim_fast, 3, 664543
sift, sim_fast, 4, 531279
sift, sim_fast, 5, 326968
sift, sqcif, 1, 19915160
sift, sqcif, 2, 20063844
sift, sqcif, 3, 20103655
sift, sqcif, 4, 20100865
sift, sqcif, 5, 20108116
sift, vga, 1, 621506809
sift, vga, 2, 616506583
sift, vga, 3, 616442309
sift, vga, 4, 618223061
sift, vga, 5, 622853601
stitch, cif, 1, 76020725
stitch, cif, 2, 76005971
stitch, cif, 3, 76022024
stitch, cif, 4, 76022210
stitch, cif, 5, 76014036
stitch, qcif, 1, 17274691
stitch, qcif, 2, 17197041
stitch, qcif, 3, 17208893
stitch, qcif, 4, 17218938
stitch, qcif, 5, 17263288
stitch, sim, 1, 64373
stitch, sim, 2, 64662
stitch, sim, 3, 63977
stitch, sim, 4, 64380
stitch, sim, 5, 64706
stitch, sim_fast, 1, 40760
stitch, sim_fast, 2, 40432
stitch, sim_fast, 3, 40744
stitch, sim_fast, 4, 40232
stitch, sim_fast, 5, 40133
stitch, sqcif, 1, 6023934
stitch, sqcif, 2, 6024261
stitch, sqcif, 3, 6016406
stitch, sqcif, 4, 5999117
stitch, sqcif, 5, 6006447
stitch, vga, 1, 862516029
stitch, vga, 2, 1369602992
stitch, vga, 3, 1136249585
stitch, vga, 4, 1047279120
stitch, vga, 5, 1363315648
texture_synthesis, cif, 1, 7411094
texture_synthesis, cif, 2, 7496034
texture_synthesis, cif, 3, 7440773
texture_synthesis, cif, 4, 7406391
texture_synthesis, cif, 5, 7509846
texture_synthesis, qcif, 1, 3588661
texture_synthesis, qcif, 2, 3626015
texture_synthesis, qcif, 3, 3629324
texture_synthesis, qcif, 4, 3617418
texture_synthesis, qcif, 5, 3614782
texture_synthesis, sim, 1, 728101
texture_synthesis, sim, 2, 948953
texture_synthesis, sim, 3, 719499
texture_synthesis, sim, 4, 731056
texture_synthesis, sim, 5, 737586
texture_synthesis, sim_fast, 1, 104609
texture_synthesis, sim_fast, 2, 104424
texture_synthesis, sim_fast, 3, 104365
texture_synthesis, sim_fast, 4, 104544
texture_synthesis, sim_fast, 5, 104451
texture_synthesis, sqcif, 1, 24149043
texture_synthesis, sqcif, 2, 24131258
texture_synthesis, sqcif, 3, 24126993
texture_synthesis, sqcif, 4, 24243574
texture_synthesis, sqcif, 5, 24056958
texture_synthesis, vga, 1, 32732543
texture_synthesis, vga, 2, 32724360
texture_synthesis, vga, 3, 32783904
texture_synthesis, vga, 4, 32794674
texture_synthesis, vga, 5, 32793401
tracking, cif, 1, 48718334
tracking, cif, 2, 48779947
tracking, cif, 3, 48708349
tracking, cif, 4, 48774992
tracking, cif, 5, 48576520
tracking, qcif, 1, 10682532
tracking, qcif, 2, 10577362
tracking, qcif, 3, 10674871
tracking, qcif, 4, 10620343
tracking, qcif, 5, 10646142
tracking, sim, 1, 1079196
tracking, sim, 2, 920196
tracking, sim, 3, 604220
tracking, sim, 4, 736310
tracking, sim, 5, 661130
tracking, sim_fast, 1, 550956
tracking, sim_fast, 2, 492295
tracking, sim_fast, 3, 257044
tracking, sim_fast, 4, 229630
tracking, sim_fast, 5, 662564
tracking, sqcif, 1, 3564239
tracking, sqcif, 2, 3619114
tracking, sqcif, 3, 3583561
tracking, sqcif, 4, 3632409
tracking, sqcif, 5, 3601337
tracking, vga, 1, 145754301
tracking, vga, 2, 145824260
tracking, vga, 3, 145648224
tracking, vga, 4, 145872503
tracking, vga, 5, 145681558
