benchamrk, data-size, run, duration
disparity, cif, 1, 109578594
disparity, cif, 2, 109403161
disparity, cif, 3, 108893073
disparity, cif, 4, 109305850
disparity, cif, 5, 109283813
disparity, cif, 6, 109497790
disparity, cif, 7, 109273824
disparity, cif, 8, 109473357
disparity, cif, 9, 109999891
disparity, cif, 10, 109389590
disparity, cif, 11, 109846064
disparity, cif, 12, 109926132
disparity, cif, 13, 109529219
disparity, cif, 14, 109197226
disparity, cif, 15, 109934039
disparity, cif, 16, 109377555
disparity, cif, 17, 109817789
disparity, cif, 18, 110464840
disparity, cif, 19, 109706010
disparity, cif, 20, 109896527
disparity, cif, 21, 109361870
disparity, cif, 22, 109157616
disparity, cif, 23, 109400181
disparity, cif, 24, 109669142
disparity, cif, 25, 109850296
disparity, cif, 26, 109244487
disparity, cif, 27, 109157640
disparity, cif, 28, 109426524
disparity, cif, 29, 109898495
disparity, cif, 30, 109729902
disparity, qcif, 1, 21682303
disparity, qcif, 2, 21357356
disparity, qcif, 3, 21320047
disparity, qcif, 4, 21663593
disparity, qcif, 5, 21500155
disparity, qcif, 6, 20966710
disparity, qcif, 7, 21110083
disparity, qcif, 8, 21627372
disparity, qcif, 9, 21048506
disparity, qcif, 10, 21110020
disparity, qcif, 11, 21191446
disparity, qcif, 12, 21085084
disparity, qcif, 13, 21396604
disparity, qcif, 14, 21341563
disparity, qcif, 15, 21221817
disparity, qcif, 16, 21247249
disparity, qcif, 17, 21402823
disparity, qcif, 18, 21390507
disparity, qcif, 19, 21513599
disparity, qcif, 20, 21323722
disparity, qcif, 21, 21292387
disparity, qcif, 22, 21175736
disparity, qcif, 23, 21122340
disparity, qcif, 24, 20985222
disparity, qcif, 25, 21198234
disparity, qcif, 26, 21329440
disparity, qcif, 27, 21401003
disparity, qcif, 28, 21103495
disparity, qcif, 29, 21157753
disparity, qcif, 30, 20996158
disparity, sim, 1, 268980
disparity, sim, 2, 258897
disparity, sim, 3, 266791
disparity, sim, 4, 272907
disparity, sim, 5, 273918
disparity, sim, 6, 269905
disparity, sim, 7, 257766
disparity, sim, 8, 268471
disparity, sim, 9, 274079
disparity, sim, 10, 259841
disparity, sim, 11, 270825
disparity, sim, 12, 278892
disparity, sim, 13, 259045
disparity, sim, 14, 270760
disparity, sim, 15, 272611
disparity, sim, 16, 259332
disparity, sim, 17, 263370
disparity, sim, 18, 274368
disparity, sim, 19, 278927
disparity, sim, 20, 270908
disparity, sim, 21, 258095
disparity, sim, 22, 268555
disparity, sim, 23, 275337
disparity, sim, 24, 268536
disparity, sim, 25, 267952
disparity, sim, 26, 262133
disparity, sim, 27, 273359
disparity, sim, 28, 273235
disparity, sim, 29, 259561
disparity, sim, 30, 273836
disparity, sim_fast, 1, 148224
disparity, sim_fast, 2, 138138
disparity, sim_fast, 3, 139280
disparity, sim_fast, 4, 149111
disparity, sim_fast, 5, 136656
disparity, sim_fast, 6, 137795
disparity, sim_fast, 7, 138400
disparity, sim_fast, 8, 146749
disparity, sim_fast, 9, 136545
disparity, sim_fast, 10, 136781
disparity, sim_fast, 11, 138832
disparity, sim_fast, 12, 149426
disparity, sim_fast, 13, 136653
disparity, sim_fast, 14, 135770
disparity, sim_fast, 15, 139671
disparity, sim_fast, 16, 145678
disparity, sim_fast, 17, 139991
disparity, sim_fast, 18, 140507
disparity, sim_fast, 19, 138238
disparity, sim_fast, 20, 154878
disparity, sim_fast, 21, 133611
disparity, sim_fast, 22, 137863
disparity, sim_fast, 23, 139575
disparity, sim_fast, 24, 144875
disparity, sim_fast, 25, 134623
disparity, sim_fast, 26, 135797
disparity, sim_fast, 27, 140323
disparity, sim_fast, 28, 147741
disparity, sim_fast, 29, 135781
disparity, sim_fast, 30, 137439
disparity, sqcif, 1, 6712886
disparity, sqcif, 2, 6779528
disparity, sqcif, 3, 6737773
disparity, sqcif, 4, 6723030
disparity, sqcif, 5, 7205186
disparity, sqcif, 6, 6842550
disparity, sqcif, 7, 6708063
disparity, sqcif, 8, 6724368
disparity, sqcif, 9, 6839308
disparity, sqcif, 10, 6937513
disparity, sqcif, 11, 6825629
disparity, sqcif, 12, 6880457
disparity, sqcif, 13, 6686242
disparity, sqcif, 14, 6657929
disparity, sqcif, 15, 7005694
disparity, sqcif, 16, 6842651
disparity, sqcif, 17, 6839538
disparity, sqcif, 18, 6867042
disparity, sqcif, 19, 6692557
disparity, sqcif, 20, 6673266
disparity, sqcif, 21, 7329801
disparity, sqcif, 22, 6797876
disparity, sqcif, 23, 6715109
disparity, sqcif, 24, 7388961
disparity, sqcif, 25, 6721963
disparity, sqcif, 26, 6744967
disparity, sqcif, 27, 6692311
disparity, sqcif, 28, 6709717
disparity, sqcif, 29, 6999347
disparity, sqcif, 30, 6861448
disparity, vga, 1, 339745035
disparity, vga, 2, 337547304
disparity, vga, 3, 338179489
disparity, vga, 4, 337795703
disparity, vga, 5, 337754260
disparity, vga, 6, 338072631
disparity, vga, 7, 338039263
disparity, vga, 8, 338765934
disparity, vga, 9, 338720740
disparity, vga, 10, 338085950
disparity, vga, 11, 338234221
disparity, vga, 12, 337534799
disparity, vga, 13, 337877760
disparity, vga, 14, 337879591
disparity, vga, 15, 337730462
disparity, vga, 16, 338411751
disparity, vga, 17, 337997255
disparity, vga, 18, 338768729
disparity, vga, 19, 338943157
disparity, vga, 20, 338774504
disparity, vga, 21, 338097242
disparity, vga, 22, 339023270
disparity, vga, 23, 338863297
disparity, vga, 24, 338599891
disparity, vga, 25, 337816528
disparity, vga, 26, 338515931
disparity, vga, 27, 339049481
disparity, vga, 28, 339022490
disparity, vga, 29, 338089432
disparity, vga, 30, 338286306
localization, cif, 1, 77384918
localization, cif, 2, 77352166
localization, cif, 3, 77108660
localization, cif, 4, 77292047
localization, cif, 5, 77226590
localization, cif, 6, 77263686
localization, cif, 7, 77344810
localization, cif, 8, 77329314
localization, cif, 9, 77329237
localization, cif, 10, 77121052
localization, cif, 11, 77305388
localization, cif, 12, 77227037
