benchamrk, data-size, run, duration
disparity, cif, 1, 190778954
disparity, cif, 2, 194152027
disparity, cif, 3, 190367053
disparity, cif, 4, 190038538
disparity, cif, 5, 190204993
disparity, qcif, 1, 39475306
disparity, qcif, 2, 38180082
disparity, qcif, 3, 38331451
disparity, qcif, 4, 38437098
disparity, qcif, 5, 39040297
disparity, sim, 1, 321283
disparity, sim, 2, 346789
disparity, sim, 3, 319157
disparity, sim, 4, 331423
disparity, sim, 5, 296179
disparity, sim_fast, 1, 192267
disparity, sim_fast, 2, 187630
disparity, sim_fast, 3, 187470
disparity, sim_fast, 4, 166818
disparity, sim_fast, 5, 191365
disparity, sqcif, 1, 11242488
disparity, sqcif, 2, 11165929
disparity, sqcif, 3, 11057348
disparity, sqcif, 4, 10862336
disparity, sqcif, 5, 10945023
disparity, vga, 1, 577859045
disparity, vga, 2, 577746371
disparity, vga, 3, 582006230
disparity, vga, 4, 577789273
disparity, vga, 5, 577488557
localization, GroundData, 1, 
localization, GroundData, 2, 
localization, GroundData, 3, 
localization, GroundData, 4, 
localization, GroundData, 5, 
localization, cif, 1, 78062253
localization, cif, 2, 77463599
localization, cif, 3, 77468387
localization, cif, 4, 77393453
localization, cif, 5, 77640491
localization, qcif, 1, 23392536
localization, qcif, 2, 23330686
localization, qcif, 3, 23538859
localization, qcif, 4, 23454713
localization, qcif, 5, 23328782
localization, sim, 1, 338826
localization, sim, 2, 740675
localization, sim, 3, 649058
localization, sim, 4, 244177
localization, sim, 5, 266702
localization, sim_fast, 1, 51651
localization, sim_fast, 2, 49128
localization, sim_fast, 3, 106104
localization, sim_fast, 4, 48752
localization, sim_fast, 5, 49153
localization, sqcif, 1, 3097192
localization, sqcif, 2, 3075595
localization, sqcif, 3, 3177728
localization, sqcif, 4, 3347348
localization, sqcif, 5, 3081897
localization, vga, 1, 289886922
localization, vga, 2, 289739415
localization, vga, 3, 288860760
localization, vga, 4, 292339195
localization, vga, 5, 288631444
mser, cif, 1, 38171782
mser, cif, 2, 38325966
mser, cif, 3, 38321544
mser, cif, 4, 38315448
mser, cif, 5, 38257562
mser, qcif, 1, 7245777
mser, qcif, 2, 7273841
mser, qcif, 3, 7205529
mser, qcif, 4, 7360280
mser, qcif, 5, 7245294
mser, sim, 1, 854398
mser, sim, 2, 860358
mser, sim, 3, 843174
mser, sim, 4, 837110
mser, sim, 5, 854940
mser, sim_fast, 1, 240332
mser, sim_fast, 2, 238869
mser, sim_fast, 3, 729028
mser, sim_fast, 4, 206313
mser, sim_fast, 5, 236368
mser, sqcif, 1, 853265
mser, sqcif, 2, 867958
mser, sqcif, 3, 917633
mser, sqcif, 4, 831138
mser, sqcif, 5, 861231
mser, vga, 1, 143341324
mser, vga, 2, 143308264
mser, vga, 3, 143176679
mser, vga, 4, 143352237
mser, vga, 5, 143280875
sift, cif, 1, 212918166
sift, cif, 2, 213094087
sift, cif, 3, 213061740
sift, cif, 4, 213128827
sift, cif, 5, 216977595
sift, qcif, 1, 49597653
sift, qcif, 2, 49626431
sift, qcif, 3, 49586509
sift, qcif, 4, 49635625
sift, qcif, 5, 49536896
sift, sim, 1, 1854659
sift, sim, 2, 2172573
sift, sim, 3, 1937244
sift, sim, 4, 2377317
sift, sim, 5, 2106204
sift, sim_fast, 1, 457493
sift, sim_fast, 2, 546724
sift, sim_fast, 3, 360285
sift, sim_fast, 4, 538781
sift, sim_fast, 5, 411925
sift, sqcif, 1, 20936642
sift, sqcif, 2, 21132689
sift, sqcif, 3, 21142492
sift, sqcif, 4, 21094878
sift, sqcif, 5, 21084685
sift, vga, 1, 654418613
sift, vga, 2, 652342023
sift, vga, 3, 653340250
sift, vga, 4, 657654316
sift, vga, 5, 654440461
stitch, cif, 1, 77297201
stitch, cif, 2, 77407306
stitch, cif, 3, 77488985
stitch, cif, 4, 77614422
stitch, cif, 5, 77545764
stitch, qcif, 1, 17502894
stitch, qcif, 2, 17565209
stitch, qcif, 3, 17440290
stitch, qcif, 4, 17472038
stitch, qcif, 5, 17477048
stitch, sim, 1, 64726
stitch, sim, 2, 64239
stitch, sim, 3, 64530
stitch, sim, 4, 65077
stitch, sim, 5, 64729
stitch, sim_fast, 1, 39553
stitch, sim_fast, 2, 40384
stitch, sim_fast, 3, 40831
stitch, sim_fast, 4, 39335
stitch, sim_fast, 5, 106084
stitch, sqcif, 1, 6140321
stitch, sqcif, 2, 6119285
stitch, sqcif, 3, 6117918
stitch, sqcif, 4, 6130803
stitch, sqcif, 5, 6128637
stitch, vga, 1, 1198854391
stitch, vga, 2, 1035755444
stitch, vga, 3, 1163169950
stitch, vga, 4, 1123868132
stitch, vga, 5, 1058773187
texture_synthesis, cif, 1, 7783059
texture_synthesis, cif, 2, 7742044
texture_synthesis, cif, 3, 7727018
texture_synthesis, cif, 4, 7757583
texture_synthesis, cif, 5, 7756517
texture_synthesis, qcif, 1, 3771419
