benchamrk, data-size, run, duration
disparity, cif, 1, 239669880
disparity, cif, 2, 177599502
disparity, cif, 3, 176725007
disparity, cif, 4, 238931515
disparity, cif, 5, 176499713
disparity, cif, 6, 239564144
disparity, cif, 7, 176146339
disparity, cif, 8, 239243912
disparity, cif, 9, 176623348
disparity, cif, 10, 177799955
disparity, cif, 11, 177572442
disparity, cif, 12, 177893808
disparity, cif, 13, 178851375
disparity, cif, 14, 176678924
disparity, cif, 15, 239783537
disparity, cif, 16, 177023441
disparity, cif, 17, 177713365
disparity, cif, 18, 177638112
disparity, cif, 19, 239376315
disparity, cif, 20, 177146078
disparity, cif, 21, 239767443
disparity, cif, 22, 176656570
disparity, cif, 23, 176615430
disparity, cif, 24, 176774030
disparity, cif, 25, 177440196
disparity, cif, 26, 176876874
disparity, cif, 27, 179101493
disparity, cif, 28, 240954631
disparity, cif, 29, 176682285
disparity, cif, 30, 239864500
disparity, qcif, 1, 35401499
disparity, qcif, 2, 35911844
disparity, qcif, 3, 36518571
disparity, qcif, 4, 49429796
disparity, qcif, 5, 49400552
disparity, qcif, 6, 35394581
disparity, qcif, 7, 36419555
disparity, qcif, 8, 35547510
disparity, qcif, 9, 36097461
disparity, qcif, 10, 36144136
disparity, qcif, 11, 35799228
disparity, qcif, 12, 35399113
disparity, qcif, 13, 35485002
disparity, qcif, 14, 35480521
disparity, qcif, 15, 35549192
disparity, qcif, 16, 35707508
disparity, qcif, 17, 35406335
disparity, qcif, 18, 35504439
disparity, qcif, 19, 49491170
disparity, qcif, 20, 50302038
disparity, qcif, 21, 49263742
disparity, qcif, 22, 35786791
disparity, qcif, 23, 35817301
disparity, qcif, 24, 36061626
disparity, qcif, 25, 36168810
disparity, qcif, 26, 36376078
disparity, qcif, 27, 36115461
disparity, qcif, 28, 35773696
disparity, qcif, 29, 36174907
disparity, qcif, 30, 38325525
disparity, sim, 1, 313339
disparity, sim, 2, 316096
disparity, sim, 3, 321663
disparity, sim, 4, 302146
disparity, sim, 5, 309127
disparity, sim, 6, 386468
disparity, sim, 7, 316725
disparity, sim, 8, 334992
disparity, sim, 9, 320667
disparity, sim, 10, 357759
disparity, sim, 11, 348288
disparity, sim, 12, 322433
disparity, sim, 13, 324977
disparity, sim, 14, 306951
disparity, sim, 15, 344623
disparity, sim, 16, 379241
disparity, sim, 17, 293800
disparity, sim, 18, 360650
disparity, sim, 19, 364316
disparity, sim, 20, 356356
disparity, sim, 21, 305308
disparity, sim, 22, 365277
disparity, sim, 23, 369366
disparity, sim, 24, 341610
disparity, sim, 25, 361864
disparity, sim, 26, 330925
disparity, sim, 27, 310899
disparity, sim, 28, 311833
disparity, sim, 29, 336882
disparity, sim, 30, 291801
disparity, sim_fast, 1, 225036
disparity, sim_fast, 2, 180188
disparity, sim_fast, 3, 212962
disparity, sim_fast, 4, 214584
disparity, sim_fast, 5, 230394
disparity, sim_fast, 6, 177176
disparity, sim_fast, 7, 203931
disparity, sim_fast, 8, 166848
disparity, sim_fast, 9, 195079
disparity, sim_fast, 10, 185177
disparity, sim_fast, 11, 192370
disparity, sim_fast, 12, 222865
disparity, sim_fast, 13, 226403
disparity, sim_fast, 14, 203215
disparity, sim_fast, 15, 204722
disparity, sim_fast, 16, 201571
disparity, sim_fast, 17, 219986
disparity, sim_fast, 18, 246080
disparity, sim_fast, 19, 218017
disparity, sim_fast, 20, 216020
disparity, sim_fast, 21, 219548
disparity, sim_fast, 22, 256894
disparity, sim_fast, 23, 189619
disparity, sim_fast, 24, 216374
disparity, sim_fast, 25, 217894
disparity, sim_fast, 26, 225067
disparity, sim_fast, 27, 190693
disparity, sim_fast, 28, 189988
disparity, sim_fast, 29, 209128
disparity, sim_fast, 30, 216968
disparity, sqcif, 1, 13484376
disparity, sqcif, 2, 9502692
disparity, sqcif, 3, 9050750
disparity, sqcif, 4, 8900711
disparity, sqcif, 5, 9276110
disparity, sqcif, 6, 9024822
disparity, sqcif, 7, 8983821
disparity, sqcif, 8, 9552643
disparity, sqcif, 9, 10488389
disparity, sqcif, 10, 9791614
disparity, sqcif, 11, 10315863
disparity, sqcif, 12, 13642419
disparity, sqcif, 13, 13820187
disparity, sqcif, 14, 9162811
disparity, sqcif, 15, 10810171
disparity, sqcif, 16, 9811978
disparity, sqcif, 17, 9892047
disparity, sqcif, 18, 13446113
disparity, sqcif, 19, 13137994
