benchamrk, data-size, run, duration
disparity, cif, 1, 279490258
disparity, cif, 2, 281354147
disparity, cif, 3, 280309655
disparity, cif, 4, 286697729
disparity, cif, 5, 280223928
disparity, qcif, 1, 59162687
disparity, qcif, 2, 58547031
disparity, qcif, 3, 60476516
disparity, qcif, 4, 59644559
disparity, qcif, 5, 59538878
disparity, sim, 1, 404671
disparity, sim, 2, 403288
disparity, sim, 3, 403025
disparity, sim, 4, 391964
disparity, sim, 5, 399070
disparity, sim_fast, 1, 328301
disparity, sim_fast, 2, 315256
disparity, sim_fast, 3, 313590
disparity, sim_fast, 4, 293329
disparity, sim_fast, 5, 318838
disparity, sqcif, 1, 15288796
disparity, sqcif, 2, 15436681
disparity, sqcif, 3, 15656980
disparity, sqcif, 4, 15931610
disparity, sqcif, 5, 16068790
disparity, vga, 1, 810889421
disparity, vga, 2, 811486510
disparity, vga, 3, 816659747
disparity, vga, 4, 810729434
disparity, vga, 5, 811329386
localization, cif, 1, 77870483
localization, cif, 2, 78330574
localization, cif, 3, 78337328
localization, cif, 4, 78579810
localization, cif, 5, 83527707
localization, qcif, 1, 23554082
localization, qcif, 2, 23572458
localization, qcif, 3, 23424942
localization, qcif, 4, 23564127
localization, qcif, 5, 23340838
localization, sim, 1, 336873
localization, sim, 2, 331041
localization, sim, 3, 345800
localization, sim, 4, 336836
localization, sim, 5, 331497
localization, sim_fast, 1, 60612
localization, sim_fast, 2, 137928
localization, sim_fast, 3, 566998
localization, sim_fast, 4, 60573
localization, sim_fast, 5, 55196
localization, sqcif, 1, 3309803
localization, sqcif, 2, 3270976
localization, sqcif, 3, 3300366
localization, sqcif, 4, 3758570
localization, sqcif, 5, 3496071
localization, vga, 1, 298210136
localization, vga, 2, 298768577
localization, vga, 3, 299529605
localization, vga, 4, 297894185
localization, vga, 5, 298374686
mser, cif, 1, 49511264
mser, cif, 2, 49365400
mser, cif, 3, 49432627
mser, cif, 4, 49649879
mser, cif, 5, 49327256
mser, qcif, 1, 8979343
mser, qcif, 2, 8979499
mser, qcif, 3, 8928839
mser, qcif, 4, 8987304
mser, qcif, 5, 9088686
mser, sim, 1, 986805
mser, sim, 2, 1106149
mser, sim, 3, 1117423
mser, sim, 4, 1021434
mser, sim, 5, 973937
mser, sim_fast, 1, 369870
mser, sim_fast, 2, 247150
mser, sim_fast, 3, 405763
mser, sim_fast, 4, 891963
mser, sim_fast, 5, 364588
mser, sqcif, 1, 1096930
mser, sqcif, 2, 1049973
mser, sqcif, 3, 1005031
mser, sqcif, 4, 1058719
mser, sqcif, 5, 1051817
mser, vga, 1, 188024238
mser, vga, 2, 188013990
mser, vga, 3, 193613821
mser, vga, 4, 187751280
mser, vga, 5, 187838123
sift, cif, 1, 251901493
sift, cif, 2, 252060636
sift, cif, 3, 251653212
sift, cif, 4, 251812115
sift, cif, 5, 251719724
sift, qcif, 1, 58980900
sift, qcif, 2, 58991876
sift, qcif, 3, 58907334
sift, qcif, 4, 59079443
sift, qcif, 5, 58969067
sift, sim, 1, 2171557
sift, sim, 2, 2140734
sift, sim, 3, 2909638
sift, sim, 4, 2169249
sift, sim, 5, 2274327
sift, sim_fast, 1, 1173880
sift, sim_fast, 2, 2084251
sift, sim_fast, 3, 506592
sift, sim_fast, 4, 1035979
sift, sim_fast, 5, 1113030
sift, sqcif, 1, 24675923
sift, sqcif, 2, 24842742
sift, sqcif, 3, 24760592
sift, sqcif, 4, 24716772
sift, sqcif, 5, 24932583
sift, vga, 1, 770957531
sift, vga, 2, 761362547
sift, vga, 3, 762378904
sift, vga, 4, 762277601
sift, vga, 5, 766576075
stitch, cif, 1, 82527001
stitch, cif, 2, 82646572
stitch, cif, 3, 82708484
stitch, cif, 4, 82454281
stitch, cif, 5, 82662951
stitch, qcif, 1, 18864396
stitch, qcif, 2, 18944393
stitch, qcif, 3, 18915501
stitch, qcif, 4, 19015011
stitch, qcif, 5, 18987233
stitch, sim, 1, 251114
stitch, sim, 2, 69100
stitch, sim, 3, 70671
stitch, sim, 4, 68782
stitch, sim, 5, 596330
stitch, sim_fast, 1, 543589
stitch, sim_fast, 2, 46774
stitch, sim_fast, 3, 667660
stitch, sim_fast, 4, 749270
stitch, sim_fast, 5, 1719620
stitch, sqcif, 1, 6578581
stitch, sqcif, 2, 6629427
stitch, sqcif, 3, 6567811
stitch, sqcif, 4, 6583647
stitch, sqcif, 5, 6614547
stitch, vga, 1, 2137117507
stitch, vga, 2, 1271651324
stitch, vga, 3, 1324396978
stitch, vga, 4, 1269257443
stitch, vga, 5, 1407447591
texture_synthesis, cif, 1, 8321924
texture_synthesis, cif, 2, 8397518
texture_synthesis, cif, 3, 8309036
texture_synthesis, cif, 4, 8337235
texture_synthesis, cif, 5, 8334533
texture_synthesis, qcif, 1, 3982887
texture_synthesis, qcif, 2, 4178005
texture_synthesis, qcif, 3, 4017005
texture_synthesis, qcif, 4, 4007118
texture_synthesis, qcif, 5, 4122250
texture_synthesis, sim, 1, 858607
texture_synthesis, sim, 2, 1854588
texture_synthesis, sim, 3, 926338
texture_synthesis, sim, 4, 836029
texture_synthesis, sim, 5, 872555
texture_synthesis, sim_fast, 1, 107233
texture_synthesis, sim_fast, 2, 151930
texture_synthesis, sim_fast, 3, 111038
texture_synthesis, sim_fast, 4, 1764445
texture_synthesis, sim_fast, 5, 807468
texture_synthesis, sqcif, 1, 25946730
texture_synthesis, sqcif, 2, 26023994
texture_synthesis, sqcif, 3, 26061746
texture_synthesis, sqcif, 4, 25913373
texture_synthesis, sqcif, 5, 25974872
texture_synthesis, vga, 1, 36679771
texture_synthesis, vga, 2, 36617735
texture_synthesis, vga, 3, 36614895
texture_synthesis, vga, 4, 36757549
texture_synthesis, vga, 5, 36717872
tracking, cif, 1, 68672591
tracking, cif, 2, 68733837
tracking, cif, 3, 68554788
tracking, cif, 4, 68751891
tracking, cif, 5, 68577800
tracking, qcif, 1, 14196320
tracking, qcif, 2, 14282423
tracking, qcif, 3, 14291521
tracking, qcif, 4, 14169925
tracking, qcif, 5, 14115438
tracking, sim, 1, 650060
tracking, sim, 2, 805415
tracking, sim, 3, 630695
tracking, sim, 4, 686166
tracking, sim, 5, 800267
tracking, sim_fast, 1, 873944
tracking, sim_fast, 2, 404422
tracking, sim_fast, 3, 253557
tracking, sim_fast, 4, 847597
tracking, sim_fast, 5, 259677
tracking, sqcif, 1, 4266951
tracking, sqcif, 2, 4210150
tracking, sqcif, 3, 4269016
tracking, sqcif, 4, 4289576
tracking, sqcif, 5, 4254443
tracking, vga, 1, 212062150
tracking, vga, 2, 211828826
tracking, vga, 3, 211797854
tracking, vga, 4, 212181310
tracking, vga, 5, 217393857
