operation, threshold, sec, ns, MB, accesses
read, 0, 0, 2126432, 1048576, 65536
read, 0, 0, 2087578, 1048576, 65536
read, 0, 0, 2035904, 1048576, 65536
read, 0, 0, 2067847, 1048576, 65536
read, 0, 0, 1860836, 1048576, 65536
read, 0, 0, 1942584, 1048576, 65536
read, 0, 0, 1841174, 1048576, 65536
read, 0, 0, 1925652, 1048576, 65536
read, 0, 0, 1805521, 1048576, 65536
read, 0, 0, 1907481, 1048576, 65536
read, 0, 0, 2065887, 1048576, 65536
read, 0, 0, 2053675, 1048576, 65536
read, 0, 0, 2034843, 1048576, 65536
read, 0, 0, 2074057, 1048576, 65536
read, 0, 0, 2046364, 1048576, 65536
read, 0, 0, 2071447, 1048576, 65536
read, 0, 0, 2197860, 1048576, 65536
read, 0, 0, 2101910, 1048576, 65536
read, 0, 0, 2042265, 1048576, 65536
read, 0, 0, 2068737, 1048576, 65536
read, 0, 0, 2073467, 1048576, 65536
read, 0, 0, 2026453, 1048576, 65536
read, 0, 0, 2315821, 1048576, 65536
read, 0, 0, 2405930, 1048576, 65536
read, 0, 0, 2062196, 1048576, 65536
read, 0, 0, 2063856, 1048576, 65536
read, 0, 0, 2052885, 1048576, 65536
read, 0, 0, 2028872, 1048576, 65536
read, 0, 0, 2066016, 1048576, 65536
read, 0, 0, 1942814, 1048576, 65536
read, 0, 0, 2410201, 1048576, 65536
read, 0, 0, 2024942, 1048576, 65536
read, 0, 0, 2067106, 1048576, 65536
read, 0, 0, 2025612, 1048576, 65536
read, 0, 0, 2064226, 1048576, 65536
read, 0, 0, 2039383, 1048576, 65536
read, 0, 0, 2087008, 1048576, 65536
read, 0, 0, 2021332, 1048576, 65536
read, 0, 0, 2063667, 1048576, 65536
read, 0, 0, 2045965, 1048576, 65536
read, 0, 0, 2622072, 1048576, 65536
read, 0, 0, 2072957, 1048576, 65536
read, 0, 0, 2029042, 1048576, 65536
read, 0, 0, 2069527, 1048576, 65536
read, 0, 0, 2029013, 1048576, 65536
read, 0, 0, 2121732, 1048576, 65536
read, 0, 0, 2033603, 1048576, 65536
read, 0, 0, 2410081, 1048576, 65536
read, 0, 0, 2053116, 1048576, 65536
read, 0, 0, 2419672, 1048576, 65536
read, 0, 0, 1872467, 1048576, 65536
read, 0, 0, 1872177, 1048576, 65536
read, 0, 0, 1803440, 1048576, 65536
read, 0, 0, 2028662, 1048576, 65536
read, 0, 0, 2026813, 1048576, 65536
read, 0, 0, 2077148, 1048576, 65536
read, 0, 0, 2063136, 1048576, 65536
read, 0, 0, 2034633, 1048576, 65536
read, 0, 0, 2025952, 1048576, 65536
read, 0, 0, 1887758, 1048576, 65536
read, 0, 0, 1833383, 1048576, 65536
read, 0, 0, 1829262, 1048576, 65536
read, 0, 0, 2013011, 1048576, 65536
read, 0, 0, 2068316, 1048576, 65536
read, 0, 0, 2032743, 1048576, 65536
read, 0, 0, 2063636, 1048576, 65536
read, 0, 0, 2026733, 1048576, 65536
read, 0, 0, 2508331, 1048576, 65536
read, 0, 0, 2077537, 1048576, 65536
read, 0, 0, 2567937, 1048576, 65536
read, 0, 0, 2285378, 1048576, 65536
read, 0, 0, 2029843, 1048576, 65536
read, 0, 0, 2093680, 1048576, 65536
read, 0, 0, 2389679, 1048576, 65536
read, 0, 0, 2073887, 1048576, 65536
read, 0, 0, 2060856, 1048576, 65536
read, 0, 0, 2058316, 1048576, 65536
read, 0, 0, 2034434, 1048576, 65536
read, 0, 0, 2104810, 1048576, 65536
read, 0, 0, 2116302, 1048576, 65536
read, 0, 0, 2020002, 1048576, 65536
read, 0, 0, 2080977, 1048576, 65536
read, 0, 0, 2010091, 1048576, 65536
read, 0, 0, 2042264, 1048576, 65536
read, 0, 0, 2060576, 1048576, 65536
read, 0, 0, 2070657, 1048576, 65536
read, 0, 0, 2029423, 1048576, 65536
read, 0, 0, 2083508, 1048576, 65536
read, 0, 0, 2020022, 1048576, 65536
read, 0, 0, 2071137, 1048576, 65536
read, 0, 0, 2038054, 1048576, 65536
read, 0, 0, 2061266, 1048576, 65536
read, 0, 0, 2034053, 1048576, 65536
read, 0, 0, 2055926, 1048576, 65536
read, 0, 0, 2037124, 1048576, 65536
read, 0, 0, 2095330, 1048576, 65536
read, 0, 0, 2041304, 1048576, 65536
read, 0, 0, 2180598, 1048576, 65536
read, 0, 0, 2038224, 1048576, 65536
read, 0, 0, 2230882, 1048576, 65536
read, 1, 0, 4123642, 1048576, 65536
read, 1, 0, 4146744, 1048576, 65536
read, 1, 0, 4156015, 1048576, 65536
read, 1, 0, 4162376, 1048576, 65536
read, 1, 0, 4112691, 1048576, 65536
read, 1, 0, 4160256, 1048576, 65536
read, 1, 0, 4182588, 1048576, 65536
read, 1, 0, 4118892, 1048576, 65536
read, 1, 0, 4156155, 1048576, 65536
read, 1, 0, 4143084, 1048576, 65536
read, 1, 0, 4173087, 1048576, 65536
read, 1, 0, 4164156, 1048576, 65536
read, 1, 0, 4177317, 1048576, 65536
read, 1, 0, 4160666, 1048576, 65536
read, 1, 0, 4129122, 1048576, 65536
read, 1, 0, 4193439, 1048576, 65536
read, 1, 0, 4091539, 1048576, 65536
read, 1, 0, 4141054, 1048576, 65536
read, 1, 0, 4137173, 1048576, 65536
read, 1, 0, 4142404, 1048576, 65536
read, 1, 0, 4149744, 1048576, 65536
read, 1, 0, 4152095, 1048576, 65536
read, 1, 0, 4180957, 1048576, 65536
read, 1, 0, 4155775, 1048576, 65536
read, 1, 0, 4170167, 1048576, 65536
read, 1, 0, 4160275, 1048576, 65536
read, 1, 0, 4143274, 1048576, 65536
read, 1, 0, 4168436, 1048576, 65536
read, 1, 0, 4154375, 1048576, 65536
read, 1, 0, 4176917, 1048576, 65536
read, 1, 0, 4181278, 1048576, 65536
read, 1, 0, 4153455, 1048576, 65536
read, 1, 0, 4111881, 1048576, 65536
read, 1, 0, 4175117, 1048576, 65536
read, 1, 0, 4200319, 1048576, 65536
read, 1, 0, 4141374, 1048576, 65536
read, 1, 0, 4199589, 1048576, 65536
read, 1, 0, 4134933, 1048576, 65536
read, 1, 0, 4176537, 1048576, 65536
read, 1, 0, 4141604, 1048576, 65536
read, 1, 0, 4186068, 1048576, 65536
read, 1, 0, 4133633, 1048576, 65536
read, 1, 0, 4191519, 1048576, 65536
read, 1, 0, 4130653, 1048576, 65536
read, 1, 0, 4183038, 1048576, 65536
read, 1, 0, 4149405, 1048576, 65536
read, 1, 0, 4202490, 1048576, 65536
