operation, threshold, sec, ns, MB, accesses
read, 0, 0, 1593999, 4194304, 1048576
read, 0, 0, 1080328, 4194304, 1048576
read, 0, 0, 945484, 4194304, 1048576
read, 0, 0, 944325, 4194304, 1048576
read, 0, 0, 944104, 4194304, 1048576
read, 0, 0, 977307, 4194304, 1048576
read, 0, 0, 943004, 4194304, 1048576
read, 0, 0, 944025, 4194304, 1048576
read, 0, 0, 943664, 4194304, 1048576
read, 0, 0, 955056, 4194304, 1048576
read, 0, 0, 944064, 4194304, 1048576
read, 0, 0, 943174, 4194304, 1048576
read, 0, 0, 943145, 4194304, 1048576
read, 0, 0, 979198, 4194304, 1048576
read, 0, 0, 944124, 4194304, 1048576
read, 0, 0, 943964, 4194304, 1048576
read, 0, 0, 943484, 4194304, 1048576
read, 0, 0, 954405, 4194304, 1048576
read, 0, 0, 943765, 4194304, 1048576
read, 0, 0, 943164, 4194304, 1048576
read, 0, 0, 943484, 4194304, 1048576
read, 0, 0, 943534, 4194304, 1048576
read, 0, 0, 955145, 4194304, 1048576
read, 0, 0, 944485, 4194304, 1048576
read, 0, 0, 943244, 4194304, 1048576
read, 0, 0, 943534, 4194304, 1048576
read, 0, 0, 953535, 4194304, 1048576
read, 0, 0, 943794, 4194304, 1048576
read, 0, 0, 943845, 4194304, 1048576
read, 0, 0, 943404, 4194304, 1048576
read, 0, 0, 955786, 4194304, 1048576
read, 0, 0, 944575, 4194304, 1048576
read, 0, 0, 942654, 4194304, 1048576
read, 0, 0, 942104, 4194304, 1048576
read, 0, 0, 951815, 4194304, 1048576
read, 0, 0, 945305, 4194304, 1048576
read, 0, 0, 944054, 4194304, 1048576
read, 0, 0, 943604, 4194304, 1048576
read, 0, 0, 942644, 4194304, 1048576
read, 0, 0, 957155, 4194304, 1048576
read, 0, 0, 944364, 4194304, 1048576
read, 0, 0, 943694, 4194304, 1048576
read, 0, 0, 943384, 4194304, 1048576
read, 0, 0, 956836, 4194304, 1048576
read, 0, 0, 945195, 4194304, 1048576
read, 0, 0, 943204, 4194304, 1048576
read, 0, 0, 943255, 4194304, 1048576
read, 0, 0, 953485, 4194304, 1048576
read, 0, 0, 945374, 4194304, 1048576
read, 0, 0, 944455, 4194304, 1048576
read, 0, 0, 942174, 4194304, 1048576
read, 0, 0, 953756, 4194304, 1048576
read, 0, 0, 943664, 4194304, 1048576
read, 0, 0, 943944, 4194304, 1048576
read, 0, 0, 944494, 4194304, 1048576
read, 0, 0, 952255, 4194304, 1048576
read, 0, 0, 943605, 4194304, 1048576
read, 0, 0, 943814, 4194304, 1048576
read, 0, 0, 943425, 4194304, 1048576
read, 0, 0, 943824, 4194304, 1048576
read, 0, 0, 954696, 4194304, 1048576
read, 0, 0, 944105, 4194304, 1048576
read, 0, 0, 942454, 4194304, 1048576
read, 0, 0, 942274, 4194304, 1048576
read, 0, 0, 953315, 4194304, 1048576
read, 0, 0, 943575, 4194304, 1048576
read, 0, 0, 944364, 4194304, 1048576
read, 0, 0, 943175, 4194304, 1048576
read, 0, 0, 953165, 4194304, 1048576
read, 0, 0, 943974, 4194304, 1048576
read, 0, 0, 943474, 4194304, 1048576
read, 0, 0, 944254, 4194304, 1048576
read, 0, 0, 952505, 4194304, 1048576
read, 0, 0, 944044, 4194304, 1048576
read, 0, 0, 943905, 4194304, 1048576
read, 0, 0, 945054, 4194304, 1048576
read, 0, 0, 952315, 4194304, 1048576
read, 0, 0, 945035, 4194304, 1048576
read, 0, 0, 941644, 4194304, 1048576
read, 0, 0, 942624, 4194304, 1048576
read, 0, 0, 943204, 4194304, 1048576
read, 0, 0, 954816, 4194304, 1048576
read, 0, 0, 944354, 4194304, 1048576
read, 0, 0, 945585, 4194304, 1048576
read, 0, 0, 942424, 4194304, 1048576
read, 0, 0, 954025, 4194304, 1048576
read, 0, 0, 944065, 4194304, 1048576
read, 0, 0, 945474, 4194304, 1048576
read, 0, 0, 943224, 4194304, 1048576
read, 0, 0, 952475, 4194304, 1048576
read, 0, 0, 943364, 4194304, 1048576
read, 0, 0, 944395, 4194304, 1048576
read, 0, 0, 941744, 4194304, 1048576
read, 0, 0, 953635, 4194304, 1048576
read, 0, 0, 943714, 4194304, 1048576
read, 0, 0, 943445, 4194304, 1048576
read, 0, 0, 943654, 4194304, 1048576
read, 0, 0, 944255, 4194304, 1048576
read, 0, 0, 953685, 4194304, 1048576
read, 0, 0, 943154, 4194304, 1048576
read, 1, 0, 942995, 4194304, 1048576
read, 1, 0, 943144, 4194304, 1048576
read, 1, 0, 954386, 4194304, 1048576
read, 1, 0, 943364, 4194304, 1048576
read, 1, 0, 942805, 4194304, 1048576
read, 1, 0, 944704, 4194304, 1048576
read, 1, 0, 954545, 4194304, 1048576
read, 1, 0, 942525, 4194304, 1048576
read, 1, 0, 943544, 4194304, 1048576
read, 1, 0, 943035, 4194304, 1048576
read, 1, 0, 955935, 4194304, 1048576
read, 1, 0, 945144, 4194304, 1048576
read, 1, 0, 943715, 4194304, 1048576
read, 1, 0, 942324, 4194304, 1048576
read, 1, 0, 953116, 4194304, 1048576
read, 1, 0, 942844, 4194304, 1048576
read, 1, 0, 944265, 4194304, 1048576
read, 1, 0, 943414, 4194304, 1048576
read, 1, 0, 952236, 4194304, 1048576
read, 1, 0, 944624, 4194304, 1048576
read, 1, 0, 943344, 4194304, 1048576
read, 1, 0, 943474, 4194304, 1048576
read, 1, 0, 945194, 4194304, 1048576
read, 1, 0, 954296, 4194304, 1048576
read, 1, 0, 943724, 4194304, 1048576
read, 1, 0, 943274, 4194304, 1048576
read, 1, 0, 943934, 4194304, 1048576
read, 1, 0, 953625, 4194304, 1048576
read, 1, 0, 945435, 4194304, 1048576
read, 1, 0, 943404, 4194304, 1048576
read, 1, 0, 943665, 4194304, 1048576
read, 1, 0, 951725, 4194304, 1048576
read, 1, 0, 944985, 4194304, 1048576
read, 1, 0, 941934, 4194304, 1048576
read, 1, 0, 943924, 4194304, 1048576
read, 1, 0, 953525, 4194304, 1048576
read, 1, 0, 944654, 4194304, 1048576
read, 1, 0, 944425, 4194304, 1048576
read, 1, 0, 944164, 4194304, 1048576
read, 1, 0, 944654, 4194304, 1048576
read, 1, 0, 952655, 4194304, 1048576
read, 1, 0, 943584, 4194304, 1048576
read, 1, 0, 943535, 4194304, 1048576
read, 1, 0, 944074, 4194304, 1048576
read, 1, 0, 953516, 4194304, 1048576
read, 1, 0, 944084, 4194304, 1048576
read, 1, 0, 943454, 4194304, 1048576
read, 1, 0, 943434, 4194304, 1048576
read, 1, 0, 954005, 4194304, 1048576
read, 1, 0, 944415, 4194304, 1048576
read, 1, 0, 941364, 4194304, 1048576
read, 1, 0, 942825, 4194304, 1048576
read, 1, 0, 953325, 4194304, 1048576
read, 1, 0, 943985, 4194304, 1048576
read, 1, 0, 945654, 4194304, 1048576
read, 1, 0, 945214, 4194304, 1048576
read, 1, 0, 955816, 4194304, 1048576
read, 1, 0, 945395, 4194304, 1048576
read, 1, 0, 942374, 4194304, 1048576
read, 1, 0, 945485, 4194304, 1048576
read, 1, 0, 943054, 4194304, 1048576
read, 1, 0, 955895, 4194304, 1048576
read, 1, 0, 944525, 4194304, 1048576
read, 1, 0, 944114, 4194304, 1048576
read, 1, 0, 942404, 4194304, 1048576
read, 1, 0, 953225, 4194304, 1048576
read, 1, 0, 945544, 4194304, 1048576
read, 1, 0, 943965, 4194304, 1048576
read, 1, 0, 943984, 4194304, 1048576
read, 1, 0, 953365, 4194304, 1048576
read, 1, 0, 944705, 4194304, 1048576
read, 1, 0, 942084, 4194304, 1048576
read, 1, 0, 941644, 4194304, 1048576
read, 1, 0, 955755, 4194304, 1048576
read, 1, 0, 944675, 4194304, 1048576
read, 1, 0, 943884, 4194304, 1048576
read, 1, 0, 943804, 4194304, 1048576
read, 1, 0, 951665, 4194304, 1048576
read, 1, 0, 945484, 4194304, 1048576
read, 1, 0, 944125, 4194304, 1048576
read, 1, 0, 943004, 4194304, 1048576
read, 1, 0, 945815, 4194304, 1048576
read, 1, 0, 953265, 4194304, 1048576
read, 1, 0, 943124, 4194304, 1048576
read, 1, 0, 942594, 4194304, 1048576
read, 1, 0, 943564, 4194304, 1048576
read, 1, 0, 954996, 4194304, 1048576
read, 1, 0, 944284, 4194304, 1048576
read, 1, 0, 941394, 4194304, 1048576
read, 1, 0, 943284, 4194304, 1048576
read, 1, 0, 953876, 4194304, 1048576
read, 1, 0, 944154, 4194304, 1048576
read, 1, 0, 942314, 4194304, 1048576
read, 1, 0, 944214, 4194304, 1048576
read, 1, 0, 953205, 4194304, 1048576
read, 1, 0, 945555, 4194304, 1048576
read, 1, 0, 943424, 4194304, 1048576
read, 1, 0, 942864, 4194304, 1048576
read, 1, 0, 944654, 4194304, 1048576
read, 1, 0, 954205, 4194304, 1048576
read, 2, 0, 943875, 4194304, 1048576
read, 2, 0, 943564, 4194304, 1048576
read, 2, 0, 942325, 4194304, 1048576
read, 2, 0, 953565, 4194304, 1048576
read, 2, 0, 943304, 4194304, 1048576
read, 2, 0, 943044, 4194304, 1048576
read, 2, 0, 943474, 4194304, 1048576
read, 2, 0, 953345, 4194304, 1048576
read, 2, 0, 944144, 4194304, 1048576
read, 2, 0, 943715, 4194304, 1048576
read, 2, 0, 943484, 4194304, 1048576
read, 2, 0, 953916, 4194304, 1048576
read, 2, 0, 945674, 4194304, 1048576
read, 2, 0, 942974, 4194304, 1048576
read, 2, 0, 943184, 4194304, 1048576
read, 2, 0, 954135, 4194304, 1048576
read, 2, 0, 944235, 4194304, 1048576
read, 2, 0, 943584, 4194304, 1048576
read, 2, 0, 944954, 4194304, 1048576
read, 2, 0, 941914, 4194304, 1048576
read, 2, 0, 954065, 4194304, 1048576
read, 2, 0, 944774, 4194304, 1048576
read, 2, 0, 945135, 4194304, 1048576
read, 2, 0, 943954, 4194304, 1048576
read, 2, 0, 955365, 4194304, 1048576
read, 2, 0, 943985, 4194304, 1048576
read, 2, 0, 943554, 4194304, 1048576
read, 2, 0, 941604, 4194304, 1048576
read, 2, 0, 954625, 4194304, 1048576
read, 2, 0, 943944, 4194304, 1048576
read, 2, 0, 942774, 4194304, 1048576
read, 2, 0, 943404, 4194304, 1048576
read, 2, 0, 952745, 4194304, 1048576
read, 2, 0, 944284, 4194304, 1048576
read, 2, 0, 944475, 4194304, 1048576
read, 2, 0, 945424, 4194304, 1048576
read, 2, 0, 953395, 4194304, 1048576
read, 2, 0, 944855, 4194304, 1048576
read, 2, 0, 942484, 4194304, 1048576
read, 2, 0, 941754, 4194304, 1048576
read, 2, 0, 942854, 4194304, 1048576
