operation, threshold, sec, ns, MB, accesses
read, 0, 0, 1851004, 4194304, 1048576
read, 0, 0, 1106640, 4194304, 1048576
read, 0, 0, 948525, 4194304, 1048576
read, 0, 0, 943704, 4194304, 1048576
read, 0, 0, 942724, 4194304, 1048576
read, 0, 0, 988599, 4194304, 1048576
read, 0, 0, 943895, 4194304, 1048576
read, 0, 0, 943264, 4194304, 1048576
read, 0, 0, 943324, 4194304, 1048576
read, 0, 0, 942824, 4194304, 1048576
read, 0, 0, 974697, 4194304, 1048576
read, 0, 0, 943195, 4194304, 1048576
read, 0, 0, 943104, 4194304, 1048576
read, 0, 0, 943065, 4194304, 1048576
read, 0, 0, 965296, 4194304, 1048576
read, 0, 0, 942944, 4194304, 1048576
read, 0, 0, 943734, 4194304, 1048576
read, 0, 0, 943284, 4194304, 1048576
read, 0, 0, 961596, 4194304, 1048576
read, 0, 0, 943984, 4194304, 1048576
read, 0, 0, 944625, 4194304, 1048576
read, 0, 0, 942864, 4194304, 1048576
read, 0, 0, 962376, 4194304, 1048576
read, 0, 0, 944004, 4194304, 1048576
read, 0, 0, 943014, 4194304, 1048576
read, 0, 0, 942954, 4194304, 1048576
read, 0, 0, 958456, 4194304, 1048576
read, 0, 0, 944614, 4194304, 1048576
read, 0, 0, 942494, 4194304, 1048576
read, 0, 0, 942764, 4194304, 1048576
read, 0, 0, 941715, 4194304, 1048576
read, 0, 0, 962216, 4194304, 1048576
read, 0, 0, 944135, 4194304, 1048576
read, 0, 0, 942834, 4194304, 1048576
read, 0, 0, 942135, 4194304, 1048576
read, 0, 0, 962326, 4194304, 1048576
read, 0, 0, 942935, 4194304, 1048576
read, 0, 0, 943414, 4194304, 1048576
read, 0, 0, 943085, 4194304, 1048576
read, 0, 0, 960716, 4194304, 1048576
read, 0, 0, 943675, 4194304, 1048576
read, 0, 0, 943584, 4194304, 1048576
read, 0, 0, 943715, 4194304, 1048576
read, 0, 0, 959966, 4194304, 1048576
read, 0, 0, 944075, 4194304, 1048576
read, 0, 0, 942994, 4194304, 1048576
read, 0, 0, 944914, 4194304, 1048576
read, 0, 0, 959106, 4194304, 1048576
read, 0, 0, 944345, 4194304, 1048576
read, 0, 0, 942514, 4194304, 1048576
read, 0, 0, 942324, 4194304, 1048576
read, 0, 0, 942384, 4194304, 1048576
read, 0, 0, 990009, 4194304, 1048576
read, 0, 0, 943354, 4194304, 1048576
read, 0, 0, 944005, 4194304, 1048576
read, 0, 0, 942944, 4194304, 1048576
read, 0, 0, 968286, 4194304, 1048576
read, 0, 0, 942464, 4194304, 1048576
read, 0, 0, 943454, 4194304, 1048576
read, 0, 0, 942174, 4194304, 1048576
read, 0, 0, 963046, 4194304, 1048576
read, 0, 0, 943974, 4194304, 1048576
read, 0, 0, 942474, 4194304, 1048576
read, 0, 0, 942944, 4194304, 1048576
read, 0, 0, 958866, 4194304, 1048576
read, 0, 0, 943325, 4194304, 1048576
read, 0, 0, 942224, 4194304, 1048576
read, 0, 0, 943755, 4194304, 1048576
read, 0, 0, 942894, 4194304, 1048576
read, 0, 0, 944575, 4194304, 1048576
read, 0, 0, 943554, 4194304, 1048576
read, 0, 0, 945754, 4194304, 1048576
read, 0, 0, 942385, 4194304, 1048576
read, 0, 0, 961066, 4194304, 1048576
read, 0, 0, 944615, 4194304, 1048576
read, 0, 0, 943234, 4194304, 1048576
read, 0, 0, 943865, 4194304, 1048576
read, 0, 0, 997010, 4194304, 1048576
read, 0, 0, 943964, 4194304, 1048576
read, 0, 0, 942664, 4194304, 1048576
read, 0, 0, 942314, 4194304, 1048576
read, 0, 0, 964626, 4194304, 1048576
read, 0, 0, 942855, 4194304, 1048576
read, 0, 0, 943334, 4194304, 1048576
read, 0, 0, 945205, 4194304, 1048576
read, 0, 0, 960516, 4194304, 1048576
read, 0, 0, 943245, 4194304, 1048576
read, 0, 0, 942624, 4194304, 1048576
read, 0, 0, 942654, 4194304, 1048576
read, 0, 0, 961716, 4194304, 1048576
read, 0, 0, 943965, 4194304, 1048576
read, 0, 0, 943154, 4194304, 1048576
read, 0, 0, 943274, 4194304, 1048576
read, 0, 0, 942634, 4194304, 1048576
read, 0, 0, 1119491, 4194304, 1048576
read, 0, 0, 944524, 4194304, 1048576
read, 0, 0, 945834, 4194304, 1048576
read, 0, 0, 941604, 4194304, 1048576
read, 0, 0, 965726, 4194304, 1048576
read, 0, 0, 943084, 4194304, 1048576
read, 1, 0, 943605, 4194304, 1048576
read, 1, 0, 944074, 4194304, 1048576
read, 1, 0, 960246, 4194304, 1048576
read, 1, 0, 942224, 4194304, 1048576
read, 1, 0, 971017, 4194304, 1048576
read, 1, 0, 944144, 4194304, 1048576
read, 1, 0, 960236, 4194304, 1048576
read, 1, 0, 942914, 4194304, 1048576
read, 1, 0, 943734, 4194304, 1048576
read, 1, 0, 942314, 4194304, 1048576
