operation, threshold, sec, ns, MB, accesses
read, 0, 0, 28720530, 8388608, 2097152
read, 0, 0, 28103858, 8388608, 2097152
read, 0, 0, 27607298, 8388608, 2097152
read, 0, 0, 27838002, 8388608, 2097152
read, 0, 0, 27532371, 8388608, 2097152
read, 0, 0, 28142262, 8388608, 2097152
read, 0, 0, 28825670, 8388608, 2097152
read, 0, 0, 29889277, 8388608, 2097152
read, 0, 0, 28937571, 8388608, 2097152
read, 0, 0, 27635722, 8388608, 2097152
read, 0, 0, 28619219, 8388608, 2097152
read, 0, 0, 28791986, 8388608, 2097152
read, 0, 0, 27973875, 8388608, 2097152
read, 0, 0, 27755473, 8388608, 2097152
read, 0, 0, 30567724, 8388608, 2097152
read, 0, 0, 27625700, 8388608, 2097152
read, 0, 0, 28710609, 8388608, 2097152
read, 0, 0, 30267734, 8388608, 2097152
read, 0, 0, 28383416, 8388608, 2097152
read, 0, 0, 28038782, 8388608, 2097152
read, 0, 0, 27747583, 8388608, 2097152
read, 0, 0, 27449583, 8388608, 2097152
read, 0, 0, 28858823, 8388608, 2097152
read, 0, 0, 28741872, 8388608, 2097152
read, 0, 0, 27712799, 8388608, 2097152
read, 0, 0, 29714719, 8388608, 2097152
read, 0, 0, 29222750, 8388608, 2097152
read, 0, 0, 27999368, 8388608, 2097152
read, 0, 0, 30071065, 8388608, 2097152
read, 0, 0, 29066554, 8388608, 2097152
read, 0, 0, 27775246, 8388608, 2097152
read, 0, 0, 27937021, 8388608, 2097152
read, 0, 0, 27666284, 8388608, 2097152
read, 0, 0, 27772725, 8388608, 2097152
read, 0, 0, 28085766, 8388608, 2097152
read, 0, 0, 26967524, 8388608, 2097152
read, 0, 0, 27781546, 8388608, 2097152
read, 0, 0, 29106549, 8388608, 2097152
read, 0, 0, 28515839, 8388608, 2097152
read, 0, 0, 28079005, 8388608, 2097152
read, 0, 0, 27735371, 8388608, 2097152
read, 0, 0, 30795107, 8388608, 2097152
read, 0, 0, 29529170, 8388608, 2097152
read, 0, 0, 28424200, 8388608, 2097152
read, 0, 0, 27532551, 8388608, 2097152
read, 0, 0, 28855163, 8388608, 2097152
read, 0, 0, 27403038, 8388608, 2097152
read, 0, 0, 26454523, 8388608, 2097152
read, 0, 0, 27503718, 8388608, 2097152
read, 0, 0, 27726330, 8388608, 2097152
read, 0, 0, 27675226, 8388608, 2097152
read, 0, 0, 27565625, 8388608, 2097152
read, 0, 0, 27910839, 8388608, 2097152
read, 0, 0, 27538061, 8388608, 2097152
read, 0, 0, 27841152, 8388608, 2097152
read, 0, 0, 26555744, 8388608, 2097152
read, 0, 0, 27426610, 8388608, 2097152
read, 0, 0, 27572215, 8388608, 2097152
read, 0, 0, 28462344, 8388608, 2097152
read, 0, 0, 27573045, 8388608, 2097152
read, 0, 0, 27892697, 8388608, 2097152
read, 0, 0, 28312669, 8388608, 2097152
read, 0, 0, 27509849, 8388608, 2097152
read, 0, 0, 27598948, 8388608, 2097152
read, 0, 0, 27859523, 8388608, 2097152
read, 0, 0, 28520529, 8388608, 2097152
read, 0, 0, 27481556, 8388608, 2097152
read, 0, 0, 28270575, 8388608, 2097152
read, 0, 0, 27597498, 8388608, 2097152
read, 0, 0, 27504428, 8388608, 2097152
read, 0, 0, 27497748, 8388608, 2097152
read, 0, 0, 27179916, 8388608, 2097152
read, 0, 0, 27552993, 8388608, 2097152
read, 0, 0, 27388797, 8388608, 2097152
read, 0, 0, 27593037, 8388608, 2097152
read, 0, 0, 29654163, 8388608, 2097152
read, 0, 0, 28525611, 8388608, 2097152
read, 0, 0, 28511628, 8388608, 2097152
read, 0, 0, 27875165, 8388608, 2097152
read, 0, 0, 27563414, 8388608, 2097152
read, 0, 0, 27327260, 8388608, 2097152
read, 0, 0, 27442632, 8388608, 2097152
read, 0, 0, 27834272, 8388608, 2097152
read, 0, 0, 28700217, 8388608, 2097152
read, 0, 0, 29232851, 8388608, 2097152
read, 0, 0, 28467104, 8388608, 2097152
read, 0, 0, 29872155, 8388608, 2097152
read, 0, 0, 31221850, 8388608, 2097152
read, 0, 0, 27608448, 8388608, 2097152
read, 0, 0, 27959883, 8388608, 2097152
read, 0, 0, 27656913, 8388608, 2097152
read, 0, 0, 29836602, 8388608, 2097152
read, 0, 0, 27603218, 8388608, 2097152
read, 0, 0, 28054603, 8388608, 2097152
read, 0, 0, 28414699, 8388608, 2097152
read, 0, 0, 29514739, 8388608, 2097152
read, 0, 0, 27940412, 8388608, 2097152
read, 0, 0, 28413729, 8388608, 2097152
read, 0, 0, 28589496, 8388608, 2097152
read, 0, 0, 28723530, 8388608, 2097152
read, 1, 0, 41397986, 8388608, 2097152
read, 1, 0, 41222959, 8388608, 2097152
read, 1, 0, 41163053, 8388608, 2097152
read, 1, 0, 41526669, 8388608, 2097152
read, 1, 0, 41325469, 8388608, 2097152
read, 1, 0, 41604277, 8388608, 2097152
