operation, threshold, sec, ns, MB, accesses
read, 0, 0, 4182828, 1048576, 65536
read, 0, 0, 4184618, 1048576, 65536
read, 0, 0, 4836574, 1048576, 65536
read, 0, 0, 4067997, 1048576, 65536
read, 0, 0, 4091229, 1048576, 65536
read, 0, 0, 3531413, 1048576, 65536
read, 0, 0, 3599690, 1048576, 65536
read, 0, 0, 3796499, 1048576, 65536
read, 0, 0, 3847464, 1048576, 65536
read, 0, 0, 4032593, 1048576, 65536
read, 0, 0, 4648925, 1048576, 65536
read, 0, 0, 4062436, 1048576, 65536
read, 0, 0, 4043224, 1048576, 65536
read, 0, 0, 4073977, 1048576, 65536
read, 0, 0, 3963276, 1048576, 65536
read, 0, 0, 3824153, 1048576, 65536
read, 0, 0, 3795329, 1048576, 65536
read, 0, 0, 3726542, 1048576, 65536
read, 0, 0, 4270147, 1048576, 65536
read, 0, 0, 3994759, 1048576, 65536
read, 0, 0, 3726192, 1048576, 65536
read, 0, 0, 4405160, 1048576, 65536
read, 0, 0, 3878718, 1048576, 65536
read, 0, 0, 3832063, 1048576, 65536
read, 0, 0, 4076017, 1048576, 65536
read, 0, 0, 4113961, 1048576, 65536
read, 0, 0, 4081017, 1048576, 65536
read, 0, 0, 4150094, 1048576, 65536
read, 0, 0, 4062066, 1048576, 65536
read, 0, 0, 4091578, 1048576, 65536
read, 0, 0, 4116222, 1048576, 65536
read, 0, 0, 4025172, 1048576, 65536
read, 0, 0, 4097119, 1048576, 65536
read, 0, 0, 4026432, 1048576, 65536
read, 0, 0, 4031543, 1048576, 65536
read, 0, 0, 4892359, 1048576, 65536
read, 0, 0, 4036383, 1048576, 65536
read, 0, 0, 3859716, 1048576, 65536
read, 0, 0, 3851335, 1048576, 65536
read, 0, 0, 3871417, 1048576, 65536
read, 0, 0, 4549335, 1048576, 65536
read, 0, 0, 3902740, 1048576, 65536
read, 0, 0, 4015601, 1048576, 65536
read, 0, 0, 4705110, 1048576, 65536
read, 0, 0, 4046695, 1048576, 65536
read, 0, 0, 4075427, 1048576, 65536
read, 0, 0, 4044384, 1048576, 65536
read, 0, 0, 3554095, 1048576, 65536
read, 0, 0, 4063126, 1048576, 65536
read, 0, 0, 4041384, 1048576, 65536
read, 0, 0, 4069817, 1048576, 65536
read, 0, 0, 4117371, 1048576, 65536
read, 0, 0, 4065846, 1048576, 65536
read, 0, 0, 4051115, 1048576, 65536
read, 0, 0, 4059575, 1048576, 65536
read, 0, 0, 3942754, 1048576, 65536
read, 0, 0, 4053816, 1048576, 65536
read, 0, 0, 3829252, 1048576, 65536
read, 0, 0, 3722752, 1048576, 65536
read, 0, 0, 3751445, 1048576, 65536
read, 0, 0, 3876528, 1048576, 65536
read, 0, 0, 4358125, 1048576, 65536
read, 0, 0, 3934793, 1048576, 65536
read, 0, 0, 4114371, 1048576, 65536
read, 0, 0, 4061915, 1048576, 65536
read, 0, 0, 4022121, 1048576, 65536
read, 0, 0, 3905000, 1048576, 65536
read, 0, 0, 3731563, 1048576, 65536
read, 0, 0, 3739454, 1048576, 65536
read, 0, 0, 3765286, 1048576, 65536
read, 0, 0, 3768687, 1048576, 65536
read, 0, 0, 3756946, 1048576, 65536
read, 0, 0, 4096839, 1048576, 65536
read, 0, 0, 4053145, 1048576, 65536
read, 0, 0, 4070506, 1048576, 65536
read, 0, 0, 4006411, 1048576, 65536
read, 0, 0, 3815362, 1048576, 65536
read, 0, 0, 3699390, 1048576, 65536
read, 0, 0, 3670487, 1048576, 65536
read, 0, 0, 5043243, 1048576, 65536
read, 0, 0, 4038033, 1048576, 65536
read, 0, 0, 4036984, 1048576, 65536
read, 0, 0, 4028882, 1048576, 65536
read, 0, 0, 4060096, 1048576, 65536
read, 0, 0, 4622652, 1048576, 65536
read, 0, 0, 4065306, 1048576, 65536
read, 0, 0, 4106081, 1048576, 65536
read, 0, 0, 4054655, 1048576, 65536
read, 0, 0, 4726582, 1048576, 65536
read, 0, 0, 4527642, 1048576, 65536
read, 0, 0, 4063826, 1048576, 65536
read, 0, 0, 4053395, 1048576, 65536
