operation, threshold, sec, ns, MB, accesses
read, 0, 0, 5264626, 4194304, 1048576
read, 0, 0, 973908, 4194304, 1048576
read, 0, 0, 943914, 4194304, 1048576
read, 0, 0, 942114, 4194304, 1048576
read, 0, 0, 1057785, 4194304, 1048576
read, 0, 0, 943544, 4194304, 1048576
read, 0, 0, 943165, 4194304, 1048576
read, 0, 0, 942464, 4194304, 1048576
read, 0, 0, 1003930, 4194304, 1048576
read, 0, 0, 945105, 4194304, 1048576
read, 0, 0, 941944, 4194304, 1048576
read, 0, 0, 943775, 4194304, 1048576
read, 0, 0, 1014032, 4194304, 1048576
read, 0, 0, 945095, 4194304, 1048576
read, 0, 0, 943064, 4194304, 1048576
read, 0, 0, 942684, 4194304, 1048576
read, 0, 0, 972517, 4194304, 1048576
read, 0, 0, 943325, 4194304, 1048576
read, 0, 0, 943044, 4194304, 1048576
read, 0, 0, 941914, 4194304, 1048576
read, 0, 0, 970637, 4194304, 1048576
read, 0, 0, 945554, 4194304, 1048576
read, 0, 0, 943315, 4194304, 1048576
read, 0, 0, 943824, 4194304, 1048576
read, 0, 0, 964607, 4194304, 1048576
read, 0, 0, 944404, 4194304, 1048576
read, 0, 0, 942154, 4194304, 1048576
read, 0, 0, 943934, 4194304, 1048576
read, 0, 0, 976037, 4194304, 1048576
read, 0, 0, 944554, 4194304, 1048576
read, 0, 0, 943755, 4194304, 1048576
read, 0, 0, 943985, 4194304, 1048576
read, 0, 0, 942924, 4194304, 1048576
read, 0, 0, 970007, 4194304, 1048576
read, 0, 0, 944834, 4194304, 1048576
read, 0, 0, 941764, 4194304, 1048576
read, 0, 0, 945865, 4194304, 1048576
read, 0, 0, 961406, 4194304, 1048576
read, 0, 0, 946035, 4194304, 1048576
read, 0, 0, 943854, 4194304, 1048576
read, 0, 0, 942754, 4194304, 1048576
read, 0, 0, 972827, 4194304, 1048576
read, 0, 0, 941674, 4194304, 1048576
read, 0, 0, 943924, 4194304, 1048576
read, 0, 0, 1720922, 4194304, 1048576
read, 0, 0, 943994, 4194304, 1048576
read, 0, 0, 943175, 4194304, 1048576
read, 0, 0, 943995, 4194304, 1048576
read, 0, 0, 943604, 4194304, 1048576
read, 0, 0, 987419, 4194304, 1048576
read, 0, 0, 944404, 4194304, 1048576
read, 0, 0, 942204, 4194304, 1048576
read, 0, 0, 943054, 4194304, 1048576
read, 0, 0, 964546, 4194304, 1048576
read, 0, 0, 944994, 4194304, 1048576
read, 0, 0, 942894, 4194304, 1048576
read, 0, 0, 942304, 4194304, 1048576
read, 0, 0, 968876, 4194304, 1048576
read, 0, 0, 943954, 4194304, 1048576
read, 0, 0, 943174, 4194304, 1048576
read, 0, 0, 942404, 4194304, 1048576
read, 0, 0, 959986, 4194304, 1048576
read, 0, 0, 943915, 4194304, 1048576
read, 0, 0, 943734, 4194304, 1048576
read, 0, 0, 945034, 4194304, 1048576
read, 0, 0, 960275, 4194304, 1048576
read, 0, 0, 942744, 4194304, 1048576
read, 0, 0, 943735, 4194304, 1048576
read, 0, 0, 944204, 4194304, 1048576
read, 0, 0, 943584, 4194304, 1048576
read, 0, 0, 961576, 4194304, 1048576
read, 0, 0, 943114, 4194304, 1048576
read, 0, 0, 942814, 4194304, 1048576
read, 0, 0, 943955, 4194304, 1048576
read, 0, 0, 962367, 4194304, 1048576
read, 0, 0, 944714, 4194304, 1048576
read, 0, 0, 941744, 4194304, 1048576
read, 0, 0, 943504, 4194304, 1048576
read, 0, 0, 962176, 4194304, 1048576
read, 0, 0, 944235, 4194304, 1048576
read, 0, 0, 944064, 4194304, 1048576
read, 0, 0, 942244, 4194304, 1048576
read, 0, 0, 961946, 4194304, 1048576
read, 0, 0, 943224, 4194304, 1048576
read, 0, 0, 943795, 4194304, 1048576
read, 0, 0, 943414, 4194304, 1048576
read, 0, 0, 957625, 4194304, 1048576
read, 0, 0, 944275, 4194304, 1048576
read, 0, 0, 944275, 4194304, 1048576
read, 0, 0, 942964, 4194304, 1048576
read, 0, 0, 943284, 4194304, 1048576
read, 0, 0, 961856, 4194304, 1048576
read, 0, 0, 942204, 4194304, 1048576
read, 0, 0, 944484, 4194304, 1048576
read, 0, 0, 942314, 4194304, 1048576
read, 0, 0, 2210911, 4194304, 1048576
read, 0, 0, 944345, 4194304, 1048576
read, 0, 0, 942474, 4194304, 1048576
read, 0, 0, 985648, 4194304, 1048576
read, 0, 0, 945315, 4194304, 1048576
read, 1, 0, 944284, 4194304, 1048576
read, 1, 0, 942174, 4194304, 1048576
read, 1, 0, 959676, 4194304, 1048576
read, 1, 0, 945315, 4194304, 1048576
read, 1, 0, 942844, 4194304, 1048576
read, 1, 0, 942125, 4194304, 1048576
read, 1, 0, 955095, 4194304, 1048576
read, 1, 0, 944154, 4194304, 1048576
read, 1, 0, 943725, 4194304, 1048576
read, 1, 0, 941604, 4194304, 1048576
read, 1, 0, 969147, 4194304, 1048576
read, 1, 0, 942904, 4194304, 1048576
read, 1, 0, 942474, 4194304, 1048576
read, 1, 0, 942994, 4194304, 1048576
read, 1, 0, 956896, 4194304, 1048576
read, 1, 0, 943875, 4194304, 1048576
read, 1, 0, 942484, 4194304, 1048576
read, 1, 0, 942945, 4194304, 1048576
read, 1, 0, 956735, 4194304, 1048576
read, 1, 0, 946084, 4194304, 1048576
read, 1, 0, 943034, 4194304, 1048576
read, 1, 0, 941304, 4194304, 1048576
read, 1, 0, 943655, 4194304, 1048576
read, 1, 0, 958546, 4194304, 1048576
read, 1, 0, 944034, 4194304, 1048576
read, 1, 0, 944844, 4194304, 1048576
read, 1, 0, 941715, 4194304, 1048576
read, 1, 0, 957095, 4194304, 1048576
read, 1, 0, 943924, 4194304, 1048576
read, 1, 0, 944715, 4194304, 1048576
read, 1, 0, 942904, 4194304, 1048576
read, 1, 0, 956456, 4194304, 1048576
read, 1, 0, 944485, 4194304, 1048576
read, 1, 0, 942674, 4194304, 1048576
read, 1, 0, 942655, 4194304, 1048576
read, 1, 0, 957596, 4194304, 1048576
read, 1, 0, 946345, 4194304, 1048576
read, 1, 0, 942764, 4194304, 1048576
read, 1, 0, 942944, 4194304, 1048576
read, 1, 0, 956495, 4194304, 1048576
read, 1, 0, 944364, 4194304, 1048576
read, 1, 0, 942764, 4194304, 1048576
read, 1, 0, 944224, 4194304, 1048576
read, 1, 0, 942864, 4194304, 1048576
read, 1, 0, 956665, 4194304, 1048576
read, 1, 0, 943914, 4194304, 1048576
read, 1, 0, 943785, 4194304, 1048576
read, 1, 0, 968747, 4194304, 1048576
read, 1, 0, 957076, 4194304, 1048576
read, 1, 0, 943034, 4194304, 1048576
read, 1, 0, 943915, 4194304, 1048576
read, 1, 0, 943994, 4194304, 1048576
read, 1, 0, 958675, 4194304, 1048576
read, 1, 0, 942894, 4194304, 1048576
read, 1, 0, 942444, 4194304, 1048576
read, 1, 0, 943924, 4194304, 1048576
read, 1, 0, 954826, 4194304, 1048576
read, 1, 0, 943264, 4194304, 1048576
read, 1, 0, 942915, 4194304, 1048576
read, 1, 0, 942154, 4194304, 1048576
read, 1, 0, 957396, 4194304, 1048576
read, 1, 0, 945155, 4194304, 1048576
read, 1, 0, 944224, 4194304, 1048576
read, 1, 0, 942474, 4194304, 1048576
read, 1, 0, 944304, 4194304, 1048576
read, 1, 0, 956005, 4194304, 1048576
read, 1, 0, 942925, 4194304, 1048576
read, 1, 0, 942364, 4194304, 1048576
read, 1, 0, 944265, 4194304, 1048576
read, 1, 0, 956075, 4194304, 1048576
read, 1, 0, 943524, 4194304, 1048576
read, 1, 0, 943355, 4194304, 1048576
read, 1, 0, 943024, 4194304, 1048576
read, 1, 0, 957426, 4194304, 1048576
read, 1, 0, 942765, 4194304, 1048576
read, 1, 0, 943594, 4194304, 1048576
