operation, threshold, sec, ns, MB, accesses
read, 0, 0, 2405610, 1048576, 65536
read, 0, 0, 2912961, 1048576, 65536
read, 0, 0, 2436654, 1048576, 65536
read, 0, 0, 2378688, 1048576, 65536
read, 0, 0, 2474708, 1048576, 65536
read, 0, 0, 2320602, 1048576, 65536
read, 0, 0, 2320482, 1048576, 65536
read, 0, 0, 2406611, 1048576, 65536
read, 0, 0, 2368527, 1048576, 65536
read, 0, 0, 2530933, 1048576, 65536
read, 0, 0, 2390189, 1048576, 65536
read, 0, 0, 2359486, 1048576, 65536
read, 0, 0, 2438583, 1048576, 65536
read, 0, 0, 2381518, 1048576, 65536
read, 0, 0, 2397810, 1048576, 65536
read, 0, 0, 2397919, 1048576, 65536
read, 0, 0, 2370827, 1048576, 65536
read, 0, 0, 2692589, 1048576, 65536
read, 0, 0, 2026453, 1048576, 65536
read, 0, 0, 2498520, 1048576, 65536
read, 0, 0, 2032473, 1048576, 65536
read, 0, 0, 1996190, 1048576, 65536
read, 0, 0, 2120132, 1048576, 65536
read, 0, 0, 2387768, 1048576, 65536
read, 0, 0, 2405560, 1048576, 65536
read, 0, 0, 2307800, 1048576, 65536
read, 0, 0, 2005930, 1048576, 65536
read, 0, 0, 1985118, 1048576, 65536
read, 0, 0, 1990679, 1048576, 65536
read, 0, 0, 2595529, 1048576, 65536
read, 0, 0, 1974227, 1048576, 65536
read, 0, 0, 2495259, 1048576, 65536
read, 0, 0, 2422112, 1048576, 65536
read, 0, 0, 2398310, 1048576, 65536
read, 0, 0, 2391869, 1048576, 65536
read, 0, 0, 2420702, 1048576, 65536
read, 0, 0, 2452875, 1048576, 65536
read, 0, 0, 2360906, 1048576, 65536
read, 0, 0, 2643194, 1048576, 65536
read, 0, 0, 2362246, 1048576, 65536
read, 0, 0, 2732413, 1048576, 65536
read, 0, 0, 2412961, 1048576, 65536
read, 0, 0, 2993499, 1048576, 65536
read, 0, 0, 2371227, 1048576, 65536
read, 0, 0, 2729693, 1048576, 65536
read, 0, 0, 2374977, 1048576, 65536
read, 0, 0, 2401420, 1048576, 65536
read, 0, 0, 2404640, 1048576, 65536
read, 0, 0, 2481118, 1048576, 65536
read, 0, 0, 2379208, 1048576, 65536
read, 0, 0, 2383108, 1048576, 65536
read, 0, 0, 2409161, 1048576, 65536
read, 0, 0, 2381448, 1048576, 65536
read, 0, 0, 2465857, 1048576, 65536
read, 0, 0, 2375288, 1048576, 65536
read, 0, 0, 2376858, 1048576, 65536
read, 0, 0, 2434903, 1048576, 65536
read, 0, 0, 2510881, 1048576, 65536
read, 0, 0, 2354035, 1048576, 65536
read, 0, 0, 2109251, 1048576, 65536
read, 0, 0, 1988838, 1048576, 65536
read, 0, 0, 2064316, 1048576, 65536
read, 0, 0, 1918791, 1048576, 65536
read, 0, 0, 2115741, 1048576, 65536
read, 0, 0, 2349095, 1048576, 65536
read, 0, 0, 2435403, 1048576, 65536
read, 0, 0, 2404250, 1048576, 65536
read, 0, 0, 2371547, 1048576, 65536
read, 0, 0, 2651125, 1048576, 65536
read, 0, 0, 2374707, 1048576, 65536
read, 0, 0, 2753445, 1048576, 65536
read, 0, 0, 2396560, 1048576, 65536
read, 0, 0, 2371917, 1048576, 65536
read, 0, 0, 2392259, 1048576, 65536
read, 0, 0, 2391969, 1048576, 65536
