operation, threshold, sec, ns, MB, accesses
read, 0, 0, 25619309, 16777216, 1048576
read, 0, 0, 25295207, 16777216, 1048576
read, 0, 0, 25301128, 16777216, 1048576
read, 0, 0, 25323570, 16777216, 1048576
read, 0, 0, 25264055, 16777216, 1048576
read, 0, 0, 25399017, 16777216, 1048576
read, 0, 0, 25260264, 16777216, 1048576
read, 0, 0, 25418450, 16777216, 1048576
read, 0, 0, 25471275, 16777216, 1048576
read, 0, 0, 25526150, 16777216, 1048576
read, 0, 0, 25254254, 16777216, 1048576
read, 0, 0, 26625271, 16777216, 1048576
read, 0, 0, 25393417, 16777216, 1048576
read, 0, 0, 25385876, 16777216, 1048576
read, 0, 0, 25399628, 16777216, 1048576
read, 0, 0, 25264455, 16777216, 1048576
read, 0, 0, 26602639, 16777216, 1048576
read, 0, 0, 25446162, 16777216, 1048576
read, 0, 0, 26569215, 16777216, 1048576
read, 0, 0, 25283856, 16777216, 1048576
read, 0, 0, 25269065, 16777216, 1048576
read, 0, 0, 25274725, 16777216, 1048576
read, 0, 0, 25244172, 16777216, 1048576
read, 0, 0, 25266305, 16777216, 1048576
read, 0, 0, 25649103, 16777216, 1048576
read, 0, 0, 25404099, 16777216, 1048576
read, 0, 0, 25807148, 16777216, 1048576
read, 0, 0, 26475565, 16777216, 1048576
read, 0, 0, 25269195, 16777216, 1048576
read, 0, 0, 25260784, 16777216, 1048576
read, 0, 0, 25409019, 16777216, 1048576
read, 0, 0, 26477485, 16777216, 1048576
read, 0, 0, 25275366, 16777216, 1048576
read, 0, 0, 25269975, 16777216, 1048576
read, 0, 0, 25394628, 16777216, 1048576
read, 0, 0, 25375045, 16777216, 1048576
read, 0, 0, 25325791, 16777216, 1048576
read, 0, 0, 26441602, 16777216, 1048576
read, 0, 0, 25291867, 16777216, 1048576
read, 0, 0, 25273095, 16777216, 1048576
read, 0, 0, 25903499, 16777216, 1048576
read, 0, 0, 25255634, 16777216, 1048576
read, 0, 0, 28944602, 16777216, 1048576
read, 0, 0, 25245632, 16777216, 1048576
read, 0, 0, 28818660, 16777216, 1048576
read, 0, 0, 25443052, 16777216, 1048576
read, 0, 0, 25337071, 16777216, 1048576
read, 0, 0, 25669735, 16777216, 1048576
read, 0, 0, 26500438, 16777216, 1048576
read, 0, 0, 25900138, 16777216, 1048576
read, 0, 0, 25352504, 16777216, 1048576
read, 0, 0, 25288856, 16777216, 1048576
read, 0, 0, 25309419, 16777216, 1048576
read, 0, 0, 26700808, 16777216, 1048576
read, 0, 0, 25482276, 16777216, 1048576
read, 0, 0, 26564304, 16777216, 1048576
read, 0, 0, 25294187, 16777216, 1048576
read, 0, 0, 25263324, 16777216, 1048576
read, 0, 0, 25365775, 16777216, 1048576
read, 0, 0, 25242002, 16777216, 1048576
read, 0, 0, 26459614, 16777216, 1048576
read, 0, 0, 25260104, 16777216, 1048576
read, 0, 0, 25260044, 16777216, 1048576
read, 0, 0, 25253963, 16777216, 1048576
read, 0, 0, 27798567, 16777216, 1048576
read, 0, 0, 25270435, 16777216, 1048576
read, 0, 0, 25615650, 16777216, 1048576
read, 0, 0, 26917169, 16777216, 1048576
read, 0, 0, 25327911, 16777216, 1048576
read, 0, 0, 25304548, 16777216, 1048576
read, 0, 0, 25250033, 16777216, 1048576
read, 0, 0, 26558494, 16777216, 1048576
read, 0, 0, 25429931, 16777216, 1048576
read, 0, 0, 25272835, 16777216, 1048576
read, 0, 0, 26451753, 16777216, 1048576
read, 0, 0, 26197288, 16777216, 1048576
read, 0, 0, 25404938, 16777216, 1048576
read, 0, 0, 25407979, 16777216, 1048576
read, 0, 0, 25379716, 16777216, 1048576
read, 0, 0, 25288007, 16777216, 1048576
read, 0, 0, 25253483, 16777216, 1048576
read, 0, 0, 27754263, 16777216, 1048576
read, 0, 0, 25298008, 16777216, 1048576
read, 0, 0, 26461004, 16777216, 1048576
read, 0, 0, 26491067, 16777216, 1048576
read, 0, 0, 26435751, 16777216, 1048576
read, 0, 0, 25423770, 16777216, 1048576
read, 0, 0, 25313289, 16777216, 1048576
read, 0, 0, 25259564, 16777216, 1048576
read, 0, 0, 25276786, 16777216, 1048576
read, 0, 0, 25252113, 16777216, 1048576
read, 0, 0, 25309229, 16777216, 1048576
read, 0, 0, 25271205, 16777216, 1048576
read, 0, 0, 27763815, 16777216, 1048576
read, 0, 0, 26474776, 16777216, 1048576
read, 0, 0, 25262794, 16777216, 1048576
read, 0, 0, 25291277, 16777216, 1048576
read, 0, 0, 28898587, 16777216, 1048576
read, 0, 0, 25265435, 16777216, 1048576
read, 0, 0, 25257094, 16777216, 1048576
read, 1, 0, 57349150, 16777216, 1048576
read, 1, 0, 57156651, 16777216, 1048576
read, 1, 0, 57289324, 16777216, 1048576
read, 1, 0, 57080023, 16777216, 1048576
read, 1, 0, 57393715, 16777216, 1048576
read, 1, 0, 57279973, 16777216, 1048576
read, 1, 0, 57086354, 16777216, 1048576
read, 1, 0, 57366412, 16777216, 1048576
read, 1, 0, 57025728, 16777216, 1048576
read, 1, 0, 57373662, 16777216, 1048576
read, 1, 0, 57180924, 16777216, 1048576
read, 1, 0, 57259051, 16777216, 1048576
read, 1, 0, 57071582, 16777216, 1048576
read, 1, 0, 57247360, 16777216, 1048576
read, 1, 0, 56894415, 16777216, 1048576
read, 1, 0, 57202665, 16777216, 1048576
read, 1, 0, 57236469, 16777216, 1048576
read, 1, 0, 56915187, 16777216, 1048576
read, 1, 0, 57428468, 16777216, 1048576
