operation, threshold, sec, ns, MB, accesses
read, 0, 0, 1667877, 1048576, 65536
read, 0, 0, 2243874, 1048576, 65536
read, 0, 0, 1648105, 1048576, 65536
read, 0, 0, 2234014, 1048576, 65536
read, 0, 0, 1649425, 1048576, 65536
read, 0, 0, 1604420, 1048576, 65536
read, 0, 0, 1825502, 1048576, 65536
read, 0, 0, 1611011, 1048576, 65536
read, 0, 0, 1753395, 1048576, 65536
read, 0, 0, 1599590, 1048576, 65536
read, 0, 0, 1731963, 1048576, 65536
read, 0, 0, 2049014, 1048576, 65536
read, 0, 0, 1604380, 1048576, 65536
read, 0, 0, 1898430, 1048576, 65536
read, 0, 0, 1603371, 1048576, 65536
read, 0, 0, 1714691, 1048576, 65536
read, 0, 0, 1602340, 1048576, 65536
read, 0, 0, 1603250, 1048576, 65536
read, 0, 0, 1766116, 1048576, 65536
read, 0, 0, 1627263, 1048576, 65536
read, 0, 0, 1651305, 1048576, 65536
read, 0, 0, 1605580, 1048576, 65536
read, 0, 0, 1628493, 1048576, 65536
read, 0, 0, 1631403, 1048576, 65536
read, 0, 0, 1614691, 1048576, 65536
read, 0, 0, 1644205, 1048576, 65536
read, 0, 0, 1608551, 1048576, 65536
read, 0, 0, 1609641, 1048576, 65536
read, 0, 0, 1643094, 1048576, 65536
read, 0, 0, 2043984, 1048576, 65536
read, 0, 0, 1632473, 1048576, 65536
read, 0, 0, 1609790, 1048576, 65536
read, 0, 0, 1628562, 1048576, 65536
read, 0, 0, 1765916, 1048576, 65536
read, 0, 0, 1616542, 1048576, 65536
read, 0, 0, 1639304, 1048576, 65536
read, 0, 0, 2352095, 1048576, 65536
read, 0, 0, 1667326, 1048576, 65536
read, 0, 0, 1598709, 1048576, 65536
read, 0, 0, 1621482, 1048576, 65536
read, 0, 0, 1969107, 1048576, 65536
read, 0, 0, 1622072, 1048576, 65536
read, 0, 0, 1607820, 1048576, 65536
read, 0, 0, 2196780, 1048576, 65536
read, 0, 0, 1606811, 1048576, 65536
read, 0, 0, 1607371, 1048576, 65536
read, 0, 0, 1665406, 1048576, 65536
read, 0, 0, 2071067, 1048576, 65536
read, 0, 0, 1924212, 1048576, 65536
read, 0, 0, 1639434, 1048576, 65536
read, 0, 0, 1618882, 1048576, 65536
read, 0, 0, 1607831, 1048576, 65536
read, 0, 0, 1968017, 1048576, 65536
read, 0, 0, 1630123, 1048576, 65536
read, 0, 0, 1600690, 1048576, 65536
read, 0, 0, 1650525, 1048576, 65536
read, 0, 0, 1607890, 1048576, 65536
read, 0, 0, 1657956, 1048576, 65536
read, 0, 0, 1641013, 1048576, 65536
read, 0, 0, 1616431, 1048576, 65536
read, 0, 0, 1623602, 1048576, 65536
read, 0, 0, 1933423, 1048576, 65536
read, 0, 0, 1622452, 1048576, 65536
read, 0, 0, 1885488, 1048576, 65536
read, 0, 0, 1621092, 1048576, 65536
read, 0, 0, 1876218, 1048576, 65536
read, 0, 0, 1597650, 1048576, 65536
read, 0, 0, 1877357, 1048576, 65536
read, 0, 0, 1597199, 1048576, 65536
read, 0, 0, 1824212, 1048576, 65536
read, 0, 0, 1607641, 1048576, 65536
read, 0, 0, 1662576, 1048576, 65536
read, 0, 0, 1605560, 1048576, 65536
read, 0, 0, 2223623, 1048576, 65536
read, 0, 0, 1622282, 1048576, 65536
read, 0, 0, 2125323, 1048576, 65536
read, 0, 0, 1642244, 1048576, 65536
read, 0, 0, 1606591, 1048576, 65536
read, 0, 0, 2258136, 1048576, 65536
read, 0, 0, 1603240, 1048576, 65536
read, 0, 0, 1652905, 1048576, 65536
read, 0, 0, 1606331, 1048576, 65536
read, 0, 0, 1735143, 1048576, 65536
read, 0, 0, 1613701, 1048576, 65536
read, 0, 0, 1692259, 1048576, 65536
read, 0, 0, 1627782, 1048576, 65536
read, 0, 0, 1649304, 1048576, 65536
read, 0, 0, 1619992, 1048576, 65536
read, 0, 0, 1618262, 1048576, 65536
read, 0, 0, 2279188, 1048576, 65536
read, 0, 0, 1629243, 1048576, 65536
read, 0, 0, 1608701, 1048576, 65536
read, 0, 0, 1628723, 1048576, 65536
read, 0, 0, 1608401, 1048576, 65536
read, 0, 0, 1620782, 1048576, 65536
read, 0, 0, 1661956, 1048576, 65536
read, 0, 0, 1604010, 1048576, 65536
read, 0, 0, 1632543, 1048576, 65536
read, 0, 0, 2323212, 1048576, 65536
read, 0, 0, 1628803, 1048576, 65536
read, 1, 0, 4635053, 1048576, 65536
read, 1, 0, 4674237, 1048576, 65536
read, 1, 0, 4661906, 1048576, 65536
read, 1, 0, 4662666, 1048576, 65536
read, 1, 0, 4678847, 1048576, 65536
read, 1, 0, 4702279, 1048576, 65536
read, 1, 0, 4658295, 1048576, 65536
read, 1, 0, 4660165, 1048576, 65536
read, 1, 0, 4660745, 1048576, 65536
read, 1, 0, 4675077, 1048576, 65536
read, 1, 0, 4670887, 1048576, 65536
read, 1, 0, 4653505, 1048576, 65536
read, 1, 0, 4640133, 1048576, 65536
read, 1, 0, 4665826, 1048576, 65536
read, 1, 0, 4678127, 1048576, 65536
read, 1, 0, 4671606, 1048576, 65536
read, 1, 0, 4672297, 1048576, 65536
read, 1, 0, 4662736, 1048576, 65536
read, 1, 0, 4649815, 1048576, 65536
read, 1, 0, 4656676, 1048576, 65536
read, 1, 0, 4661646, 1048576, 65536
read, 1, 0, 4659506, 1048576, 65536
read, 1, 0, 4697910, 1048576, 65536
read, 1, 0, 4670167, 1048576, 65536
read, 1, 0, 4709721, 1048576, 65536
read, 1, 0, 4668086, 1048576, 65536
read, 1, 0, 4660415, 1048576, 65536
read, 1, 0, 4645804, 1048576, 65536
read, 1, 0, 4671847, 1048576, 65536
read, 1, 0, 4676988, 1048576, 65536
read, 1, 0, 4676187, 1048576, 65536
read, 1, 0, 4631823, 1048576, 65536
read, 1, 0, 4675737, 1048576, 65536
read, 1, 0, 4660345, 1048576, 65536
read, 1, 0, 4677037, 1048576, 65536
