operation, threshold, sec, ns, MB, accesses
read, 0, 0, 9887978, 1048576, 65536
read, 0, 0, 9784437, 1048576, 65536
read, 0, 0, 9780567, 1048576, 65536
read, 0, 0, 9776857, 1048576, 65536
read, 0, 0, 9831633, 1048576, 65536
read, 0, 0, 9782908, 1048576, 65536
read, 0, 0, 9795019, 1048576, 65536
read, 0, 0, 9741533, 1048576, 65536
read, 0, 0, 9842013, 1048576, 65536
read, 0, 0, 9738614, 1048576, 65536
read, 0, 0, 9863355, 1048576, 65536
read, 0, 0, 9775757, 1048576, 65536
read, 0, 0, 9804540, 1048576, 65536
read, 0, 0, 9857895, 1048576, 65536
read, 0, 0, 9770997, 1048576, 65536
read, 0, 0, 9810060, 1048576, 65536
read, 0, 0, 9756585, 1048576, 65536
read, 0, 0, 9830862, 1048576, 65536
read, 0, 0, 9757385, 1048576, 65536
read, 0, 0, 9793298, 1048576, 65536
read, 0, 0, 9808791, 1048576, 65536
read, 0, 0, 9791358, 1048576, 65536
read, 0, 0, 9826812, 1048576, 65536
read, 0, 0, 9750544, 1048576, 65536
read, 0, 0, 9808570, 1048576, 65536
read, 0, 0, 9775747, 1048576, 65536
read, 0, 0, 9849044, 1048576, 65536
read, 0, 0, 9758415, 1048576, 65536
read, 0, 0, 9814041, 1048576, 65536
read, 0, 0, 9762715, 1048576, 65536
read, 0, 0, 9816471, 1048576, 65536
read, 0, 0, 9799099, 1048576, 65536
read, 0, 0, 9810291, 1048576, 65536
read, 0, 0, 9805650, 1048576, 65536
read, 0, 0, 9776107, 1048576, 65536
read, 0, 0, 9802110, 1048576, 65536
read, 0, 0, 9780607, 1048576, 65536
read, 0, 0, 9797269, 1048576, 65536
read, 0, 0, 9796929, 1048576, 65536
read, 0, 0, 9810970, 1048576, 65536
read, 0, 0, 9871276, 1048576, 65536
read, 0, 0, 9820671, 1048576, 65536
read, 0, 0, 9837313, 1048576, 65536
read, 0, 0, 9739544, 1048576, 65536
read, 0, 0, 9795229, 1048576, 65536
read, 0, 0, 9801489, 1048576, 65536
read, 0, 0, 9786377, 1048576, 65536
read, 0, 0, 9810580, 1048576, 65536
read, 0, 0, 9747534, 1048576, 65536
read, 0, 0, 9767186, 1048576, 65536
read, 0, 0, 9817921, 1048576, 65536
read, 0, 0, 9852695, 1048576, 65536
read, 0, 0, 9759795, 1048576, 65536
read, 0, 0, 9823461, 1048576, 65536
read, 0, 0, 9760305, 1048576, 65536
read, 0, 0, 9795049, 1048576, 65536
read, 0, 0, 9854335, 1048576, 65536
read, 0, 0, 9771777, 1048576, 65536
read, 0, 0, 9797109, 1048576, 65536
read, 0, 0, 9787158, 1048576, 65536
read, 0, 0, 9808130, 1048576, 65536
read, 0, 0, 9809800, 1048576, 65536
read, 0, 0, 9765466, 1048576, 65536
read, 0, 0, 9785158, 1048576, 65536
read, 0, 0, 9805820, 1048576, 65536
read, 0, 0, 9751634, 1048576, 65536
read, 0, 0, 9847714, 1048576, 65536
read, 0, 0, 9743033, 1048576, 65536
read, 0, 0, 9805129, 1048576, 65536
read, 0, 0, 9725141, 1048576, 65536
read, 0, 0, 9791478, 1048576, 65536
read, 0, 0, 9823542, 1048576, 65536
read, 0, 0, 9846924, 1048576, 65536
read, 0, 0, 9786938, 1048576, 65536
read, 0, 0, 9781447, 1048576, 65536
read, 0, 0, 9808400, 1048576, 65536
read, 0, 0, 9845254, 1048576, 65536
read, 0, 0, 9752114, 1048576, 65536
read, 0, 0, 9768396, 1048576, 65536
read, 0, 0, 9850514, 1048576, 65536
read, 0, 0, 9843063, 1048576, 65536
read, 0, 0, 9800630, 1048576, 65536
read, 0, 0, 10153875, 1048576, 65536
read, 0, 0, 9835183, 1048576, 65536
read, 0, 0, 9823852, 1048576, 65536
read, 0, 0, 9780157, 1048576, 65536
read, 0, 0, 9806309, 1048576, 65536
read, 0, 0, 9775286, 1048576, 65536
read, 0, 0, 9811780, 1048576, 65536
read, 0, 0, 9763095, 1048576, 65536
read, 0, 0, 9822532, 1048576, 65536
read, 0, 0, 9787258, 1048576, 65536
read, 0, 0, 9783198, 1048576, 65536
read, 0, 0, 9827382, 1048576, 65536
read, 0, 0, 9747764, 1048576, 65536
read, 0, 0, 9798909, 1048576, 65536
read, 0, 0, 9766656, 1048576, 65536
