operation, threshold, sec, ns, MB, accesses
read, 0, 0, 27741922, 16777216, 1048576
read, 0, 0, 25282196, 16777216, 1048576
read, 0, 0, 25280696, 16777216, 1048576
read, 0, 0, 25398508, 16777216, 1048576
read, 0, 0, 25350773, 16777216, 1048576
read, 0, 0, 25276405, 16777216, 1048576
read, 0, 0, 25283056, 16777216, 1048576
read, 0, 0, 25267775, 16777216, 1048576
read, 0, 0, 26580046, 16777216, 1048576
read, 0, 0, 26299157, 16777216, 1048576
read, 0, 0, 26519590, 16777216, 1048576
read, 0, 0, 25370315, 16777216, 1048576
read, 0, 0, 25300408, 16777216, 1048576
read, 0, 0, 25431211, 16777216, 1048576
read, 0, 0, 25384367, 16777216, 1048576
read, 0, 0, 27644302, 16777216, 1048576
read, 0, 0, 25297667, 16777216, 1048576
read, 0, 0, 27661294, 16777216, 1048576
read, 0, 0, 25473715, 16777216, 1048576
read, 0, 0, 25438882, 16777216, 1048576
read, 0, 0, 25409389, 16777216, 1048576
read, 0, 0, 27629841, 16777216, 1048576
read, 0, 0, 26195828, 16777216, 1048576
read, 0, 0, 25470755, 16777216, 1048576
read, 0, 0, 25401438, 16777216, 1048576
read, 0, 0, 25272205, 16777216, 1048576
read, 0, 0, 30140961, 16777216, 1048576
read, 0, 0, 25295047, 16777216, 1048576
read, 0, 0, 25394797, 16777216, 1048576
read, 0, 0, 25414299, 16777216, 1048576
read, 0, 0, 25270215, 16777216, 1048576
read, 0, 0, 25270625, 16777216, 1048576
read, 0, 0, 25437252, 16777216, 1048576
read, 0, 0, 25396868, 16777216, 1048576
read, 0, 0, 25448183, 16777216, 1048576
read, 0, 0, 25279025, 16777216, 1048576
read, 0, 0, 25395377, 16777216, 1048576
read, 0, 0, 25451863, 16777216, 1048576
read, 0, 0, 26555064, 16777216, 1048576
read, 0, 0, 25496347, 16777216, 1048576
read, 0, 0, 25322850, 16777216, 1048576
read, 0, 0, 26551093, 16777216, 1048576
read, 0, 0, 25555423, 16777216, 1048576
read, 0, 0, 26480726, 16777216, 1048576
read, 0, 0, 26693767, 16777216, 1048576
read, 0, 0, 25275795, 16777216, 1048576
read, 0, 0, 25283896, 16777216, 1048576
read, 0, 0, 27629981, 16777216, 1048576
read, 0, 0, 25300388, 16777216, 1048576
read, 0, 0, 25338232, 16777216, 1048576
read, 0, 0, 25279766, 16777216, 1048576
read, 0, 0, 25279775, 16777216, 1048576
read, 0, 0, 25284546, 16777216, 1048576
read, 0, 0, 25272595, 16777216, 1048576
read, 0, 0, 28818980, 16777216, 1048576
read, 0, 0, 26557794, 16777216, 1048576
read, 0, 0, 27776216, 16777216, 1048576
read, 0, 0, 25367195, 16777216, 1048576
read, 0, 0, 25295928, 16777216, 1048576
read, 0, 0, 25285227, 16777216, 1048576
read, 0, 0, 25392637, 16777216, 1048576
read, 0, 0, 27558873, 16777216, 1048576
read, 0, 0, 25376365, 16777216, 1048576
read, 0, 0, 26563844, 16777216, 1048576
read, 0, 0, 26472185, 16777216, 1048576
read, 0, 0, 25371035, 16777216, 1048576
read, 0, 0, 25408869, 16777216, 1048576
read, 0, 0, 25384456, 16777216, 1048576
read, 0, 0, 25285717, 16777216, 1048576
read, 0, 0, 25286967, 16777216, 1048576
read, 0, 0, 25392447, 16777216, 1048576
read, 0, 0, 26496837, 16777216, 1048576
read, 0, 0, 25291497, 16777216, 1048576
read, 0, 0, 25372756, 16777216, 1048576
read, 0, 0, 28955993, 16777216, 1048576
read, 0, 0, 25272275, 16777216, 1048576
read, 0, 0, 25449503, 16777216, 1048576
read, 0, 0, 25287727, 16777216, 1048576
read, 0, 0, 25272485, 16777216, 1048576
read, 0, 0, 25277766, 16777216, 1048576
read, 0, 0, 25407309, 16777216, 1048576
read, 0, 0, 26427321, 16777216, 1048576
read, 0, 0, 25301748, 16777216, 1048576
read, 0, 0, 25280216, 16777216, 1048576
read, 0, 0, 25297538, 16777216, 1048576
read, 0, 0, 27695998, 16777216, 1048576
read, 0, 0, 27647753, 16777216, 1048576
read, 0, 0, 26405859, 16777216, 1048576
read, 0, 0, 25337812, 16777216, 1048576
read, 0, 0, 25397348, 16777216, 1048576
read, 0, 0, 25742582, 16777216, 1048576
read, 0, 0, 25488797, 16777216, 1048576
read, 0, 0, 28808188, 16777216, 1048576
read, 0, 0, 27673355, 16777216, 1048576
read, 0, 0, 25288447, 16777216, 1048576
read, 0, 0, 25436781, 16777216, 1048576
read, 0, 0, 25406058, 16777216, 1048576
read, 0, 0, 25393027, 16777216, 1048576
read, 0, 0, 25570755, 16777216, 1048576
read, 0, 0, 26461173, 16777216, 1048576
read, 1, 0, 57604956, 16777216, 1048576
read, 1, 0, 57557091, 16777216, 1048576
read, 1, 0, 57553591, 16777216, 1048576
read, 1, 0, 57781883, 16777216, 1048576
read, 1, 0, 57518618, 16777216, 1048576
read, 1, 0, 57470842, 16777216, 1048576
read, 1, 0, 57557391, 16777216, 1048576
read, 1, 0, 57501416, 16777216, 1048576
read, 1, 0, 57415997, 16777216, 1048576
