operation, threshold, sec, ns, MB, accesses
read, 0, 0, 16541993, 8388608, 2097152
read, 0, 0, 15886217, 8388608, 2097152
read, 0, 0, 15827541, 8388608, 2097152
read, 0, 0, 17124611, 8388608, 2097152
read, 0, 0, 15681767, 8388608, 2097152
read, 0, 0, 15701419, 8388608, 2097152
read, 0, 0, 15787908, 8388608, 2097152
read, 0, 0, 15678237, 8388608, 2097152
read, 0, 0, 15677306, 8388608, 2097152
read, 0, 0, 15688677, 8388608, 2097152
read, 0, 0, 15692298, 8388608, 2097152
read, 0, 0, 19171295, 8388608, 2097152
read, 0, 0, 18470936, 8388608, 2097152
read, 0, 0, 17196718, 8388608, 2097152
read, 0, 0, 15750513, 8388608, 2097152
read, 0, 0, 15837842, 8388608, 2097152
read, 0, 0, 15703329, 8388608, 2097152
read, 0, 0, 16181716, 8388608, 2097152
read, 0, 0, 15672656, 8388608, 2097152
read, 0, 0, 15608070, 8388608, 2097152
read, 0, 0, 15679417, 8388608, 2097152
read, 0, 0, 15682417, 8388608, 2097152
read, 0, 0, 15706320, 8388608, 2097152
read, 0, 0, 15675047, 8388608, 2097152
read, 0, 0, 15693988, 8388608, 2097152
read, 0, 0, 15693618, 8388608, 2097152
read, 0, 0, 15687947, 8388608, 2097152
read, 0, 0, 16713700, 8388608, 2097152
read, 0, 0, 17086987, 8388608, 2097152
read, 0, 0, 15856474, 8388608, 2097152
read, 0, 0, 15725571, 8388608, 2097152
read, 0, 0, 15693478, 8388608, 2097152
read, 0, 0, 15709120, 8388608, 2097152
read, 0, 0, 15701739, 8388608, 2097152
read, 0, 0, 15688898, 8388608, 2097152
read, 0, 0, 17113370, 8388608, 2097152
read, 0, 0, 15715900, 8388608, 2097152
read, 0, 0, 15738342, 8388608, 2097152
read, 0, 0, 15683447, 8388608, 2097152
read, 0, 0, 15713510, 8388608, 2097152
read, 0, 0, 16686378, 8388608, 2097152
read, 0, 0, 15840533, 8388608, 2097152
read, 0, 0, 17102088, 8388608, 2097152
read, 0, 0, 15877917, 8388608, 2097152
read, 0, 0, 15681516, 8388608, 2097152
read, 0, 0, 19011270, 8388608, 2097152
read, 0, 0, 15733582, 8388608, 2097152
read, 0, 0, 16989017, 8388608, 2097152
read, 0, 0, 15712640, 8388608, 2097152
read, 0, 0, 16335992, 8388608, 2097152
read, 0, 0, 17140122, 8388608, 2097152
read, 0, 0, 16143143, 8388608, 2097152
read, 0, 0, 15712750, 8388608, 2097152
read, 0, 0, 17126232, 8388608, 2097152
read, 0, 0, 15693678, 8388608, 2097152
read, 0, 0, 18675306, 8388608, 2097152
read, 0, 0, 15625021, 8388608, 2097152
read, 0, 0, 15701499, 8388608, 2097152
read, 0, 0, 17569756, 8388608, 2097152
read, 0, 0, 15708649, 8388608, 2097152
read, 0, 0, 15709680, 8388608, 2097152
read, 0, 0, 16275016, 8388608, 2097152
read, 0, 0, 16038193, 8388608, 2097152
read, 0, 0, 15908540, 8388608, 2097152
read, 0, 0, 15692828, 8388608, 2097152
read, 0, 0, 17772916, 8388608, 2097152
read, 0, 0, 15703619, 8388608, 2097152
read, 0, 0, 17085287, 8388608, 2097152
read, 0, 0, 17179027, 8388608, 2097152
read, 0, 0, 16553714, 8388608, 2097152
read, 0, 0, 15853714, 8388608, 2097152
read, 0, 0, 15710750, 8388608, 2097152
read, 0, 0, 17927161, 8388608, 2097152
read, 0, 0, 15686657, 8388608, 2097152
read, 0, 0, 15692388, 8388608, 2097152
read, 0, 0, 15686467, 8388608, 2097152
read, 0, 0, 15887147, 8388608, 2097152
read, 0, 0, 16034002, 8388608, 2097152
read, 0, 0, 15708519, 8388608, 2097152
read, 0, 0, 16098089, 8388608, 2097152
read, 0, 0, 15691647, 8388608, 2097152
read, 0, 0, 17098699, 8388608, 2097152
read, 0, 0, 15692098, 8388608, 2097152
read, 0, 0, 18498698, 8388608, 2097152
read, 0, 0, 17064865, 8388608, 2097152
read, 0, 0, 17027531, 8388608, 2097152
read, 0, 0, 15859835, 8388608, 2097152
read, 0, 0, 17113680, 8388608, 2097152
read, 0, 0, 15732772, 8388608, 2097152
read, 0, 0, 15696968, 8388608, 2097152
read, 0, 0, 15685438, 8388608, 2097152
read, 0, 0, 17254064, 8388608, 2097152
read, 0, 0, 15691938, 8388608, 2097152
read, 0, 0, 15667986, 8388608, 2097152
read, 0, 0, 15701019, 8388608, 2097152
read, 0, 0, 15702069, 8388608, 2097152
read, 0, 0, 15700288, 8388608, 2097152
read, 0, 0, 15683517, 8388608, 2097152
read, 0, 0, 15694828, 8388608, 2097152
read, 0, 0, 17112280, 8388608, 2097152
read, 1, 0, 17353764, 8388608, 2097152
read, 1, 0, 15707000, 8388608, 2097152
read, 1, 0, 15690638, 8388608, 2097152
read, 1, 0, 15697969, 8388608, 2097152
read, 1, 0, 15700469, 8388608, 2097152
read, 1, 0, 15619150, 8388608, 2097152
read, 1, 0, 15694828, 8388608, 2097152
read, 1, 0, 15674726, 8388608, 2097152
read, 1, 0, 16075706, 8388608, 2097152
read, 1, 0, 17401459, 8388608, 2097152
read, 1, 0, 17108229, 8388608, 2097152
read, 1, 0, 15700129, 8388608, 2097152
read, 1, 0, 15688797, 8388608, 2097152
read, 1, 0, 15691008, 8388608, 2097152
read, 1, 0, 15688247, 8388608, 2097152
read, 1, 0, 15686437, 8388608, 2097152
read, 1, 0, 17446673, 8388608, 2097152
read, 1, 0, 15720631, 8388608, 2097152
read, 1, 0, 15843943, 8388608, 2097152
read, 1, 0, 15684737, 8388608, 2097152
read, 1, 0, 19103879, 8388608, 2097152
read, 1, 0, 15694789, 8388608, 2097152
read, 1, 0, 15630802, 8388608, 2097152
read, 1, 0, 15820811, 8388608, 2097152
read, 1, 0, 15686108, 8388608, 2097152
read, 1, 0, 17309810, 8388608, 2097152
read, 1, 0, 15719561, 8388608, 2097152
read, 1, 0, 15893909, 8388608, 2097152
read, 1, 0, 20070406, 8388608, 2097152
read, 1, 0, 17870366, 8388608, 2097152
read, 1, 0, 16036572, 8388608, 2097152
read, 1, 0, 15839513, 8388608, 2097152
read, 1, 0, 15684037, 8388608, 2097152
read, 1, 0, 15714150, 8388608, 2097152
read, 1, 0, 15703269, 8388608, 2097152
read, 1, 0, 15780957, 8388608, 2097152
read, 1, 0, 15726181, 8388608, 2097152
read, 1, 0, 16053664, 8388608, 2097152
read, 1, 0, 15699389, 8388608, 2097152
read, 1, 0, 17138822, 8388608, 2097152
read, 1, 0, 15730572, 8388608, 2097152
read, 1, 0, 15721861, 8388608, 2097152
read, 1, 0, 15737963, 8388608, 2097152
read, 1, 0, 17101148, 8388608, 2097152
read, 1, 0, 15832592, 8388608, 2097152
read, 1, 0, 15699269, 8388608, 2097152
read, 1, 0, 17127011, 8388608, 2097152
read, 1, 0, 18624011, 8388608, 2097152
read, 1, 0, 15698198, 8388608, 2097152
read, 1, 0, 15707979, 8388608, 2097152
read, 1, 0, 15691218, 8388608, 2097152
