operation, threshold, sec, ns, MB, accesses
read, 0, 0, 30177015, 8388608, 2097152
read, 0, 0, 27956473, 8388608, 2097152
read, 0, 0, 28324010, 8388608, 2097152
read, 0, 0, 27713909, 8388608, 2097152
read, 0, 0, 27527260, 8388608, 2097152
read, 0, 0, 27915049, 8388608, 2097152
read, 0, 0, 30516760, 8388608, 2097152
read, 0, 0, 27212089, 8388608, 2097152
read, 0, 0, 29474015, 8388608, 2097152
read, 0, 0, 27946183, 8388608, 2097152
read, 0, 0, 27781836, 8388608, 2097152
read, 0, 0, 27436462, 8388608, 2097152
read, 0, 0, 28006998, 8388608, 2097152
read, 0, 0, 27683186, 8388608, 2097152
read, 0, 0, 28415329, 8388608, 2097152
read, 0, 0, 29352022, 8388608, 2097152
read, 0, 0, 27703088, 8388608, 2097152
read, 0, 0, 27720000, 8388608, 2097152
read, 0, 0, 28591807, 8388608, 2097152
read, 0, 0, 28865624, 8388608, 2097152
read, 0, 0, 27431100, 8388608, 2097152
read, 0, 0, 28627590, 8388608, 2097152
read, 0, 0, 27634811, 8388608, 2097152
read, 0, 0, 27684046, 8388608, 2097152
read, 0, 0, 28150533, 8388608, 2097152
read, 0, 0, 29230650, 8388608, 2097152
read, 0, 0, 27789046, 8388608, 2097152
read, 0, 0, 28467635, 8388608, 2097152
read, 0, 0, 29382766, 8388608, 2097152
read, 0, 0, 29507358, 8388608, 2097152
read, 0, 0, 27716760, 8388608, 2097152
read, 0, 0, 27794117, 8388608, 2097152
read, 0, 0, 28677475, 8388608, 2097152
read, 0, 0, 27715050, 8388608, 2097152
read, 0, 0, 28130110, 8388608, 2097152
read, 0, 0, 27732361, 8388608, 2097152
read, 0, 0, 27696177, 8388608, 2097152
read, 0, 0, 27656763, 8388608, 2097152
read, 0, 0, 28041912, 8388608, 2097152
read, 0, 0, 28344752, 8388608, 2097152
read, 0, 0, 28118149, 8388608, 2097152
read, 0, 0, 27436041, 8388608, 2097152
read, 0, 0, 28929650, 8388608, 2097152
read, 0, 0, 27368164, 8388608, 2097152
read, 0, 0, 27215999, 8388608, 2097152
read, 0, 0, 31296527, 8388608, 2097152
read, 0, 0, 27743772, 8388608, 2097152
read, 0, 0, 28962834, 8388608, 2097152
