operation, threshold, sec, ns, MB, accesses
read, 0, 0, 16523951, 8388608, 2097152
read, 0, 0, 16088068, 8388608, 2097152
read, 0, 0, 16001639, 8388608, 2097152
read, 0, 0, 16240172, 8388608, 2097152
read, 0, 0, 16570026, 8388608, 2097152
read, 0, 0, 16022371, 8388608, 2097152
read, 0, 0, 16099638, 8388608, 2097152
read, 0, 0, 16686507, 8388608, 2097152
read, 0, 0, 16028722, 8388608, 2097152
read, 0, 0, 16668015, 8388608, 2097152
read, 0, 0, 16046073, 8388608, 2097152
read, 0, 0, 16164575, 8388608, 2097152
read, 0, 0, 16038122, 8388608, 2097152
read, 0, 0, 16044144, 8388608, 2097152
read, 0, 0, 16033072, 8388608, 2097152
read, 0, 0, 16382397, 8388608, 2097152
read, 0, 0, 16147204, 8388608, 2097152
read, 0, 0, 16024591, 8388608, 2097152
read, 0, 0, 16082277, 8388608, 2097152
read, 0, 0, 16031792, 8388608, 2097152
read, 0, 0, 16418461, 8388608, 2097152
read, 0, 0, 16083797, 8388608, 2097152
read, 0, 0, 16871316, 8388608, 2097152
read, 0, 0, 16047583, 8388608, 2097152
read, 0, 0, 16024411, 8388608, 2097152
read, 0, 0, 16432262, 8388608, 2097152
read, 0, 0, 16130512, 8388608, 2097152
read, 0, 0, 16189918, 8388608, 2097152
read, 0, 0, 16145153, 8388608, 2097152
read, 0, 0, 16034163, 8388608, 2097152
read, 0, 0, 16142743, 8388608, 2097152
read, 0, 0, 16018690, 8388608, 2097152
read, 0, 0, 16032692, 8388608, 2097152
read, 0, 0, 16008800, 8388608, 2097152
read, 0, 0, 16396958, 8388608, 2097152
read, 0, 0, 16084498, 8388608, 2097152
read, 0, 0, 16028131, 8388608, 2097152
read, 0, 0, 16019410, 8388608, 2097152
read, 0, 0, 16308319, 8388608, 2097152
read, 0, 0, 16018831, 8388608, 2097152
read, 0, 0, 16031282, 8388608, 2097152
read, 0, 0, 16013870, 8388608, 2097152
read, 0, 0, 16124051, 8388608, 2097152
read, 0, 0, 16020391, 8388608, 2097152
read, 0, 0, 16073596, 8388608, 2097152
read, 0, 0, 16008800, 8388608, 2097152
read, 0, 0, 16510800, 8388608, 2097152
read, 0, 0, 16031332, 8388608, 2097152
read, 0, 0, 16037992, 8388608, 2097152
read, 0, 0, 16475907, 8388608, 2097152
read, 0, 0, 16703849, 8388608, 2097152
read, 0, 0, 16140942, 8388608, 2097152
read, 0, 0, 16040432, 8388608, 2097152
read, 0, 0, 16061714, 8388608, 2097152
read, 0, 0, 16450644, 8388608, 2097152
read, 0, 0, 16028401, 8388608, 2097152
read, 0, 0, 16025502, 8388608, 2097152
read, 0, 0, 16067215, 8388608, 2097152
read, 0, 0, 16024341, 8388608, 2097152
read, 0, 0, 16068105, 8388608, 2097152
read, 0, 0, 16079196, 8388608, 2097152
read, 0, 0, 16136242, 8388608, 2097152
read, 0, 0, 16568395, 8388608, 2097152
read, 0, 0, 16292458, 8388608, 2097152
read, 0, 0, 16054104, 8388608, 2097152
read, 0, 0, 16086308, 8388608, 2097152
read, 0, 0, 16020750, 8388608, 2097152
read, 0, 0, 16127861, 8388608, 2097152
read, 0, 0, 16658265, 8388608, 2097152
read, 0, 0, 16163575, 8388608, 2097152
read, 0, 0, 16021130, 8388608, 2097152
read, 0, 0, 16015660, 8388608, 2097152
read, 0, 0, 16140773, 8388608, 2097152
read, 0, 0, 16037472, 8388608, 2097152
read, 0, 0, 16022420, 8388608, 2097152
read, 0, 0, 15981377, 8388608, 2097152
read, 0, 0, 15992488, 8388608, 2097152
read, 0, 0, 16102499, 8388608, 2097152
read, 0, 0, 16027492, 8388608, 2097152
read, 0, 0, 16026981, 8388608, 2097152
read, 0, 0, 16018231, 8388608, 2097152
read, 0, 0, 16028711, 8388608, 2097152
read, 0, 0, 16336452, 8388608, 2097152
read, 0, 0, 16009900, 8388608, 2097152
read, 0, 0, 16025071, 8388608, 2097152
read, 0, 0, 16044224, 8388608, 2097152
read, 0, 0, 16024221, 8388608, 2097152
read, 0, 0, 16006499, 8388608, 2097152
read, 0, 0, 16211420, 8388608, 2097152
read, 0, 0, 16117571, 8388608, 2097152
read, 0, 0, 16153734, 8388608, 2097152
read, 0, 0, 16154414, 8388608, 2097152
read, 0, 0, 16077967, 8388608, 2097152
read, 0, 0, 16010160, 8388608, 2097152
read, 0, 0, 16055024, 8388608, 2097152
read, 0, 0, 16027482, 8388608, 2097152
read, 0, 0, 16851984, 8388608, 2097152
read, 0, 0, 16040383, 8388608, 2097152
read, 0, 0, 16232702, 8388608, 2097152
read, 0, 0, 16029752, 8388608, 2097152
read, 1, 0, 16032832, 8388608, 2097152
read, 1, 0, 16056455, 8388608, 2097152
read, 1, 0, 16012080, 8388608, 2097152
read, 1, 0, 16019080, 8388608, 2097152
read, 1, 0, 16266596, 8388608, 2097152
read, 1, 0, 16052414, 8388608, 2097152
read, 1, 0, 16178537, 8388608, 2097152
read, 1, 0, 16031102, 8388608, 2097152
read, 1, 0, 16425371, 8388608, 2097152
read, 1, 0, 16007359, 8388608, 2097152
read, 1, 0, 16008310, 8388608, 2097152
read, 1, 0, 16056934, 8388608, 2097152
read, 1, 0, 16339322, 8388608, 2097152
read, 1, 0, 16190088, 8388608, 2097152
read, 1, 0, 16132671, 8388608, 2097152
read, 1, 0, 16019830, 8388608, 2097152
read, 1, 0, 16142242, 8388608, 2097152
read, 1, 0, 16042112, 8388608, 2097152
read, 1, 0, 16102419, 8388608, 2097152
read, 1, 0, 16023251, 8388608, 2097152
read, 1, 0, 16020661, 8388608, 2097152
read, 1, 0, 16024421, 8388608, 2097152
read, 1, 0, 16680006, 8388608, 2097152
read, 1, 0, 16014000, 8388608, 2097152
read, 1, 0, 16289337, 8388608, 2097152
read, 1, 0, 16030552, 8388608, 2097152
read, 1, 0, 16029182, 8388608, 2097152
read, 1, 0, 16011210, 8388608, 2097152
read, 1, 0, 16108960, 8388608, 2097152
read, 1, 0, 16008419, 8388608, 2097152
read, 1, 0, 16104330, 8388608, 2097152
read, 1, 0, 16004069, 8388608, 2097152
read, 1, 0, 16016780, 8388608, 2097152
read, 1, 0, 16147603, 8388608, 2097152
read, 1, 0, 16224681, 8388608, 2097152
read, 1, 0, 16213240, 8388608, 2097152
read, 1, 0, 16030412, 8388608, 2097152
read, 1, 0, 16055204, 8388608, 2097152
read, 1, 0, 16015550, 8388608, 2097152
read, 1, 0, 16061305, 8388608, 2097152
read, 1, 0, 16049773, 8388608, 2097152
read, 1, 0, 16026702, 8388608, 2097152
read, 1, 0, 15998359, 8388608, 2097152
read, 1, 0, 16053724, 8388608, 2097152
read, 1, 0, 16025061, 8388608, 2097152
read, 1, 0, 16017070, 8388608, 2097152
read, 1, 0, 16005270, 8388608, 2097152
read, 1, 0, 16010250, 8388608, 2097152
read, 1, 0, 16015290, 8388608, 2097152
read, 1, 0, 16101099, 8388608, 2097152
read, 1, 0, 16032412, 8388608, 2097152
read, 1, 0, 16023821, 8388608, 2097152
read, 1, 0, 16016770, 8388608, 2097152
read, 1, 0, 16036762, 8388608, 2097152
read, 1, 0, 16004299, 8388608, 2097152
read, 1, 0, 16000079, 8388608, 2097152
read, 1, 0, 16249384, 8388608, 2097152
read, 1, 0, 16021271, 8388608, 2097152
read, 1, 0, 16323481, 8388608, 2097152
read, 1, 0, 16026831, 8388608, 2097152
read, 1, 0, 16086617, 8388608, 2097152
read, 1, 0, 16013470, 8388608, 2097152
read, 1, 0, 16190088, 8388608, 2097152
read, 1, 0, 16063375, 8388608, 2097152
read, 1, 0, 16145424, 8388608, 2097152
read, 1, 0, 16703479, 8388608, 2097152
read, 1, 0, 16014600, 8388608, 2097152
read, 1, 0, 16027972, 8388608, 2097152
read, 1, 0, 16830102, 8388608, 2097152
read, 1, 0, 16036722, 8388608, 2097152
read, 1, 0, 16008200, 8388608, 2097152
read, 1, 0, 16013330, 8388608, 2097152
read, 1, 0, 16035993, 8388608, 2097152
read, 1, 0, 16135462, 8388608, 2097152
read, 1, 0, 16508970, 8388608, 2097152
read, 1, 0, 16033492, 8388608, 2097152
read, 1, 0, 16134152, 8388608, 2097152
read, 1, 0, 16323471, 8388608, 2097152
read, 1, 0, 16102779, 8388608, 2097152
read, 1, 0, 16028651, 8388608, 2097152
read, 1, 0, 16169236, 8388608, 2097152
read, 1, 0, 16040703, 8388608, 2097152
read, 1, 0, 16047164, 8388608, 2097152
read, 1, 0, 16100669, 8388608, 2097152
read, 1, 0, 16024831, 8388608, 2097152
read, 1, 0, 16031652, 8388608, 2097152
read, 1, 0, 16030071, 8388608, 2097152
read, 1, 0, 16012879, 8388608, 2097152
read, 1, 0, 16107649, 8388608, 2097152
read, 1, 0, 16409850, 8388608, 2097152
read, 1, 0, 16030952, 8388608, 2097152
read, 1, 0, 16017570, 8388608, 2097152
read, 1, 0, 16607060, 8388608, 2097152
read, 1, 0, 16030312, 8388608, 2097152
read, 1, 0, 16025931, 8388608, 2097152
read, 1, 0, 16032522, 8388608, 2097152
read, 1, 0, 16152054, 8388608, 2097152
read, 1, 0, 16013030, 8388608, 2097152
read, 1, 0, 16069695, 8388608, 2097152
read, 1, 0, 16026101, 8388608, 2097152
read, 2, 0, 16144883, 8388608, 2097152
read, 2, 0, 16017250, 8388608, 2097152
read, 2, 0, 16029682, 8388608, 2097152
read, 2, 0, 16014900, 8388608, 2097152
read, 2, 0, 16018930, 8388608, 2097152
read, 2, 0, 16118231, 8388608, 2097152
read, 2, 0, 16652094, 8388608, 2097152
read, 2, 0, 16247574, 8388608, 2097152
read, 2, 0, 16043323, 8388608, 2097152
read, 2, 0, 16073346, 8388608, 2097152
read, 2, 0, 16020781, 8388608, 2097152
read, 2, 0, 16343413, 8388608, 2097152
read, 2, 0, 16403179, 8388608, 2097152
read, 2, 0, 16103859, 8388608, 2097152
read, 2, 0, 16032612, 8388608, 2097152
read, 2, 0, 16022481, 8388608, 2097152
read, 2, 0, 16054224, 8388608, 2097152
read, 2, 0, 16103559, 8388608, 2097152
read, 2, 0, 16021861, 8388608, 2097152
read, 2, 0, 16009180, 8388608, 2097152
read, 2, 0, 16287817, 8388608, 2097152
read, 2, 0, 16055445, 8388608, 2097152
read, 2, 0, 16374646, 8388608, 2097152
read, 2, 0, 16033422, 8388608, 2097152
read, 2, 0, 16008270, 8388608, 2097152
read, 2, 0, 16025171, 8388608, 2097152
read, 2, 0, 16081377, 8388608, 2097152
read, 2, 0, 16084727, 8388608, 2097152
read, 2, 0, 16056694, 8388608, 2097152
read, 2, 0, 16027791, 8388608, 2097152
read, 2, 0, 16170146, 8388608, 2097152
read, 2, 0, 16019571, 8388608, 2097152
read, 2, 0, 16040363, 8388608, 2097152
read, 2, 0, 16029162, 8388608, 2097152
read, 2, 0, 16180056, 8388608, 2097152
read, 2, 0, 16159424, 8388608, 2097152
read, 2, 0, 16029912, 8388608, 2097152
read, 2, 0, 16066536, 8388608, 2097152
read, 2, 0, 16647473, 8388608, 2097152
read, 2, 0, 16012530, 8388608, 2097152
