operation, threshold, sec, ns, MB, accesses
read, 0, 0, 18370995, 8388608, 2097152
read, 0, 0, 18188307, 8388608, 2097152
read, 0, 0, 19384867, 8388608, 2097152
read, 0, 0, 19417320, 8388608, 2097152
read, 0, 0, 18333252, 8388608, 2097152
read, 0, 0, 19352634, 8388608, 2097152
read, 0, 0, 18095708, 8388608, 2097152
read, 0, 0, 18327141, 8388608, 2097152
read, 0, 0, 18554174, 8388608, 2097152
read, 0, 0, 18197138, 8388608, 2097152
read, 0, 0, 21734872, 8388608, 2097152
read, 0, 0, 18279006, 8388608, 2097152
read, 0, 0, 20191967, 8388608, 2097152
read, 0, 0, 20623780, 8388608, 2097152
read, 0, 0, 18160354, 8388608, 2097152
read, 0, 0, 18096978, 8388608, 2097152
read, 0, 0, 18057984, 8388608, 2097152
read, 0, 0, 18311980, 8388608, 2097152
read, 0, 0, 18115750, 8388608, 2097152
read, 0, 0, 18193808, 8388608, 2097152
read, 0, 0, 18165295, 8388608, 2097152
read, 0, 0, 18263995, 8388608, 2097152
read, 0, 0, 18075086, 8388608, 2097152
read, 0, 0, 19412369, 8388608, 2097152
read, 0, 0, 18304079, 8388608, 2097152
read, 0, 0, 18150634, 8388608, 2097152
read, 0, 0, 24308749, 8388608, 2097152
read, 0, 0, 18125041, 8388608, 2097152
read, 0, 0, 18109929, 8388608, 2097152
read, 0, 0, 18293028, 8388608, 2097152
read, 0, 0, 18143063, 8388608, 2097152
read, 0, 0, 18661945, 8388608, 2097152
read, 0, 0, 18334352, 8388608, 2097152
read, 0, 0, 18612490, 8388608, 2097152
read, 0, 0, 18293468, 8388608, 2097152
read, 0, 0, 19957744, 8388608, 2097152
read, 0, 0, 18177556, 8388608, 2097152
read, 0, 0, 18207159, 8388608, 2097152
read, 0, 0, 18136763, 8388608, 2097152
read, 0, 0, 19364274, 8388608, 2097152
read, 0, 0, 20283467, 8388608, 2097152
read, 0, 0, 18766705, 8388608, 2097152
read, 0, 0, 18147424, 8388608, 2097152
read, 0, 0, 18298648, 8388608, 2097152
read, 0, 0, 19735762, 8388608, 2097152
read, 0, 0, 18377957, 8388608, 2097152
read, 0, 0, 18664495, 8388608, 2097152
read, 0, 0, 18074156, 8388608, 2097152
read, 0, 0, 18280927, 8388608, 2097152
read, 0, 0, 18080236, 8388608, 2097152
read, 0, 0, 18308589, 8388608, 2097152
read, 0, 0, 18088707, 8388608, 2097152
read, 0, 0, 18276616, 8388608, 2097152
read, 0, 0, 18246823, 8388608, 2097152
read, 0, 0, 18117930, 8388608, 2097152
read, 0, 0, 18374476, 8388608, 2097152
read, 0, 0, 18150154, 8388608, 2097152
read, 0, 0, 18234082, 8388608, 2097152
read, 0, 0, 18336893, 8388608, 2097152
read, 0, 0, 20808270, 8388608, 2097152
read, 0, 0, 19165155, 8388608, 2097152
read, 0, 0, 18196408, 8388608, 2097152
read, 0, 0, 18399928, 8388608, 2097152
read, 0, 0, 18217580, 8388608, 2097152
read, 0, 0, 18298298, 8388608, 2097152
read, 0, 0, 20836432, 8388608, 2097152
read, 0, 0, 18164765, 8388608, 2097152
read, 0, 0, 19183007, 8388608, 2097152
read, 0, 0, 18342182, 8388608, 2097152
read, 0, 0, 18029451, 8388608, 2097152
read, 0, 0, 18148243, 8388608, 2097152
read, 0, 0, 18318221, 8388608, 2097152
read, 0, 0, 18068195, 8388608, 2097152
