operation, threshold, sec, ns, MB, accesses
read, 0, 0, 40288076, 8388608, 2097152
read, 0, 0, 38081585, 8388608, 2097152
read, 0, 0, 39043271, 8388608, 2097152
read, 0, 0, 42804637, 8388608, 2097152
read, 0, 0, 41021689, 8388608, 2097152
read, 0, 0, 38587275, 8388608, 2097152
read, 0, 0, 38859603, 8388608, 2097152
read, 0, 0, 40723579, 8388608, 2097152
read, 0, 0, 38481015, 8388608, 2097152
read, 0, 0, 39244611, 8388608, 2097152
read, 0, 0, 38504017, 8388608, 2097152
read, 0, 0, 39291656, 8388608, 2097152
read, 0, 0, 38397877, 8388608, 2097152
read, 0, 0, 42087985, 8388608, 2097152
read, 0, 0, 40786686, 8388608, 2097152
read, 0, 0, 38654643, 8388608, 2097152
read, 0, 0, 40151812, 8388608, 2097152
read, 0, 0, 38531620, 8388608, 2097152
read, 0, 0, 37993596, 8388608, 2097152
read, 0, 0, 42280204, 8388608, 2097152
read, 0, 0, 46304226, 8388608, 2097152
read, 0, 0, 41701097, 8388608, 2097152
read, 0, 0, 39389476, 8388608, 2097152
read, 0, 0, 38113979, 8388608, 2097152
read, 0, 0, 39187466, 8388608, 2097152
read, 0, 0, 39708307, 8388608, 2097152
read, 0, 0, 41687346, 8388608, 2097152
read, 0, 0, 38051552, 8388608, 2097152
read, 0, 0, 38184036, 8388608, 2097152
read, 0, 0, 38999087, 8388608, 2097152
read, 0, 0, 39024719, 8388608, 2097152
read, 0, 0, 42211758, 8388608, 2097152
read, 0, 0, 39745991, 8388608, 2097152
read, 0, 0, 38061143, 8388608, 2097152
read, 0, 0, 41442961, 8388608, 2097152
read, 0, 0, 41365693, 8388608, 2097152
read, 0, 0, 38408448, 8388608, 2097152
read, 0, 0, 39282265, 8388608, 2097152
read, 0, 0, 41479734, 8388608, 2097152
read, 0, 0, 39444551, 8388608, 2097152
read, 0, 0, 44854852, 8388608, 2097152
read, 0, 0, 40823039, 8388608, 2097152
read, 0, 0, 39035000, 8388608, 2097152
read, 0, 0, 38301017, 8388608, 2097152
read, 0, 0, 39678374, 8388608, 2097152
read, 0, 0, 38497147, 8388608, 2097152
read, 0, 0, 41096936, 8388608, 2097152
read, 0, 0, 38821428, 8388608, 2097152
read, 0, 0, 39214578, 8388608, 2097152
read, 0, 0, 40932260, 8388608, 2097152
read, 0, 0, 42841871, 8388608, 2097152
read, 0, 0, 41197507, 8388608, 2097152
read, 0, 0, 38570284, 8388608, 2097152
read, 0, 0, 40461333, 8388608, 2097152
read, 0, 0, 38464213, 8388608, 2097152
read, 0, 0, 41517329, 8388608, 2097152
read, 0, 0, 38536820, 8388608, 2097152
read, 0, 0, 39298966, 8388608, 2097152
read, 0, 0, 40257773, 8388608, 2097152
read, 0, 0, 41924369, 8388608, 2097152
read, 0, 0, 42064773, 8388608, 2097152
read, 0, 0, 38819468, 8388608, 2097152
read, 0, 0, 39522769, 8388608, 2097152
read, 0, 0, 41446691, 8388608, 2097152
read, 0, 0, 38476235, 8388608, 2097152
read, 0, 0, 41728619, 8388608, 2097152
read, 0, 0, 38307158, 8388608, 2097152
read, 0, 0, 40312658, 8388608, 2097152
read, 0, 0, 43627189, 8388608, 2097152
read, 0, 0, 38461973, 8388608, 2097152
read, 0, 0, 40074124, 8388608, 2097152
read, 0, 0, 39372644, 8388608, 2097152
read, 0, 0, 38501427, 8388608, 2097152
read, 0, 0, 39736420, 8388608, 2097152
read, 0, 0, 38376764, 8388608, 2097152
read, 0, 0, 38861443, 8388608, 2097152
read, 0, 0, 40871654, 8388608, 2097152
read, 0, 0, 38088736, 8388608, 2097152
