operation, threshold, sec, ns, MB, accesses
read, 0, 0, 71715335, 8388608, 2097152
read, 0, 0, 71296203, 8388608, 2097152
read, 0, 0, 71411675, 8388608, 2097152
read, 0, 0, 70729087, 8388608, 2097152
read, 0, 0, 72613835, 8388608, 2097152
read, 0, 0, 69399974, 8388608, 2097152
read, 0, 0, 70491543, 8388608, 2097152
read, 0, 0, 70836898, 8388608, 2097152
read, 0, 0, 72222456, 8388608, 2097152
read, 0, 0, 70931397, 8388608, 2097152
read, 0, 0, 73316135, 8388608, 2097152
read, 0, 0, 71041068, 8388608, 2097152
read, 0, 0, 71940098, 8388608, 2097152
read, 0, 0, 70070872, 8388608, 2097152
read, 0, 0, 73237327, 8388608, 2097152
read, 0, 0, 69852249, 8388608, 2097152
read, 0, 0, 71812376, 8388608, 2097152
read, 0, 0, 71830517, 8388608, 2097152
read, 0, 0, 71194934, 8388608, 2097152
read, 0, 0, 70042348, 8388608, 2097152
read, 0, 0, 70832837, 8388608, 2097152
read, 0, 0, 70010255, 8388608, 2097152
read, 0, 0, 70729277, 8388608, 2097152
read, 0, 0, 69974671, 8388608, 2097152
read, 0, 0, 70088693, 8388608, 2097152
read, 0, 0, 70857870, 8388608, 2097152
read, 0, 0, 70524986, 8388608, 2097152
read, 0, 0, 69772692, 8388608, 2097152
read, 0, 0, 70230587, 8388608, 2097152
read, 0, 0, 70298634, 8388608, 2097152
read, 0, 0, 70996994, 8388608, 2097152
read, 0, 0, 71187003, 8388608, 2097152
read, 0, 0, 70825326, 8388608, 2097152
read, 0, 0, 70118776, 8388608, 2097152
read, 0, 0, 72156010, 8388608, 2097152
read, 0, 0, 70330098, 8388608, 2097152
read, 0, 0, 70878622, 8388608, 2097152
read, 0, 0, 71324767, 8388608, 2097152
read, 0, 0, 71490593, 8388608, 2097152
read, 0, 0, 72529547, 8388608, 2097152
read, 0, 0, 70593853, 8388608, 2097152
read, 0, 0, 70307155, 8388608, 2097152
read, 0, 0, 70822747, 8388608, 2097152
read, 0, 0, 69710595, 8388608, 2097152
read, 0, 0, 73728546, 8388608, 2097152
read, 0, 0, 70363530, 8388608, 2097152
read, 0, 0, 70735808, 8388608, 2097152
read, 0, 0, 70625697, 8388608, 2097152
read, 0, 0, 70469851, 8388608, 2097152
read, 0, 0, 71636588, 8388608, 2097152
read, 0, 0, 70411315, 8388608, 2097152
read, 0, 0, 70310555, 8388608, 2097152
read, 0, 0, 117048155, 8388608, 2097152
read, 0, 0, 110194290, 8388608, 2097152
read, 0, 0, 73255810, 8388608, 2097152
read, 0, 0, 69753589, 8388608, 2097152
read, 0, 0, 72581562, 8388608, 2097152
read, 0, 0, 72833258, 8388608, 2097152
read, 0, 0, 70791553, 8388608, 2097152
read, 0, 0, 72177322, 8388608, 2097152
read, 0, 0, 70571752, 8388608, 2097152
read, 0, 0, 69895764, 8388608, 2097152
read, 0, 0, 71831027, 8388608, 2097152
read, 0, 0, 70169541, 8388608, 2097152
read, 0, 0, 71366460, 8388608, 2097152
read, 0, 0, 69514535, 8388608, 2097152
read, 0, 0, 71420146, 8388608, 2097152
read, 0, 0, 73104875, 8388608, 2097152
