operation, threshold, sec, ns, MB, accesses
read, 0, 0, 82710465, 8388608, 2097152
read, 0, 0, 81490453, 8388608, 2097152
read, 0, 0, 80529256, 8388608, 2097152
read, 0, 0, 80688872, 8388608, 2097152
read, 0, 0, 80828686, 8388608, 2097152
read, 0, 0, 80670271, 8388608, 2097152
read, 0, 0, 81167120, 8388608, 2097152
read, 0, 0, 80547258, 8388608, 2097152
read, 0, 0, 80617435, 8388608, 2097152
read, 0, 0, 81079492, 8388608, 2097152
read, 0, 0, 80748848, 8388608, 2097152
read, 0, 0, 80574281, 8388608, 2097152
read, 0, 0, 80909075, 8388608, 2097152
read, 0, 0, 81311134, 8388608, 2097152
read, 0, 0, 81798953, 8388608, 2097152
read, 0, 0, 80774691, 8388608, 2097152
read, 0, 0, 80199213, 8388608, 2097152
read, 0, 0, 80788462, 8388608, 2097152
read, 0, 0, 81303914, 8388608, 2097152
read, 0, 0, 81316535, 8388608, 2097152
read, 0, 0, 80314445, 8388608, 2097152
read, 0, 0, 80805273, 8388608, 2097152
read, 0, 0, 80945657, 8388608, 2097152
read, 0, 0, 80588012, 8388608, 2097152
read, 0, 0, 80766279, 8388608, 2097152
read, 0, 0, 80528627, 8388608, 2097152
read, 0, 0, 81216255, 8388608, 2097152
read, 0, 0, 80797593, 8388608, 2097152
read, 0, 0, 80456629, 8388608, 2097152
read, 0, 0, 80181191, 8388608, 2097152
read, 0, 0, 81164640, 8388608, 2097152
read, 0, 0, 80750658, 8388608, 2097152
read, 0, 0, 80935456, 8388608, 2097152
read, 0, 0, 80485992, 8388608, 2097152
read, 0, 0, 80552048, 8388608, 2097152
read, 0, 0, 80678051, 8388608, 2097152
read, 0, 0, 80402033, 8388608, 2097152
read, 0, 0, 80582081, 8388608, 2097152
read, 0, 0, 81123886, 8388608, 2097152
read, 0, 0, 81449738, 8388608, 2097152
read, 0, 0, 81041068, 8388608, 2097152
read, 0, 0, 80583262, 8388608, 2097152
read, 0, 0, 80708084, 8388608, 2097152
read, 0, 0, 80501053, 8388608, 2097152
read, 0, 0, 80974511, 8388608, 2097152
read, 0, 0, 80712275, 8388608, 2097152
read, 0, 0, 80397233, 8388608, 2097152
read, 0, 0, 80576071, 8388608, 2097152
read, 0, 0, 80649229, 8388608, 2097152
read, 0, 0, 80465059, 8388608, 2097152
read, 0, 0, 80810694, 8388608, 2097152
read, 0, 0, 80911485, 8388608, 2097152
read, 0, 0, 80538227, 8388608, 2097152
read, 0, 0, 80739957, 8388608, 2097152
read, 0, 0, 80411635, 8388608, 2097152
read, 0, 0, 80830476, 8388608, 2097152
read, 0, 0, 80149998, 8388608, 2097152
read, 0, 0, 81047088, 8388608, 2097152
read, 0, 0, 80736857, 8388608, 2097152
read, 0, 0, 80441627, 8388608, 2097152
read, 0, 0, 80761479, 8388608, 2097152
read, 0, 0, 80102593, 8388608, 2097152
read, 0, 0, 80786082, 8388608, 2097152
read, 0, 0, 82514254, 8388608, 2097152
read, 0, 0, 80544848, 8388608, 2097152
read, 0, 0, 80537627, 8388608, 2097152
read, 0, 0, 81058479, 8388608, 2097152
read, 0, 0, 80571851, 8388608, 2097152
read, 0, 0, 80736867, 8388608, 2097152
read, 0, 0, 80519645, 8388608, 2097152
read, 0, 0, 80620445, 8388608, 2097152
read, 0, 0, 80755458, 8388608, 2097152
read, 0, 0, 80529837, 8388608, 2097152
read, 0, 0, 80777051, 8388608, 2097152
read, 0, 0, 80190822, 8388608, 2097152
read, 0, 0, 80942788, 8388608, 2097152
read, 0, 0, 80975070, 8388608, 2097152
read, 0, 0, 80465040, 8388608, 2097152
read, 0, 0, 80776461, 8388608, 2097152
read, 0, 0, 80216625, 8388608, 2097152
