operation, threshold, sec, ns, MB, accesses
read, 0, 0, 1693249, 4194304, 1048576
read, 0, 0, 946934, 4194304, 1048576
read, 0, 0, 1107950, 4194304, 1048576
read, 0, 0, 945064, 4194304, 1048576
read, 0, 0, 943334, 4194304, 1048576
read, 0, 0, 942034, 4194304, 1048576
read, 0, 0, 1022073, 4194304, 1048576
read, 0, 0, 945224, 4194304, 1048576
read, 0, 0, 943764, 4194304, 1048576
read, 0, 0, 942134, 4194304, 1048576
read, 0, 0, 971017, 4194304, 1048576
read, 0, 0, 944385, 4194304, 1048576
read, 0, 0, 943444, 4194304, 1048576
read, 0, 0, 943545, 4194304, 1048576
read, 0, 0, 967437, 4194304, 1048576
read, 0, 0, 944384, 4194304, 1048576
read, 0, 0, 942764, 4194304, 1048576
read, 0, 0, 943754, 4194304, 1048576
read, 0, 0, 961306, 4194304, 1048576
read, 0, 0, 944484, 4194304, 1048576
read, 0, 0, 942714, 4194304, 1048576
read, 0, 0, 944125, 4194304, 1048576
read, 0, 0, 944364, 4194304, 1048576
read, 0, 0, 965727, 4194304, 1048576
read, 0, 0, 943515, 4194304, 1048576
read, 0, 0, 942824, 4194304, 1048576
read, 0, 0, 942054, 4194304, 1048576
read, 0, 0, 958116, 4194304, 1048576
read, 0, 0, 944134, 4194304, 1048576
read, 0, 0, 943044, 4194304, 1048576
read, 0, 0, 943924, 4194304, 1048576
read, 0, 0, 954685, 4194304, 1048576
read, 0, 0, 943885, 4194304, 1048576
read, 0, 0, 943754, 4194304, 1048576
read, 0, 0, 943914, 4194304, 1048576
read, 0, 0, 955606, 4194304, 1048576
read, 0, 0, 943684, 4194304, 1048576
read, 0, 0, 942834, 4194304, 1048576
read, 0, 0, 944065, 4194304, 1048576
read, 0, 0, 956905, 4194304, 1048576
read, 0, 0, 944104, 4194304, 1048576
read, 0, 0, 942405, 4194304, 1048576
read, 0, 0, 942514, 4194304, 1048576
read, 0, 0, 942955, 4194304, 1048576
read, 0, 0, 956445, 4194304, 1048576
read, 0, 0, 943424, 4194304, 1048576
read, 0, 0, 944085, 4194304, 1048576
read, 0, 0, 944494, 4194304, 1048576
read, 0, 0, 956436, 4194304, 1048576
read, 0, 0, 943305, 4194304, 1048576
read, 0, 0, 944054, 4194304, 1048576
read, 0, 0, 942644, 4194304, 1048576
read, 0, 0, 955295, 4194304, 1048576
read, 0, 0, 944814, 4194304, 1048576
read, 0, 0, 943344, 4194304, 1048576
read, 0, 0, 941604, 4194304, 1048576
read, 0, 0, 955926, 4194304, 1048576
read, 0, 0, 944865, 4194304, 1048576
read, 0, 0, 941564, 4194304, 1048576
read, 0, 0, 942975, 4194304, 1048576
read, 0, 0, 944334, 4194304, 1048576
read, 0, 0, 955236, 4194304, 1048576
read, 0, 0, 944515, 4194304, 1048576
read, 0, 0, 942004, 4194304, 1048576
read, 0, 0, 943235, 4194304, 1048576
read, 0, 0, 956245, 4194304, 1048576
read, 0, 0, 943514, 4194304, 1048576
read, 0, 0, 943035, 4194304, 1048576
read, 0, 0, 941994, 4194304, 1048576
read, 0, 0, 957866, 4194304, 1048576
read, 0, 0, 941834, 4194304, 1048576
read, 0, 0, 942824, 4194304, 1048576
read, 0, 0, 944555, 4194304, 1048576
read, 0, 0, 955585, 4194304, 1048576
read, 0, 0, 945004, 4194304, 1048576
read, 0, 0, 945435, 4194304, 1048576
read, 0, 0, 942854, 4194304, 1048576
read, 0, 0, 954125, 4194304, 1048576
read, 0, 0, 944445, 4194304, 1048576
read, 0, 0, 944434, 4194304, 1048576
read, 0, 0, 942874, 4194304, 1048576
read, 0, 0, 944434, 4194304, 1048576
read, 0, 0, 956315, 4194304, 1048576
read, 0, 0, 944194, 4194304, 1048576
read, 0, 0, 942374, 4194304, 1048576
read, 0, 0, 944064, 4194304, 1048576
read, 0, 0, 954606, 4194304, 1048576
read, 0, 0, 945775, 4194304, 1048576
read, 0, 0, 941924, 4194304, 1048576
read, 0, 0, 941714, 4194304, 1048576
read, 0, 0, 955795, 4194304, 1048576
read, 0, 0, 944145, 4194304, 1048576
read, 0, 0, 944805, 4194304, 1048576
read, 0, 0, 943464, 4194304, 1048576
read, 0, 0, 955896, 4194304, 1048576
read, 0, 0, 944385, 4194304, 1048576
read, 0, 0, 943084, 4194304, 1048576
read, 0, 0, 944325, 4194304, 1048576
read, 0, 0, 954695, 4194304, 1048576
read, 0, 0, 944884, 4194304, 1048576
read, 1, 0, 943184, 4194304, 1048576
read, 1, 0, 944314, 4194304, 1048576
read, 1, 0, 942304, 4194304, 1048576
read, 1, 0, 997740, 4194304, 1048576
read, 1, 0, 944425, 4194304, 1048576
read, 1, 0, 943754, 4194304, 1048576
read, 1, 0, 940914, 4194304, 1048576
read, 1, 0, 956765, 4194304, 1048576
read, 1, 0, 943584, 4194304, 1048576
read, 1, 0, 942054, 4194304, 1048576
read, 1, 0, 945594, 4194304, 1048576
read, 1, 0, 959636, 4194304, 1048576
read, 1, 0, 943334, 4194304, 1048576
read, 1, 0, 944754, 4194304, 1048576
read, 1, 0, 944355, 4194304, 1048576
read, 1, 0, 956506, 4194304, 1048576
read, 1, 0, 945924, 4194304, 1048576
read, 1, 0, 942974, 4194304, 1048576
read, 1, 0, 943354, 4194304, 1048576
read, 1, 0, 956105, 4194304, 1048576
read, 1, 0, 945555, 4194304, 1048576
read, 1, 0, 942184, 4194304, 1048576
read, 1, 0, 942954, 4194304, 1048576
read, 1, 0, 943204, 4194304, 1048576
read, 1, 0, 959886, 4194304, 1048576
read, 1, 0, 942804, 4194304, 1048576
read, 1, 0, 943835, 4194304, 1048576
read, 1, 0, 944144, 4194304, 1048576
read, 1, 0, 954215, 4194304, 1048576
read, 1, 0, 942254, 4194304, 1048576
read, 1, 0, 944314, 4194304, 1048576
read, 1, 0, 942894, 4194304, 1048576
read, 1, 0, 954725, 4194304, 1048576
read, 1, 0, 945235, 4194304, 1048576
read, 1, 0, 942284, 4194304, 1048576
read, 1, 0, 943384, 4194304, 1048576
read, 1, 0, 954535, 4194304, 1048576
read, 1, 0, 944514, 4194304, 1048576
read, 1, 0, 942075, 4194304, 1048576
read, 1, 0, 941884, 4194304, 1048576
read, 1, 0, 954146, 4194304, 1048576
read, 1, 0, 944304, 4194304, 1048576
